board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Water Sources in Olden Days,"Identify different traditional sources of water storage such as step wells, lakes and wells",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Water Sources in Olden Days,Explain why old water collection structures have become dysfunctional over time,[],"[{""item"": ""Identify different traditional sources of water storage such as step wells, lakes and wells"", ""reason"": ""Students need to recognize the traditional water structures first before they can explain why those structures no longer work well today.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Water Sources in Olden Days,Describe the different pots used to store water in earlier days,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Customs Related to Water,Describe customs and festivals associated with water,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Ways of Getting Water at Homes,List the different ways people get water in their houses,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Ways of Getting Water at Homes,Explain the unequal access to water among different sections of people,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Restoring and Managing Water Resources,Suggest ways in which traditional water bodies can be restored,"[{""item"": ""Water Sources in Olden Days"", ""reason"": ""Derived from skill prerequisite: 'Identify different traditional sources of water storage such as step wells, lakes and wells' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify different traditional sources of water storage such as step wells, lakes and wells"", ""reason"": ""To suggest restoration methods, learners must first know what traditional water bodies are and how they are used.""}, {""item"": ""Explain why old water collection structures have become dysfunctional over time"", ""reason"": ""Understanding the causes of decline is necessary before proposing realistic ways to restore these water bodies.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Restoring and Managing Water Resources,Explain the contribution of Al-Biruni's book to understanding water practices of the past,"[{""item"": ""Water Sources in Olden Days"", ""reason"": ""Derived from skill prerequisite: 'Identify different traditional sources of water storage such as step wells, lakes and wells' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify different traditional sources of water storage such as step wells, lakes and wells"", ""reason"": ""The historical account becomes meaningful only after students know the kinds of water practices and structures being described.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Reading a Water Bill,Calculate the water usage rate by reading and interpreting a water bill,"[{""item"": ""Ways of Getting Water at Homes"", ""reason"": ""Derived from skill prerequisite: 'List the different ways people get water in their houses' is a prerequisite of a skill under this concept.""}]","[{""item"": ""List the different ways people get water in their houses"", ""reason"": ""Students need a basic understanding of household water supply before they can interpret how much water is being used and billed.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter06_Some_Unique_Places,Islands of India,Explain what an island is and give examples of Indian islands,[],[],[],[],[],[]
