board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Definition of Data,Define data as a collection of numbers or facts gathered for a specific purpose,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Definition of Data,Identify examples of data collected from daily life situations,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Interpretation of a Table of Data,Observe different tables and gather the information recorded in the table,"[""Definition of Data""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Interpretation of a Table of Data,Interpret the data presented in a table to answer questions,"[""Definition of Data""]","[""Observe different tables and gather the information recorded in the table""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Recording Data,Record raw data as it is collected in its original form,"[""Definition of Data""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Recording Data,Group raw data systematically before organizing it further,"[""Definition of Data""]","[""Record raw data as it is collected in its original form""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Tally Marks and Frequency Tables,Organize raw data into a table using tally marks,"[""Recording Data""]","[""Group raw data systematically before organizing it further""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Tally Marks and Frequency Tables,Arrange the given data systematically for interpretation using a frequency table,"[""Recording Data""]","[""Group raw data systematically before organizing it further""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Tally Marks and Frequency Tables,Calculate frequencies from tally marks,"[""Recording Data""]","[""Organize raw data into a table using tally marks""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Frequency as Count of Occurrences,Determine the number of times a value occurs in a given dataset,"[""Recording Data""]","[""Record raw data as it is collected in its original form""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Frequency as Count of Occurrences,Identify the maximum and minimum values from organised data,"[""Recording Data""]","[""Determine the number of times a value occurs in a given dataset""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Ascending Order Arrangement of Data,Arrange data in ascending order to identify patterns,"[""Recording Data""]","[""Group raw data systematically before organizing it further""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Ascending Order Arrangement of Data,Identify the smallest and largest values from data arranged in ascending order,"[""Recording Data""]","[""Arrange data in ascending order to identify patterns""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Pictograph,Observe pictograph representation of data,"[""Frequency as Count of Occurrences""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Pictograph,Answer questions on data presented at a glance in a pictograph,"[""Frequency as Count of Occurrences""]","[""Observe pictograph representation of data""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter04_Data_Handling_And_Presentation,Scale or Key in Pictographs,Read the scale or key given with a pictograph,"[""Pictograph""]","[""Observe pictograph representation of data""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Pictograph Representation of Data"", ""reason"": ""Derived from skill prerequisite: 'Identify the symbol used to represent a fixed quantity in a chapati chart' (in Grade 4/Chapter14_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
