board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Reading time from a 12-hour clock,Identify the hour and minute hands on a clock face,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading Time to the Hour and Half-Hour"", ""reason"": ""Students must already be able to read whole and half-hour times on an analog clock before learning to read any 12-hour clock time.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Analog clock — face, hour hand, and minute hand"", ""reason"": ""Recognising the clock face and its hands is the basic structure needed to read any 12-hour clock time.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Reading time on a clock (hour hand and minute hand)"", ""reason"": ""Derived from skill prerequisite: 'Identify the hour hand and minute hand on a clock' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading and showing time (o'clock, quarter past, half past)"", ""reason"": ""Derived from skill prerequisite: 'Read time shown on an analog clock in terms of o'clock, quarter past, and half past' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Drawing Clock Hands for a Given Time"", ""reason"": ""Derived from skill prerequisite: 'Draw both hour and minute hands together to represent a stated time' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Identify the hour hand on an analog clock"", ""reason"": ""Recognising the hour hand alone was already practiced and is directly reused when identifying both hands together.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Identify the minute hand on an analog clock"", ""reason"": ""Recognising the minute hand alone was already practiced and is directly reused when identifying both hands together.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Identify the hour hand and minute hand on a clock"", ""reason"": ""This earlier skill of naming the two hands is the direct precursor to identifying them on a clock face.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Reading time from a 12-hour clock,Read the time shown on a 12-hour clock and state it in hours and minutes,[],"[{""item"": ""Identify the hour and minute hands on a clock face"", ""reason"": ""Stating the time requires first being able to tell apart the hour and minute hands.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading Time to the Hour and Half-Hour"", ""reason"": ""Students must already be able to read whole and half-hour times on an analog clock before learning to read any 12-hour clock time.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Analog clock — face, hour hand, and minute hand"", ""reason"": ""Recognising the clock face and its hands is the basic structure needed to read any 12-hour clock time.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Reading time on a clock (hour hand and minute hand)"", ""reason"": ""Derived from skill prerequisite: 'Identify the hour hand and minute hand on a clock' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading and showing time (o'clock, quarter past, half past)"", ""reason"": ""Derived from skill prerequisite: 'Read time shown on an analog clock in terms of o'clock, quarter past, and half past' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Drawing Clock Hands for a Given Time"", ""reason"": ""Derived from skill prerequisite: 'Draw both hour and minute hands together to represent a stated time' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Read the time shown on a clock to the hour"", ""reason"": ""Reading to the hour is a simpler precursor step required before reading full hour-and-minute times.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Read the time shown on a clock to the half-hour"", ""reason"": ""Reading to the half-hour is an intermediate step that builds toward reading precise hour-and-minute times.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Read the time shown on a clock face to the nearest hour"", ""reason"": ""This foundational hour-reading skill precedes the more detailed reading of hours and minutes together.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Reading time from a 12-hour clock,Determine the time to the nearest five minutes on an analog clock,[],"[{""item"": ""Read the time shown on a 12-hour clock and state it in hours and minutes"", ""reason"": ""Reading precise five-minute intervals builds on the basic ability to read hours and minutes from the clock.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading Time to the Hour and Half-Hour"", ""reason"": ""Students must already be able to read whole and half-hour times on an analog clock before learning to read any 12-hour clock time.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Analog clock — face, hour hand, and minute hand"", ""reason"": ""Recognising the clock face and its hands is the basic structure needed to read any 12-hour clock time.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Reading time on a clock (hour hand and minute hand)"", ""reason"": ""Derived from skill prerequisite: 'Identify the hour hand and minute hand on a clock' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading and showing time (o'clock, quarter past, half past)"", ""reason"": ""Derived from skill prerequisite: 'Read time shown on an analog clock in terms of o'clock, quarter past, and half past' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Drawing Clock Hands for a Given Time"", ""reason"": ""Derived from skill prerequisite: 'Draw both hour and minute hands together to represent a stated time' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Read time shown on an analog clock in terms of o'clock, quarter past, and half past"", ""reason"": ""Reading fixed reference points like quarter and half past is the stepping stone to reading any five-minute interval.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Reading time from a 12-hour clock,Construct clock hand positions to show a given time,[],"[{""item"": ""Read the time shown on a 12-hour clock and state it in hours and minutes"", ""reason"": ""Drawing hands for a given time requires understanding how hand positions correspond to times, learned through reading time.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading Time to the Hour and Half-Hour"", ""reason"": ""Students must already be able to read whole and half-hour times on an analog clock before learning to read any 12-hour clock time.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Analog clock — face, hour hand, and minute hand"", ""reason"": ""Recognising the clock face and its hands is the basic structure needed to read any 12-hour clock time.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Reading time on a clock (hour hand and minute hand)"", ""reason"": ""Derived from skill prerequisite: 'Identify the hour hand and minute hand on a clock' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading and showing time (o'clock, quarter past, half past)"", ""reason"": ""Derived from skill prerequisite: 'Read time shown on an analog clock in terms of o'clock, quarter past, and half past' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Drawing Clock Hands for a Given Time"", ""reason"": ""Derived from skill prerequisite: 'Draw both hour and minute hands together to represent a stated time' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Draw both hour and minute hands together to represent a stated time"", ""reason"": ""This is the same drawing skill already practiced for hour and half-hour times, directly extended to any given time.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Construct the hour hand position on a clock face for a given hour"", ""reason"": ""Positioning the hour hand correctly was already practiced and is reused when constructing full clock displays.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Construct the minute hand position on a clock face for a given half-hour time"", ""reason"": ""Positioning the minute hand for a specific time was already practiced and is extended to other times here.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Draw the hour hand and minute hand on a clock to show a given time"", ""reason"": ""This earlier drawing skill is the direct foundation for constructing hand positions for any given time.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Reading time from a 12-hour clock,Interpret and correct errors in reading time from a clock,[],"[{""item"": ""Read the time shown on a 12-hour clock and state it in hours and minutes"", ""reason"": ""Correcting errors in time reading requires first being able to correctly read time oneself.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading Time to the Hour and Half-Hour"", ""reason"": ""Students must already be able to read whole and half-hour times on an analog clock before learning to read any 12-hour clock time.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Analog clock — face, hour hand, and minute hand"", ""reason"": ""Recognising the clock face and its hands is the basic structure needed to read any 12-hour clock time.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Reading time on a clock (hour hand and minute hand)"", ""reason"": ""Derived from skill prerequisite: 'Identify the hour hand and minute hand on a clock' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading and showing time (o'clock, quarter past, half past)"", ""reason"": ""Derived from skill prerequisite: 'Read time shown on an analog clock in terms of o'clock, quarter past, and half past' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Drawing Clock Hands for a Given Time"", ""reason"": ""Derived from skill prerequisite: 'Draw both hour and minute hands together to represent a stated time' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Distinguish the hour hand from the minute hand by their length and movement"", ""reason"": ""Spotting reading errors requires already knowing how to tell the hour and minute hands apart by their movement.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Duration between time stamps,Calculate the duration in minutes or hours between two given time stamps,"[{""item"": ""Reading time from a 12-hour clock"", ""reason"": ""Calculating the duration between two time stamps requires first being able to read and state the start and end times from a clock.""}]","[{""item"": ""Read the time shown on a 12-hour clock and state it in hours and minutes"", ""reason"": ""Finding a duration requires first being able to read the two time stamps involved.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Measuring duration in minutes"", ""reason"": ""Finding duration between two clock timestamps builds on the earlier skill of measuring how many minutes an interval lasts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of events (hours/days)"", ""reason"": ""Comparing and computing time intervals in hours or days was first introduced with this concept of event duration.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Calculate the duration in minutes between a start time and an end time"", ""reason"": ""This is the direct earlier version of the same computation, now extended to hours as well as minutes.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Duration between time stamps,Apply forward counting to find the ending time given a start time and duration,"[{""item"": ""Reading time from a 12-hour clock"", ""reason"": ""Calculating the duration between two time stamps requires first being able to read and state the start and end times from a clock.""}]","[{""item"": ""Read the time shown on a 12-hour clock and state it in hours and minutes"", ""reason"": ""Counting forward from a start time requires being able to read and represent that starting time correctly.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Measuring duration in minutes"", ""reason"": ""Finding duration between two clock timestamps builds on the earlier skill of measuring how many minutes an interval lasts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of events (hours/days)"", ""reason"": ""Comparing and computing time intervals in hours or days was first introduced with this concept of event duration.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Determine the end time given a start time and a duration in minutes"", ""reason"": ""This is the same forward-counting procedure for finding an end time, already practiced with minute durations.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Duration between time stamps,Apply backward counting to find the starting time given an ending time and duration,"[{""item"": ""Reading time from a 12-hour clock"", ""reason"": ""Calculating the duration between two time stamps requires first being able to read and state the start and end times from a clock.""}]","[{""item"": ""Read the time shown on a 12-hour clock and state it in hours and minutes"", ""reason"": ""Counting backward from an ending time requires being able to read and represent that ending time correctly.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Measuring duration in minutes"", ""reason"": ""Finding duration between two clock timestamps builds on the earlier skill of measuring how many minutes an interval lasts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of events (hours/days)"", ""reason"": ""Comparing and computing time intervals in hours or days was first introduced with this concept of event duration.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Determine the end time given a start time and a duration in minutes"", ""reason"": ""Understanding how start time, duration and end time relate forward is needed before reversing the process to find a start time.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,Duration between time stamps,Solve daily life word problems involving calculation of time intervals,"[{""item"": ""Reading time from a 12-hour clock"", ""reason"": ""Calculating the duration between two time stamps requires first being able to read and state the start and end times from a clock.""}]","[{""item"": ""Calculate the duration in minutes or hours between two given time stamps"", ""reason"": ""Solving word problems about time intervals requires the underlying skill of computing duration between two time stamps.""}, {""item"": ""Apply forward counting to find the ending time given a start time and duration"", ""reason"": ""Many word problems require finding an ending time by counting forward, so this skill must be mastered first.""}, {""item"": ""Apply backward counting to find the starting time given an ending time and duration"", ""reason"": ""Many word problems require finding a starting time by counting backward, so this skill must be mastered first.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Measuring duration in minutes"", ""reason"": ""Finding duration between two clock timestamps builds on the earlier skill of measuring how many minutes an interval lasts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of events (hours/days)"", ""reason"": ""Comparing and computing time intervals in hours or days was first introduced with this concept of event duration.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Calculate the duration of a trip in hours or days using given start and end times"", ""reason"": ""Solving real-life duration problems was first practiced with trip-duration calculations using start and end times.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""skill"": ""Calculate the duration in minutes between a start time and an end time"", ""reason"": ""The underlying computation of finding a time interval from start and end times is reused in daily life word problems.""}]"
CBSE,Maths,Grade 4,Chapter12_Ticking_Clocks_and_Turning_Calendars,AM-PM time notation,Distinguish between a.m. and p.m. based on the time of day,"[{""item"": ""Reading time from a 12-hour clock"", ""reason"": ""Labeling a time as a.m. or p.m. requires already being able to read what the clock shows.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter13_Time_Goes_On"", ""concept"": ""Reading and showing time (o'clock, quarter past, half past)"", ""reason"": ""Derived from skill prerequisite: 'Match daily activities to appropriate times of day on an analog clock' (in Grade 3/Chapter13_Time_Goes_On) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Telling time to the hour (O'clock)"", ""reason"": ""Derived from skill prerequisite: 'Match daily activities with the O'clock time at which they occur' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]",[]
