board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Magnetic and non-magnetic materials,Classify given substances as magnetic or non-magnetic based on their attraction to magnets,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Magnetic and non-magnetic materials,Predict and verify which objects will be attracted to a magnet,[],"[{""item"": ""Classify given substances as magnetic or non-magnetic based on their attraction to magnets"", ""reason"": ""Predicting attraction requires already being able to classify substances as magnetic or non-magnetic.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Discovery of natural magnets,Outline the historical events responsible for the discovery of natural magnets,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Poles of a magnet,Design an activity to determine the poles of a magnet,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Poles of a magnet,Demonstrate that iron filings stick more at the poles of a magnet,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Existence of poles in pairs,Explain why a single magnetic pole cannot exist,"[{""item"": ""Poles of a magnet"", ""reason"": ""A student must first know what magnetic poles are before understanding that they always occur together and cannot be isolated.""}]","[{""item"": ""Design an activity to determine the poles of a magnet"", ""reason"": ""Explaining that a single pole cannot exist requires first knowing how to identify and locate the poles of a magnet.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Interaction between magnetic poles,Analyze the outcome of placing two magnets together to conclude the attraction and repulsion property of magnets,"[{""item"": ""Poles of a magnet"", ""reason"": ""Understanding how poles attract or repel requires first knowing what poles are and where they are located on a magnet.""}]","[{""item"": ""Design an activity to determine the poles of a magnet"", ""reason"": ""Analyzing pole interactions requires first being able to identify which end of each magnet is which pole.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Interaction between magnetic poles,Identify a magnet using its property of repulsion,"[{""item"": ""Poles of a magnet"", ""reason"": ""Understanding how poles attract or repel requires first knowing what poles are and where they are located on a magnet.""}]","[{""item"": ""Analyze the outcome of placing two magnets together to conclude the attraction and repulsion property of magnets"", ""reason"": ""Using repulsion to identify a magnet requires having already established the attraction/repulsion behaviour of magnet poles.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Directive property of a freely suspended magnet,Construct a direction finder using a freely suspended magnet,"[{""item"": ""Poles of a magnet"", ""reason"": ""Explaining why a magnet aligns north-south depends on knowing that a magnet has distinct N and S poles.""}]","[{""item"": ""Design an activity to determine the poles of a magnet"", ""reason"": ""Building a direction finder requires knowing which end of the magnet is the pole that aligns to north.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Making artificial magnets,Demonstrate a method to create an artificial magnet,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Uses of magnetic compass,Apply the property of a freely suspended magnet to find directions in daily life,"[{""item"": ""Directive property of a freely suspended magnet"", ""reason"": ""Using a compass for navigation depends on understanding that a suspended magnet points in a fixed direction.""}]","[{""item"": ""Construct a direction finder using a freely suspended magnet"", ""reason"": ""Applying the directive property in daily life builds on having already constructed a working direction finder.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Uses of magnetic compass,Explain the working of a magnetic compass,"[{""item"": ""Directive property of a freely suspended magnet"", ""reason"": ""Using a compass for navigation depends on understanding that a suspended magnet points in a fixed direction.""}]","[{""item"": ""Construct a direction finder using a freely suspended magnet"", ""reason"": ""Explaining compass function depends on the prior understanding of how a freely suspended magnet finds direction.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Making a magnetic compass,Construct a simple magnetic compass using a magnetised needle,"[{""item"": ""Directive property of a freely suspended magnet"", ""reason"": ""Building a compass relies on the principle that a freely suspended magnetic needle aligns in a north-south direction.""}, {""item"": ""Making artificial magnets"", ""reason"": ""A compass needle must first be magnetised, which requires knowing how to create an artificial magnet.""}]","[{""item"": ""Demonstrate a method to create an artificial magnet"", ""reason"": ""Building a compass needle requires knowing how to magnetise the needle to create an artificial magnet.""}, {""item"": ""Construct a direction finder using a freely suspended magnet"", ""reason"": ""Constructing a compass extends the same principle used in building a basic direction finder.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Interaction between compass needle and a magnet,Explain the deflection of a compass needle near a magnet,"[{""item"": ""Making a magnetic compass"", ""reason"": ""Explaining how a nearby magnet deflects a compass needle requires first knowing how the compass needle itself works.""}, {""item"": ""Interaction between magnetic poles"", ""reason"": ""The deflection of the needle is explained by the same attraction/repulsion rules between magnetic poles.""}]","[{""item"": ""Construct a simple magnetic compass using a magnetised needle"", ""reason"": ""Explaining needle deflection requires already having a working compass needle to observe.""}, {""item"": ""Analyze the outcome of placing two magnets together to conclude the attraction and repulsion property of magnets"", ""reason"": ""The deflection is explained using the attraction/repulsion behaviour established between magnet poles.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Shapes of magnets,Identify different shapes of magnets from given examples,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Care of magnets,List precautions to be taken while storing and handling magnets,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Magnetic force through materials,Test whether magnetic force passes through different materials placed between a magnet and an object,"[{""item"": ""Magnetic and non-magnetic materials"", ""reason"": ""Testing whether magnetic force passes through a material builds on already knowing which materials are magnetic or non-magnetic.""}]","[{""item"": ""Predict and verify which objects will be attracted to a magnet"", ""reason"": ""Testing force through barriers builds on the basic skill of verifying magnetic attraction on objects.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Fun activities and applications of magnets,Explain the working principle of devices like the matsya-yantra and Maglev train,"[{""item"": ""Uses of magnetic compass"", ""reason"": ""Explaining devices like matsya-yantra depends on understanding how a magnetic compass works for direction-finding.""}, {""item"": ""Interaction between magnetic poles"", ""reason"": ""Explaining devices like the Maglev train depends on understanding attraction and repulsion between magnetic poles.""}, {""item"": ""Magnetic force through materials"", ""reason"": ""Derived from skill prerequisite: 'Test whether magnetic force passes through different materials placed between a magnet and an object' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Explain the working of a magnetic compass"", ""reason"": ""Explaining the matsya-yantra depends on understanding the compass working principle it is based on.""}, {""item"": ""Analyze the outcome of placing two magnets together to conclude the attraction and repulsion property of magnets"", ""reason"": ""Explaining Maglev trains depends on understanding magnetic repulsion between poles.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter04_Exploring_Magnets,Fun activities and applications of magnets,Analyse real-life problems and suggest solutions using magnetic properties,"[{""item"": ""Uses of magnetic compass"", ""reason"": ""Explaining devices like matsya-yantra depends on understanding how a magnetic compass works for direction-finding.""}, {""item"": ""Interaction between magnetic poles"", ""reason"": ""Explaining devices like the Maglev train depends on understanding attraction and repulsion between magnetic poles.""}, {""item"": ""Magnetic force through materials"", ""reason"": ""Derived from skill prerequisite: 'Test whether magnetic force passes through different materials placed between a magnet and an object' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Test whether magnetic force passes through different materials placed between a magnet and an object"", ""reason"": ""Suggesting solutions requires already knowing how magnetic force behaves through different materials.""}, {""item"": ""Explain the working principle of devices like the matsya-yantra and Maglev train"", ""reason"": ""Real-life problem solving draws on understanding existing applications of magnetic properties in devices.""}]",[],[],[],[]
