board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Chemical nature of acids and bases,Write down the ions present in an aqueous solution of an acid or base,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Ionic Bonding"", ""reason"": ""Explaining how acids and bases release ions in water requires already understanding how ions form through electron transfer between atoms.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Classification"", ""reason"": ""Recognising which substances are acidic or basic at a descriptive level is needed before explaining their deeper chemical (ionic) nature.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Properties of Ionic and Covalent Compounds"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between ionic and covalent compounds based on electrical conductivity in solid and dissolved states' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Chemical nature of acids and bases,Explain why aqueous solutions of acids and bases conduct electricity,[],"[""Write down the ions present in an aqueous solution of an acid or base""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Ionic Bonding"", ""reason"": ""Explaining how acids and bases release ions in water requires already understanding how ions form through electron transfer between atoms.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Classification"", ""reason"": ""Recognising which substances are acidic or basic at a descriptive level is needed before explaining their deeper chemical (ionic) nature.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Properties of Ionic and Covalent Compounds"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between ionic and covalent compounds based on electrical conductivity in solid and dissolved states' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Distinguish between ionic and covalent compounds based on electrical conductivity in solid and dissolved states"", ""reason"": ""Explaining electrical conductivity of acid/base solutions builds directly on the earlier established link between ionic compounds and electrical conductivity in dissolved states.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Chemical nature of acids and bases,Describe the role of water in ionisation of acids and bases,[],"[""Write down the ions present in an aqueous solution of an acid or base""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Ionic Bonding"", ""reason"": ""Explaining how acids and bases release ions in water requires already understanding how ions form through electron transfer between atoms.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Classification"", ""reason"": ""Recognising which substances are acidic or basic at a descriptive level is needed before explaining their deeper chemical (ionic) nature.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Properties of Ionic and Covalent Compounds"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between ionic and covalent compounds based on electrical conductivity in solid and dissolved states' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Salts and their properties,Identify the positive and negative radicals present in a given salt,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Ionic Bonding"", ""reason"": ""Salts are ionic compounds, so understanding how cations and anions combine through ionic bonding is required before studying their properties.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Writing Chemical Formulae of Ionic Compounds"", ""reason"": ""Derived from skill prerequisite: 'Write the chemical formula of an ionic compound by balancing the charges of its cation and anion' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Write the chemical formula of an ionic compound by balancing the charges of its cation and anion"", ""reason"": ""Identifying the radicals in a salt requires the prior skill of recognising and balancing the charges of cations and anions in ionic compounds.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Salts and their properties,Predict the family and pH range of a salt based on its constituent radicals,[],"[""Identify the positive and negative radicals present in a given salt""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Ionic Bonding"", ""reason"": ""Salts are ionic compounds, so understanding how cations and anions combine through ionic bonding is required before studying their properties.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Writing Chemical Formulae of Ionic Compounds"", ""reason"": ""Derived from skill prerequisite: 'Write the chemical formula of an ionic compound by balancing the charges of its cation and anion' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Write the chemical formula of an ionic compound by balancing the charges of its cation and anion"", ""reason"": ""Determining a salt's radicals to predict its family and pH range depends on the earlier skill of identifying and balancing ionic charges.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Taste as an indicator of acids and bases,Recall the characteristic tastes of acids and bases,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Taste and Touch"", ""reason"": ""The basic idea that acids and bases can be classified by taste and touch was established earlier and underlies this target concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Common acids in edible substances"", ""reason"": ""Derived from skill prerequisite: 'Identify the common acid present in a given edible substance such as lemon, tamarind, or curd' (in Grade 7/Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""skill"": ""Examine common household substances based on taste and touch to classify them as acidic, basic, or neutral"", ""reason"": ""This target skill directly builds on the earlier practice of classifying substances by taste and touch.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Taste as an indicator of acids and bases,Point out whether a given food item contains an acid or a base based on taste,[],"[""Recall the characteristic tastes of acids and bases""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Taste and Touch"", ""reason"": ""The basic idea that acids and bases can be classified by taste and touch was established earlier and underlies this target concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Common acids in edible substances"", ""reason"": ""Derived from skill prerequisite: 'Identify the common acid present in a given edible substance such as lemon, tamarind, or curd' (in Grade 7/Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""skill"": ""Identify the common acid present in a given edible substance such as lemon, tamarind, or curd"", ""reason"": ""Recognising an acid in a food item by taste was already practiced with specific edible examples in this earlier skill.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Indicators for acids and bases,Observe the colour change produced by a substance with various indicators,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Litmus as an indicator"", ""reason"": ""Understanding litmus as a simple colour-change indicator is the foundational idea that is extended to the broader set of acid-base indicators here.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Classification"", ""reason"": ""Derived from skill prerequisite: 'Classify a given set of substances into acidic, basic, or neutral categories based on their properties' (in Grade 7/Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""skill"": ""Describe the colour change of litmus solution or litmus paper when tested with acidic and basic substances"", ""reason"": ""Observing colour changes with multiple indicators builds on the earlier practiced skill of observing litmus colour change specifically.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Indicators for acids and bases,Categorize a substance as acidic or basic based on its reaction with indicators,[],"[""Observe the colour change produced by a substance with various indicators""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Litmus as an indicator"", ""reason"": ""Understanding litmus as a simple colour-change indicator is the foundational idea that is extended to the broader set of acid-base indicators here.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Classification"", ""reason"": ""Derived from skill prerequisite: 'Classify a given set of substances into acidic, basic, or neutral categories based on their properties' (in Grade 7/Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""skill"": ""Classify a given set of substances into acidic, basic, or neutral categories based on their properties"", ""reason"": ""Categorising substances using indicators depends on the earlier basic classification skill using acid-base properties.""}]"
CBSE,Science,Grade 10,Chapter02_Acids_Bases_And_Salts,Olfactory indicators,Describe olfactory indicators and their use in detecting acids and bases,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Olfactory Indicators"", ""reason"": ""The basic notion that smell changes can indicate acidity or basicity was introduced earlier and is directly built upon here.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""skill"": ""Describe the change in smell of onion or vanilla extract when mixed with an acid or a base"", ""reason"": ""This target skill extends the earlier specific observation of smell changes with onion/vanilla extracts to the general concept of olfactory indicators.""}]"
