board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Germination of Seeds,Describe the different stages in the germination of a seed,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Growing a Plant"", ""reason"": ""Prior exposure to how a planted seed grows into a plant gives the basic sequence that the target chapter breaks down into detailed germination stages.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Describe the stages a seed goes through as it grows into a plant"", ""reason"": ""This earlier skill already establishes the basic sequence of a seed developing into a plant, which the target skill elaborates into specific germination stages.""}]"
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Germination of Seeds,State the conditions necessary for a seed to sprout,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Growing a Plant"", ""reason"": ""Prior exposure to how a planted seed grows into a plant gives the basic sequence that the target chapter breaks down into detailed germination stages.""}]",[]
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Germination of Seeds,Infer the requirements of a plant for its growth through observation,[],"[{""item"": ""State the conditions necessary for a seed to sprout"", ""reason"": ""Knowing the basic conditions a seed needs to sprout provides the foundation for inferring broader growth requirements through observation.""}]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Growing a Plant"", ""reason"": ""Prior exposure to how a planted seed grows into a plant gives the basic sequence that the target chapter breaks down into detailed germination stages.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Record and interpret observations of a growing plant over time"", ""reason"": ""The ability to record and interpret observations of a growing plant is the direct groundwork for inferring what conditions a plant needs to grow.""}]"
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Germination of Seeds,Compare seeds that grow fast with those that take longer to grow,[],"[{""item"": ""Describe the different stages in the germination of a seed"", ""reason"": ""Comparing growth speed requires first knowing the stages seeds pass through during germination.""}]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Growing a Plant"", ""reason"": ""Prior exposure to how a planted seed grows into a plant gives the basic sequence that the target chapter breaks down into detailed germination stages.""}]",[]
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Classification of Seeds,"Classify seeds into categories such as small/big, light/heavy, flat/round, and fruits/vegetables/spices",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Dispersal of Seeds,Identify various ways in which seeds travel from one place to another,"[{""item"": ""Classification of Seeds"", ""reason"": ""Understanding characteristics like size, weight, and shape of seeds is needed to explain why different seeds are dispersed by different mechanisms.""}]","[{""item"": ""Classify seeds into categories such as small/big, light/heavy, flat/round, and fruits/vegetables/spices"", ""reason"": ""Knowing seed characteristics like size and weight is needed to understand why certain seeds disperse via wind, water, or animals.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""concept"": ""How animals help plants (seed dispersal, soil fertility)"", ""reason"": ""Students must already know that animals carry seeds away from the parent plant before they can learn the range of specific seed-travel mechanisms covered in the target chapter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""skill"": ""Explain how animals help disperse seeds and make soil fertile"", ""reason"": ""Knowing that animals disperse seeds is a specific prior fact the target skill builds on when listing the different modes of seed travel.""}]"
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Unusual Plants and Seed Facts,Name a plant that gathers food by hunting,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Unusual Plants and Seed Facts,List plants that have come to India from other countries,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Unusual Plants and Seed Facts,Explain the incident that led to the discovery of Velcro,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter05_Our_Vibrant_Country,Plants that Grow Without Seeds,Name plants that grow without seeds,"[{""item"": ""Germination of Seeds"", ""reason"": ""Students need to know the typical seed-based reproduction process before they can appreciate plants that reproduce as an exception without seeds.""}]",[],[],[],[],[]
