board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter03_Number_Play,Numbers as Carriers of Information,Interpret numbers appearing in real-life contexts as conveying specific information,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Numbers as labels and names in daily life"", ""reason"": ""Recognising that numbers can act as labels or identifiers rather than counts is the foundational idea the target concept extends to real-life information contexts.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Numbers Bigger than 1 Lakh"", ""reason"": ""Derived from skill prerequisite: 'Identify numbers bigger than 1 lakh in given contexts' (in Grade 5/Chapter01_The_Fish_Tale) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify numbers used as labels or names in everyday contexts"", ""reason"": ""Distinguishing labelling numbers from counting numbers is the specific skill this target skill extends to broader information-carrying contexts.""}]"
CBSE,Maths,Grade 6,Chapter03_Number_Play,Numbers as Carriers of Information,Describe situations where large numbers are used to represent quantities like population or distance,[],"[""Interpret numbers appearing in real-life contexts as conveying specific information""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Numbers as labels and names in daily life"", ""reason"": ""Recognising that numbers can act as labels or identifiers rather than counts is the foundational idea the target concept extends to real-life information contexts.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Numbers Bigger than 1 Lakh"", ""reason"": ""Derived from skill prerequisite: 'Identify numbers bigger than 1 lakh in given contexts' (in Grade 5/Chapter01_The_Fish_Tale) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_The_Fish_Tale"", ""skill"": ""Identify numbers bigger than 1 lakh in given contexts"", ""reason"": ""Recognising real-world contexts that use numbers larger than a lakh is the specific foundation for describing large-number usage such as population or distance.""}]"
CBSE,Maths,Grade 6,Chapter03_Number_Play,Supercells in Number Tables,Identify supercells in a number table by comparing each number with its adjacent neighbours,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Supercells in Number Tables,Fill number tables to maximise or satisfy specific supercell conditions,[],"[""Identify supercells in a number table by comparing each number with its adjacent neighbours""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Placing Numbers on the Number Line,Place given numbers at appropriate positions on a number line,"[""Whole Numbers""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Placing Numbers on the Number Line,Identify and label numbers marked on a number line,"[""Whole Numbers""]","[""Place given numbers at appropriate positions on a number line""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Counting Numbers by Digit Length,"Determine how many numbers exist with a given number of digits such as 1-digit, 2-digit, or 3-digit numbers","[""Comparing Numbers""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Counting Numbers by Digit Length,Construct the largest and smallest numbers from a given set of digits,"[""Comparing Numbers""]","[""Determine how many numbers exist with a given number of digits such as 1-digit, 2-digit, or 3-digit numbers""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Counting Numbers by Digit Length,Calculate the difference and sum of the largest and smallest numbers formed from given digits,"[""Comparing Numbers""]","[""Construct the largest and smallest numbers from a given set of digits""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter03_Number_Play,Digit Sums of Numbers,Calculate the digit sum of a given number,"[""Comparing Numbers""]",[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Sum of digits of a number"", ""reason"": ""The target concept is a direct continuation of the specific digit-sum calculation technique introduced earlier.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Calculate the sum of digits of a given number"", ""reason"": ""This is the identical digit-sum calculation procedure the target skill requires.""}]"
