board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral","Acidic, Basic and Neutral Substances - Taste and Touch","Examine common household substances based on taste and touch to classify them as acidic, basic, or neutral",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Different Tastes of Food"", ""reason"": ""Classifying substances by taste as acidic (sour) or basic (bitter) requires students to already be able to distinguish and name taste categories like sweet, sour and bitter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Identify different tastes found in food items such as sweet, sour, spicy and bitter"", ""reason"": ""Before a student can use sourness or bitterness as an indicator of acidic or basic nature, they must already be able to identify and distinguish these specific taste categories.""}]"
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral","Acidic, Basic and Neutral Substances - Classification","Classify a given set of substances into acidic, basic, or neutral categories based on their properties",[],[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Litmus as an indicator,Explain why litmus is used as an indicator to test the acidic or basic nature of substances,[],[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Litmus as an indicator,Describe the colour change of litmus solution or litmus paper when tested with acidic and basic substances,[],"[""Explain why litmus is used as an indicator to test the acidic or basic nature of substances""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Natural Indicators,Investigate whether extracts of coloured flowers can act as acid-base indicators,[],[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Natural Indicators,Describe the colour change of turmeric when tested with acidic and basic substances,[],"[""Investigate whether extracts of coloured flowers can act as acid-base indicators""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Natural Indicators,Explain why turmeric paper cannot differentiate between acidic and neutral substances,[],"[""Describe the colour change of turmeric when tested with acidic and basic substances""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Natural Indicators,Describe the colour change of red rose extract when tested with acidic and basic substances,[],"[""Investigate whether extracts of coloured flowers can act as acid-base indicators""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Natural Indicators,Prepare natural indicators such as red rose extract and turmeric paper,[],"[""Investigate whether extracts of coloured flowers can act as acid-base indicators""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral",Natural Indicators,Compare the effectiveness of different natural indicators in identifying acids and bases,[],"[""Describe the colour change of turmeric when tested with acidic and basic substances"", ""Describe the colour change of red rose extract when tested with acidic and basic substances"", ""Prepare natural indicators such as red rose extract and turmeric paper""]",[],[],[],[]
