board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Introduction to Quadratic Equations,Represent a given real-life situation algebraically in the form of a quadratic equation,"[""Representing Real-Life Situations as Quadratic Equations""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Types of polynomials by degree: linear, quadratic, cubic"", ""reason"": ""Recognising what makes an equation 'quadratic' depends on the prior classification of polynomials by degree into linear, quadratic and cubic.""}]",[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Introduction to Quadratic Equations,Rewrite a given equation in the standard form ax^2+bx+c=0,"[""Representing Real-Life Situations as Quadratic Equations""]","[""Represent a given real-life situation algebraically in the form of a quadratic equation"", ""Translate the relationships described in a real-life situation into an algebraic equation"", ""Simplify the derived equation to express it in the standard quadratic form""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Types of polynomials by degree: linear, quadratic, cubic"", ""reason"": ""Recognising what makes an equation 'quadratic' depends on the prior classification of polynomials by degree into linear, quadratic and cubic.""}]",[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Introduction to Quadratic Equations,Determine whether a given equation is quadratic or not,"[""Representing Real-Life Situations as Quadratic Equations""]","[""Rewrite a given equation in the standard form ax^2+bx+c=0""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Types of polynomials by degree: linear, quadratic, cubic"", ""reason"": ""Recognising what makes an equation 'quadratic' depends on the prior classification of polynomials by degree into linear, quadratic and cubic.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""Classify polynomials as linear, quadratic, or cubic based on their degree"", ""reason"": ""Deciding whether an equation is quadratic uses the same degree-based classification skill developed for polynomials.""}]"
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Representing Real-Life Situations as Quadratic Equations,Identify the unknown quantities in a given real-life situation and assign variables to them,"[""Introduction to Quadratic Equations""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Representing Real-Life Situations as Quadratic Equations,Translate the relationships described in a real-life situation into an algebraic equation,"[""Introduction to Quadratic Equations""]","[""Identify the unknown quantities in a given real-life situation and assign variables to them""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Representing Real-Life Situations as Quadratic Equations,Simplify the derived equation to express it in the standard quadratic form,"[""Introduction to Quadratic Equations""]","[""Translate the relationships described in a real-life situation into an algebraic equation""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Factorization Method,Solve a quadratic equation by factorization and find its roots,"[""Introduction to Quadratic Equations""]",[],"[{""chapter"": ""Chapter02_Polynomials"", ""concept"": ""Zeroes of a polynomial"", ""reason"": ""Derived from skill prerequisite: 'Determine the zeroes of a quadratic polynomial by factorisation' (in Chapter02_Polynomials) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Polynomials"", ""skill"": ""Determine the zeroes of a quadratic polynomial by factorisation"", ""reason"": ""Solving a quadratic equation by factorization uses the same factorisation procedure on the quadratic expression that was learned when finding zeroes of a quadratic polynomial.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using Identity IV: (x+a)(x+b) = x² + (a+b)x + ab"", ""reason"": ""The method of splitting the middle term to factorise a quadratic expression is built directly on this identity for expanding/factoring (x+a)(x+b) trinomials.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Factorization of Polynomials"", ""reason"": ""Factoring a quadratic equation reuses the polynomial factorisation techniques (including splitting the middle term) already established for quadratic polynomials.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""Factorize a given polynomial using the splitting middle-term method"", ""reason"": ""Solving by factorisation requires applying this exact middle-term splitting technique to write the quadratic as a product of two linear factors.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Factorise quadratic expressions of the form x² + px + q by finding two numbers with required sum and product"", ""reason"": ""This sum-product technique for factorising quadratic trinomials is the direct basis for factorising the quadratic equation before extracting its roots.""}]"
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Factorization Method,Solve a quadratic equation using the middle term splitting technique and find its roots,"[""Introduction to Quadratic Equations""]","[""Solve a quadratic equation by factorization and find its roots""]","[{""chapter"": ""Chapter02_Polynomials"", ""concept"": ""Zeroes of a polynomial"", ""reason"": ""Derived from skill prerequisite: 'Determine the zeroes of a quadratic polynomial by factorisation' (in Chapter02_Polynomials) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using Identity IV: (x+a)(x+b) = x² + (a+b)x + ab"", ""reason"": ""The method of splitting the middle term to factorise a quadratic expression is built directly on this identity for expanding/factoring (x+a)(x+b) trinomials.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Factorization of Polynomials"", ""reason"": ""Factoring a quadratic equation reuses the polynomial factorisation techniques (including splitting the middle term) already established for quadratic polynomials.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""Factorize a given polynomial using the splitting middle-term method"", ""reason"": ""This target skill is the same middle-term splitting technique previously used to factorise polynomials, now applied to solve for roots.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Factorise quadratic expressions of the form x² + px + q by finding two numbers with required sum and product"", ""reason"": ""Splitting the middle term relies on finding two numbers with a required sum and product, a technique introduced in this earlier chapter.""}]"
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Completing Square Method,Solve a quadratic equation by completing the square and find its roots,"[""Introduction to Quadratic Equations""]","[""Rewrite a given equation in the standard form ax^2+bx+c=0""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using algebraic identities (a+b)², (a-b)², and a²-b²"", ""reason"": ""Completing the square converts a quadratic expression into a perfect square trinomial matching exactly the (a+b)² and (a-b)² identities learned here.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""concept"": ""Square roots and nth roots of real numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate the square root of a given positive real number' (in Grade 9/Chapter1_Number_Systems) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Factorise expressions of the form a² + 2ab + b² and a² - 2ab + b² using identities"", ""reason"": ""Completing the square requires recognising and forming perfect square trinomials using exactly these identities.""}]"
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Completing Square Method,Derive the quadratic formula using the method of completing the square,"[""Introduction to Quadratic Equations""]","[""Solve a quadratic equation by completing the square and find its roots""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using algebraic identities (a+b)², (a-b)², and a²-b²"", ""reason"": ""Completing the square converts a quadratic expression into a perfect square trinomial matching exactly the (a+b)² and (a-b)² identities learned here.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""concept"": ""Square roots and nth roots of real numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate the square root of a given positive real number' (in Grade 9/Chapter1_Number_Systems) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Factorise expressions of the form a² + 2ab + b² and a² - 2ab + b² using identities"", ""reason"": ""The derivation completes the square using the perfect-square identities established in this earlier chapter.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""skill"": ""Calculate the square root of a given positive real number"", ""reason"": ""Deriving the formula requires taking the square root of both sides of the completed-square equation.""}]"
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Quadratic Formula,"Identify the coefficients a, b, and c of a quadratic equation for use in the quadratic formula","[""Completing Square Method"", ""Introduction to Quadratic Equations""]","[""Rewrite a given equation in the standard form ax^2+bx+c=0""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""concept"": ""Square roots and nth roots of real numbers"", ""reason"": ""The quadratic formula requires taking the square root of the discriminant, a general real number, which depends on understanding square roots of real numbers.""}]",[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Quadratic Formula,Apply the quadratic formula to calculate the roots of a given quadratic equation,"[""Completing Square Method"", ""Introduction to Quadratic Equations""]","[""Identify the coefficients a, b, and c of a quadratic equation for use in the quadratic formula""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""concept"": ""Square roots and nth roots of real numbers"", ""reason"": ""The quadratic formula requires taking the square root of the discriminant, a general real number, which depends on understanding square roots of real numbers.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""skill"": ""Calculate the square root of a given positive real number"", ""reason"": ""Applying the quadratic formula requires computing the square root of the discriminant, which may be any positive real number.""}]"
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Quadratic Formula,Determine when the quadratic formula is an appropriate method to solve a given quadratic equation,"[""Completing Square Method"", ""Introduction to Quadratic Equations""]","[""Identify the coefficients a, b, and c of a quadratic equation for use in the quadratic formula""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter1_Number_Systems"", ""concept"": ""Square roots and nth roots of real numbers"", ""reason"": ""The quadratic formula requires taking the square root of the discriminant, a general real number, which depends on understanding square roots of real numbers.""}]",[]
CBSE,Maths,Grade 10,Chapter04_Quadratic_Equations,Solving a Quadratic Equation,"Compare the factorization, completing the square, and quadratic formula methods to decide which is most efficient for a given quadratic equation","[""Factorization Method"", ""Completing Square Method"", ""Quadratic Formula""]","[""Solve a quadratic equation by factorization and find its roots"", ""Solve a quadratic equation by completing the square and find its roots"", ""Apply the quadratic formula to calculate the roots of a given quadratic equation""]",[],[],[],[]
