board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Mixtures,Identify examples of mixtures from everyday materials,[],[],[],[],[],[]
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Uniform and non-uniform mixtures,Distinguish between uniform and non-uniform mixtures based on the distribution of their components,"[""Mixtures""]","[""Identify examples of mixtures from everyday materials""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""Understanding why some substances dissolve completely and others do not explains why some mixtures appear uniform and others non-uniform.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Predict and test whether a material is soluble or insoluble in water"", ""reason"": ""Knowing which substances dissolve and which do not explains why some mixtures are uniform (solutions) and others non-uniform.""}]"
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Alloys as mixtures,Explain why an alloy is classified as a homogeneous mixture of metals,"[""Mixtures"", ""Uniform and non-uniform mixtures""]","[""Identify examples of mixtures from everyday materials"", ""Distinguish between uniform and non-uniform mixtures based on the distribution of their components""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Alloys"", ""reason"": ""The prior understanding that alloys are formed by mixing metals is required to classify an alloy as a type of mixture.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Explain how alloys are formed by mixing metals to improve their properties"", ""reason"": ""The prior understanding of how alloys are formed by mixing metals is required to explain why they are classified as homogeneous mixtures.""}]"
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Air as a mixture,Explain the composition of air as a mixture of gases,"[""Mixtures""]","[""Identify examples of mixtures from everyday materials""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Components of Air"", ""reason"": ""Knowing the constituent gases of air is needed before explaining air as a mixture of those gases.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Composition of Air"", ""reason"": ""Derived from skill prerequisite: 'Depict the composition of air using a pie chart' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Depict the composition of air using a pie chart"", ""reason"": ""Prior knowledge of the proportions of gases making up air is needed before explaining air as a gaseous mixture.""}]"
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Presence of carbon dioxide and dust particles in air,Demonstrate the presence of carbon dioxide and dust particles in air using simple tests,"[""Air as a mixture""]","[""Explain the composition of air as a mixture of gases""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Components of Air"", ""reason"": ""Understanding what components make up air is needed before identifying specific minor components like carbon dioxide and dust.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Test for carbon dioxide using lime water"", ""reason"": ""Derived from skill prerequisite: 'Describe the test for carbon dioxide gas using lime water' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Execute an improvised plan to test the presence of carbon dioxide, oxygen, water vapour, nitrogen, dust, and smoke in air"", ""reason"": ""This earlier skill already teaches how to design and carry out simple tests for carbon dioxide and dust in air, which the target skill directly reuses.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Describe the test for carbon dioxide gas using lime water"", ""reason"": ""The lime water test for carbon dioxide learned earlier is the specific procedure needed to demonstrate carbon dioxide's presence in air.""}]"
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Presence of carbon dioxide and dust particles in air,Interpret a simple test result to conclude the presence of carbon dioxide or dust particles in air,"[""Air as a mixture""]","[""Demonstrate the presence of carbon dioxide and dust particles in air using simple tests""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Components of Air"", ""reason"": ""Understanding what components make up air is needed before identifying specific minor components like carbon dioxide and dust.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Test for carbon dioxide using lime water"", ""reason"": ""Derived from skill prerequisite: 'Describe the test for carbon dioxide gas using lime water' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Execute an improvised plan to test the presence of carbon dioxide, oxygen, water vapour, nitrogen, dust, and smoke in air"", ""reason"": ""Having previously executed such tests is needed before a student can interpret their results to draw conclusions.""}]"
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Types of mixtures based on physical states,Classify mixtures based on the physical states of their components,"[""Mixtures""]","[""Identify examples of mixtures from everyday materials""]","[{""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""States of Matter"", ""reason"": ""Classifying mixtures by the physical state of their components requires already knowing what solid, liquid and gas states are.""}]","[{""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Differentiate between solid, liquid and gas states based on particle arrangement"", ""reason"": ""Sorting mixtures by physical state requires already being able to tell solids, liquids and gases apart.""}]",[],[]
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Pure substances,Explain the difference between the common and scientific meanings of 'pure',"[""Mixtures""]","[""Identify examples of mixtures from everyday materials""]",[],[],[],[]
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Types of pure substances,Distinguish between pure substances and mixtures,"[""Pure substances"", ""Mixtures""]","[""Explain the difference between the common and scientific meanings of 'pure'"", ""Identify examples of mixtures from everyday materials""]",[],[],[],[]
CBSE,Science,Grade 8,"Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures",Electrolysis of water,Describe the process of electrolysis of water to obtain hydrogen and oxygen,"[""Compounds""]","[""Define a compound as a substance formed by chemical combination of two or more elements""]","[{""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Chemical Effects of Electric Current"", ""reason"": ""Electrolysis of water is a specific instance of the chemical effect of electric current, which must first be understood in general.""}, {""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Electrodes and electrolyte"", ""reason"": ""Describing electrolysis requires knowing the roles of electrodes and an electrolyte in carrying current through a liquid.""}]","[{""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Explain that electricity causes chemical reactions in certain solutions"", ""reason"": ""Understanding that passing current through a liquid triggers a chemical reaction is needed before explaining electrolysis of water.""}, {""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""List the chemical effects produced by passing electric current through a liquid"", ""reason"": ""Knowing the general chemical effects current produces in a liquid underlies the specific case of splitting water into hydrogen and oxygen.""}]",[],[]
