board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Ancient Indian and Greek Ideas of Matter,"Describe the ideas of ancient Indian and Greek philosophers (Kanada, Leucippus, Democritus) regarding the nature of matter",[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Historical Concept of Parmanu"", ""reason"": ""The target concept revisits and builds on the historical idea of Parmanu (Acharya Kanad) introduced earlier, which underpins the discussion of ancient Indian atomic thought.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Describe the historical concept of Parmanu proposed by Acharya Kanad"", ""reason"": ""This target skill directly extends the earlier description of Kanad's Parmanu concept to a broader discussion including Greek philosophers.""}]"
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Dalton's Atomic Theory,State the postulates of Dalton's atomic theory,[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Evolution of Atomic Models,Sequence the historical evolution of atomic models from Dalton to Bohr,"[""Ancient Indian and Greek Ideas of Matter"", ""Dalton's Atomic Theory"", ""Discovery of the Electron"", ""Discovery of the Proton"", ""Gold Foil Experiment"", ""Discovery of the Neutron"", ""Bohr's Model of the Atom""]","[""Describe the ideas of ancient Indian and Greek philosophers (Kanada, Leucippus, Democritus) regarding the nature of matter"", ""State the postulates of Dalton's atomic theory"", ""Explain the conclusions drawn from J. J. Thomson's cathode ray experiment"", ""Describe the setup and observations of Rutherford's alpha-particle scattering (gold foil) experiment"", ""State the postulates of Neils Bohr's model of the atom""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Discovery of the Electron,Explain the conclusions drawn from J. J. Thomson's cathode ray experiment,"[""Ancient Indian and Greek Ideas of Matter""]","[""Describe the ideas of ancient Indian and Greek philosophers (Kanada, Leucippus, Democritus) regarding the nature of matter""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Discovery of the Proton,Explain the discovery and significance of the proton,"[""Discovery of the Electron""]","[""Explain the conclusions drawn from J. J. Thomson's cathode ray experiment""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Discovery of the Neutron,Explain the discovery and significance of the neutron,[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Gold Foil Experiment,Describe the setup and observations of Rutherford's alpha-particle scattering (gold foil) experiment,"[""Discovery of the Electron""]","[""Explain the conclusions drawn from J. J. Thomson's cathode ray experiment""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Constituents of an Atom,Differentiate between electrons and protons based on their properties,"[""Discovery of the Electron"", ""Discovery of the Proton"", ""Discovery of the Neutron""]","[""Explain the conclusions drawn from J. J. Thomson's cathode ray experiment"", ""Explain the discovery and significance of the proton""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Atoms and Molecules"", ""reason"": ""Understanding that matter is composed of atoms as basic units is needed before a student can meaningfully learn about the subatomic particles that make up an atom.""}]",[]
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Constituents of an Atom,"List the charge and location of electrons, protons, and neutrons in an atom","[""Discovery of the Electron"", ""Discovery of the Proton"", ""Discovery of the Neutron""]","[""Explain the conclusions drawn from J. J. Thomson's cathode ray experiment"", ""Explain the discovery and significance of the proton"", ""Explain the discovery and significance of the neutron""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Atoms and Molecules"", ""reason"": ""Understanding that matter is composed of atoms as basic units is needed before a student can meaningfully learn about the subatomic particles that make up an atom.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Explain atoms and molecules as the basic building blocks of matter"", ""reason"": ""A student must first grasp that atoms are the fundamental units of matter before learning about the specific subatomic particles that compose them.""}]"
CBSE,Science,Grade 9,Chapter08_Journey_Inside_the_Atom,Neutrality of the Atom,Explain why atoms are electrically neutral,"[""Constituents of an Atom""]","[""List the charge and location of electrons, protons, and neutrons in an atom""]",[],[],[],[]
