board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Refraction through glass slab,Demonstrate the path of light through a rectangular glass slab,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Refraction through glass slab,Trace the emergent ray to show lateral displacement in a glass slab,[],"[""Demonstrate the path of light through a rectangular glass slab""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Laws of refraction,State the laws of refraction of light based on observed light bending,"[""Refraction through glass slab""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Laws of refraction,"Apply the laws of refraction to identify the normal, incident ray, and refracted ray in a diagram","[""Refraction through glass slab""]","[""State the laws of refraction of light based on observed light bending""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Laws of reflection,State the laws of reflection of light,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Laws of reflection,Verify the laws of reflection using a labelled ray diagram,[],"[""State the laws of reflection of light""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Reflection by spherical mirrors,Complete ray diagrams by drawing reflected rays for spherical mirrors,"[""Laws of reflection""]","[""Verify the laws of reflection using a labelled ray diagram""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Concave mirror"", ""reason"": ""Grade 10's quantitative treatment of spherical mirror reflection (mirror formula, magnification) assumes prior familiarity with the concave mirror's curvature and basic image-forming behaviour introduced in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Convex mirror"", ""reason"": ""Understanding the convex mirror's diverging behaviour, established in Grade 8, is needed before analysing its reflection quantitatively in Grade 10.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Characteristics of images formed by spherical mirrors"", ""reason"": ""Grade 10 builds on the qualitative image characteristics (erect/inverted, magnified/diminished) already established for spherical mirrors to derive the mirror formula and magnification relations.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Laws of reflection"", ""reason"": ""Derived from skill prerequisite: 'Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection' (in Grade 8/Chapter10_Light:_Mirrors_and_Lenses) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""skill"": ""Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection"", ""reason"": ""Constructing ray diagrams for spherical mirrors requires the basic technique of drawing incident, normal and reflected rays already practised in Grade 8.""}]"
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Image formation by concave lens,Represent the path of incident and refracted light rays through a concave lens,"[""Laws of refraction""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Lens: convex and concave"", ""reason"": ""Recognising the concave lens's diverging shape and basic behaviour, taught in Grade 8, is required before tracing its ray diagrams and deriving the lens formula in Grade 10.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Images formed by convex and concave lenses"", ""reason"": ""The qualitative image properties for a concave lens established in Grade 8 form the basis for the quantitative ray-diagram and lens-formula analysis in Grade 10.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Behaviour of parallel light beams through lenses (converging and diverging)"", ""reason"": ""Derived from skill prerequisite: 'Explain how convex and concave lenses converge or diverge light beams' (in Grade 8/Chapter10_Light:_Mirrors_and_Lenses) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""skill"": ""Explain how convex and concave lenses converge or diverge light beams"", ""reason"": ""Tracing rays through a concave lens depends on already knowing that it diverges parallel beams, a fact established in Grade 8.""}]"
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Image formation by convex lens,Illustrate the path of incident and refracted light rays through a convex lens,"[""Laws of refraction""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Lens: convex and concave"", ""reason"": ""Grade 10's detailed ray-diagram treatment of the convex lens assumes the basic converging-lens shape and behaviour already introduced in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Images formed by convex and concave lenses"", ""reason"": ""Prior knowledge of how image nature changes with object position for a convex lens, from Grade 8, underlies the quantitative lens-formula work in Grade 10.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Behaviour of parallel light beams through lenses (converging and diverging)"", ""reason"": ""Derived from skill prerequisite: 'Explain how convex and concave lenses converge or diverge light beams' (in Grade 8/Chapter10_Light:_Mirrors_and_Lenses) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""skill"": ""Explain how convex and concave lenses converge or diverge light beams"", ""reason"": ""Tracing rays through a convex lens depends on already knowing that it converges parallel beams, a fact established in Grade 8.""}]"
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Nature and position of image,Decipher the position and nature of image formed using ray diagrams,"[""Reflection by spherical mirrors"", ""Image formation by concave lens"", ""Image formation by convex lens""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Predicting image nature based on object distance"", ""reason"": ""Grade 10's ray-diagram determination of image nature and position extends the qualitative object-distance-to-image-nature relationship already taught in Grade 8.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""skill"": ""Predict the nature of an image formed by a mirror or lens based on object distance"", ""reason"": ""Using ray diagrams to determine image position and nature builds directly on the object-distance-to-image-nature prediction skill developed in Grade 8.""}]"
CBSE,Science,Grade 10,Chapter10_The_Human_Eye_And_The_Colourful_World,Refractive index,Calculate refractive index by comparing speed of light in two media,"[""Laws of refraction""]","[""Explain refractive index as a measure of the extent of bending of light at a boundary""]",[],[],[],[]
