board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Reading and writing 2- and 3-digit numbers,"Identify and write numbers based on given quantities (Ones, Tens, Hundreds)",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Numerals 501-999: Identifying and writing numerals/number names"", ""reason"": ""Reviewing and consolidating 2- and 3-digit numbers depends on the numeral reading/writing conventions established for numbers up to 999 in Grade 3.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Representing 3-digit numbers using bundles (Dienes blocks / matchstick bundles)"", ""reason"": ""Derived from skill prerequisite: 'Represent a given 3-digit number using bundles of hundreds, tens and ones' (in Grade 3/Chapter6_House_of_Hundreds_I) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Represent a given 3-digit number using bundles of hundreds, tens and ones"", ""reason"": ""Writing numbers from quantities of ones, tens and hundreds extends the bundling-to-number representation skill already practiced with 3-digit numbers.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Reading and writing 2- and 3-digit numbers,Read and write 2- and 3-digit numbers,[],"[""Identify and write numbers based on given quantities (Ones, Tens, Hundreds)""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Numerals 501-999: Identifying and writing numerals/number names"", ""reason"": ""Reviewing and consolidating 2- and 3-digit numbers depends on the numeral reading/writing conventions established for numbers up to 999 in Grade 3.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Representing 3-digit numbers using bundles (Dienes blocks / matchstick bundles)"", ""reason"": ""Derived from skill prerequisite: 'Represent a given 3-digit number using bundles of hundreds, tens and ones' (in Grade 3/Chapter6_House_of_Hundreds_I) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Write numerals for numbers from 501 to 999"", ""reason"": ""Fluent reading and writing of 3-digit numbers is a direct continuation of the numeral writing practice from Grade 3.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Indian number system and place value,Identify the place value of each digit in a number using the Indian number system,"[""Reading and writing 2- and 3-digit numbers""]","[""Read and write 2- and 3-digit numbers""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Place value of 3-digit numbers (hundreds, tens, ones)"", ""reason"": ""Understanding the thousands place in the Indian system requires prior mastery of the hundreds-tens-ones place value structure.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Three-digit numbers up to 1000"", ""reason"": ""Derived from skill prerequisite: 'Decompose a three-digit number into its place value parts' (in Grade 3/Chapter9_House_of_Hundreds_II) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Identify the hundreds, tens, and ones digits in a 3-digit number"", ""reason"": ""Identifying the thousands digit's place value builds on the prior skill of identifying hundreds, tens and ones digits.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Indian number system and place value,Determine the value contributed by a digit based on its position,"[""Reading and writing 2- and 3-digit numbers""]","[""Identify the place value of each digit in a number using the Indian number system""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Place value of 3-digit numbers (hundreds, tens, ones)"", ""reason"": ""Understanding the thousands place in the Indian system requires prior mastery of the hundreds-tens-ones place value structure.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Three-digit numbers up to 1000"", ""reason"": ""Derived from skill prerequisite: 'Decompose a three-digit number into its place value parts' (in Grade 3/Chapter9_House_of_Hundreds_II) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""skill"": ""Decompose a three-digit number into its place value parts"", ""reason"": ""Determining the value contributed by a digit in a four-digit number extends the decomposition skill already applied to three-digit numbers.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Indian number system and place value,Analyse and correct place value errors in number representation,"[""Reading and writing 2- and 3-digit numbers""]","[""Determine the value contributed by a digit based on its position""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Place value of 3-digit numbers (hundreds, tens, ones)"", ""reason"": ""Understanding the thousands place in the Indian system requires prior mastery of the hundreds-tens-ones place value structure.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Three-digit numbers up to 1000"", ""reason"": ""Derived from skill prerequisite: 'Decompose a three-digit number into its place value parts' (in Grade 3/Chapter9_House_of_Hundreds_II) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Numbers up to and beyond 1000,Read and write numbers up to and beyond 1000,"[""Indian number system and place value"", ""Reading and writing 2- and 3-digit numbers""]","[""Read and write 2- and 3-digit numbers""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Three-digit numbers up to 1000"", ""reason"": ""Extending number sense beyond 1000 requires the prior consolidation of numbers up to 1000 taught in Grade 3.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Numerals 501-999: Identifying and writing numerals/number names"", ""reason"": ""Derived from skill prerequisite: 'Write numerals for numbers from 501 to 999' (in Grade 3/Chapter6_House_of_Hundreds_I) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""Pairs of numbers that make 100"", ""reason"": ""Derived from skill prerequisite: 'Identify pairs of numbers that add up to 100' (in Grade 3/Chapter3_Double_Century) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""One more and one less than a given number"", ""reason"": ""Derived from skill prerequisite: 'Identify the number that comes immediately before or after a given number' (in Grade 3/Chapter3_Double_Century) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Write numerals for numbers from 501 to 999"", ""reason"": ""Writing numbers beyond 1000 builds directly on fluency writing numbers up to 999 established in Grade 3.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Numbers up to and beyond 1000,Complete addition facts leading to 1000,"[""Indian number system and place value"", ""Reading and writing 2- and 3-digit numbers""]","[""Read and write 2- and 3-digit numbers""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Three-digit numbers up to 1000"", ""reason"": ""Extending number sense beyond 1000 requires the prior consolidation of numbers up to 1000 taught in Grade 3.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Numerals 501-999: Identifying and writing numerals/number names"", ""reason"": ""Derived from skill prerequisite: 'Write numerals for numbers from 501 to 999' (in Grade 3/Chapter6_House_of_Hundreds_I) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""Pairs of numbers that make 100"", ""reason"": ""Derived from skill prerequisite: 'Identify pairs of numbers that add up to 100' (in Grade 3/Chapter3_Double_Century) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""One more and one less than a given number"", ""reason"": ""Derived from skill prerequisite: 'Identify the number that comes immediately before or after a given number' (in Grade 3/Chapter3_Double_Century) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""skill"": ""Identify pairs of numbers that add up to 100"", ""reason"": ""Completing addition facts to 1000 builds on the complement-finding strategy already practiced for pairs adding to 100.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Numbers up to and beyond 1000,Determine the number that comes before or after a given number beyond 1000,"[""Indian number system and place value"", ""Reading and writing 2- and 3-digit numbers""]","[""Read and write numbers up to and beyond 1000""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Three-digit numbers up to 1000"", ""reason"": ""Extending number sense beyond 1000 requires the prior consolidation of numbers up to 1000 taught in Grade 3.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Numerals 501-999: Identifying and writing numerals/number names"", ""reason"": ""Derived from skill prerequisite: 'Write numerals for numbers from 501 to 999' (in Grade 3/Chapter6_House_of_Hundreds_I) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""Pairs of numbers that make 100"", ""reason"": ""Derived from skill prerequisite: 'Identify pairs of numbers that add up to 100' (in Grade 3/Chapter3_Double_Century) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""One more and one less than a given number"", ""reason"": ""Derived from skill prerequisite: 'Identify the number that comes immediately before or after a given number' (in Grade 3/Chapter3_Double_Century) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""skill"": ""Identify the number that comes immediately before or after a given number"", ""reason"": ""Finding the number before or after a number beyond 1000 directly extends the same skill already practiced with smaller numbers.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Dienes blocks and tokens for representing numbers,Represent numbers using Dienes blocks and tokens,"[""Reading and writing 2- and 3-digit numbers""]","[""Read and write 2- and 3-digit numbers""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Representing 3-digit numbers using bundles (Dienes blocks / matchstick bundles)"", ""reason"": ""Using Dienes blocks for thousands builds directly on the bundling representation technique already used for hundreds, tens and ones.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Represent a given 3-digit number using bundles of hundreds, tens and ones"", ""reason"": ""Representing numbers with a thousands block extends the same bundling representation technique used for hundreds, tens and ones.""}]"
CBSE,Maths,Grade 4,Chapter4_Tick-Tick-Tick,Dienes blocks and tokens for representing numbers,Interpret a given arrangement of Dienes blocks and tokens to state the number represented,"[""Reading and writing 2- and 3-digit numbers""]","[""Represent numbers using Dienes blocks and tokens""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Representing 3-digit numbers using bundles (Dienes blocks / matchstick bundles)"", ""reason"": ""Using Dienes blocks for thousands builds directly on the bundling representation technique already used for hundreds, tens and ones.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Identify the number represented by a given set of bundles of hundreds, tens and ones"", ""reason"": ""Interpreting arrangements that now include a thousands block builds on the earlier skill of reading bundle arrangements for hundreds, tens and ones.""}]"
