board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Physical properties of metals,"Identify metals based on observable properties such as lustre, malleability, and ductility",[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Appearance of materials: lustrous and non-lustrous"", ""reason"": ""Recognising lustre as a distinct observable property of materials is needed before a student can identify lustre as a defining physical property of metals.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Distinguish between lustrous and non-lustrous materials"", ""reason"": ""Being able to distinguish lustrous from non-lustrous materials is a direct prerequisite for using lustre as a criterion to identify metals.""}]"
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Physical properties of non-metals,Identify non-metals based on observable properties such as dullness and brittleness,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Appearance of materials: lustrous and non-lustrous"", ""reason"": ""Understanding the lustrous/non-lustrous distinction is a prerequisite for recognising dullness as a characteristic physical property of non-metals.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Distinguish between lustrous and non-lustrous materials"", ""reason"": ""Recognising the non-lustrous (dull) appearance of a material builds directly on the earlier skill of distinguishing lustrous from non-lustrous materials.""}]"
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Differentiating metals and non-metals,Differentiate metals from non-metals on the basis of their physical properties,"[""Physical properties of metals"", ""Physical properties of non-metals""]","[""Identify metals based on observable properties such as lustre, malleability, and ductility"", ""Identify non-metals based on observable properties such as dullness and brittleness""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Malleability,"Distinguish between malleable, ductile, and brittle materials","[""Physical properties of metals""]","[""Identify metals based on observable properties such as lustre, malleability, and ductility""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Ductility,Demonstrate the ductile property of a metal using an everyday example,"[""Physical properties of metals""]","[""Identify metals based on observable properties such as lustre, malleability, and ductility""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Sonority,Demonstrate the property of sonority using different materials,"[""Physical properties of metals""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Sound produced by materials"", ""reason"": ""Understanding that different materials produce different sounds when struck is the basis for the specific concept of sonority in metals.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Compare the sound produced by different materials when struck"", ""reason"": ""Comparing sounds produced by different materials when struck is the direct precursor skill to demonstrating sonority specifically in metals.""}]"
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Conduction of heat,Explain why metals are good conductors of heat,"[""Physical properties of metals""]","[""Identify metals based on observable properties such as lustre, malleability, and ductility""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Conduction of electricity,Explain why metals are good conductors of electricity,"[""Physical properties of metals""]","[""Identify metals based on observable properties such as lustre, malleability, and ductility""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Conductors and Insulators"", ""reason"": ""Knowing that materials can be classified as conductors or insulators is needed before explaining why metals specifically conduct electricity well.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Use of Metals as Conductors"", ""reason"": ""Derived from skill prerequisite: 'Infer why metals like copper and aluminium are used for making electrical wires' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Infer why metals like copper and aluminium are used for making electrical wires"", ""reason"": ""Inferring why specific metals are chosen for wiring already establishes the link between metal properties and conduction, which this skill extends into a general explanation.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Test given items to classify them as electrical conductors or insulators"", ""reason"": ""Classifying materials as conductors or insulators through testing is the foundational skill needed before explaining why metals as a class conduct electricity well.""}]"
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Chemical properties of metals - reaction with oxygen,Describe the reaction of metals with oxygen to form metal oxides,"[""Differentiating metals and non-metals""]","[""Differentiate metals from non-metals on the basis of their physical properties""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter04_The_World_of_Metals_and_Non-metals,Chemical properties of metals - reaction with water,Describe the reaction of metals with water to identify reactivity,"[""Differentiating metals and non-metals""]","[""Differentiate metals from non-metals on the basis of their physical properties""]",[],[],[],[]
