board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,Construction Tools,Identify the different tools of construction used in geometry,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,Construction Tools,Describe the uses of each tool of construction,[],"[""Identify the different tools of construction used in geometry""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,The Circle,List the steps of construction for drawing a circle of given radius,"[""Construction Tools""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,The Circle,Construct a circle when its radius is known,"[""Construction Tools""]","[""List the steps of construction for drawing a circle of given radius""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,The Circle,Apply the compass technique to draw circles of different radii,"[""Construction Tools""]","[""Construct a circle when its radius is known""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,The Circle,Identify the centre and radius of a circle,"[""Construction Tools""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,A Line Segment,List the steps of construction for drawing a line segment of given length,"[""Construction Tools""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,A Line Segment,Construct a line segment when its length is known,"[""Construction Tools""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,A Line Segment,Construct a copy of a given line segment using compass,"[""Construction Tools""]","[""List the steps of construction for drawing a line segment of given length"", ""Construct a line segment when its length is known""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,A Line Segment,Verify the accuracy of a constructed line segment against the original,"[""Construction Tools""]","[""Construct a copy of a given line segment using compass""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,Perpendiculars,List the steps of construction for drawing a perpendicular to a line through a point on it,"[""A Line Segment""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter08_Playing_With_Constructions,Perpendiculars,Construct a perpendicular to a line through a point on it,"[""A Line Segment""]","[""List the steps of construction for drawing a perpendicular to a line through a point on it""]",[],[],[],[]
