board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Introduction to Arithmetic Progressions,Identify a pattern where each succeeding term is obtained by adding a fixed number to the preceding term,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Patterns in Numbers"", ""reason"": ""Derived from skill prerequisite: 'Describe the rule governing a given number pattern' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""skill"": ""Describe the rule governing a given number pattern"", ""reason"": ""Recognising an AP as an additive pattern relies on the prior skill of finding the rule that generates a number sequence.""}]"
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Introduction to Arithmetic Progressions,Write the first few terms of an AP given the first term and common difference,[],"[""Identify a pattern where each succeeding term is obtained by adding a fixed number to the preceding term""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Patterns in Numbers"", ""reason"": ""Derived from skill prerequisite: 'Describe the rule governing a given number pattern' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Introduction to Arithmetic Progressions,Identify whether a given list of numbers forms an Arithmetic Progression,[],"[""Identify a pattern where each succeeding term is obtained by adding a fixed number to the preceding term""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Patterns in Numbers"", ""reason"": ""Derived from skill prerequisite: 'Describe the rule governing a given number pattern' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Finite and infinite Arithmetic Progressions,Distinguish between finite and infinite Arithmetic Progressions,"[""Introduction to Arithmetic Progressions"", ""Common difference of an AP""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Finite and infinite Arithmetic Progressions,Determine the nature of a given AP as finite or infinite,"[""Introduction to Arithmetic Progressions"", ""Common difference of an AP""]","[""Distinguish between finite and infinite Arithmetic Progressions""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Finite and infinite Arithmetic Progressions,Write the last term of a given finite AP,"[""Introduction to Arithmetic Progressions"", ""Common difference of an AP""]","[""Determine the nature of a given AP as finite or infinite"", ""Determine the common difference of a given Arithmetic Progression""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Common difference of an AP,Determine the common difference of a given Arithmetic Progression,"[""Introduction to Arithmetic Progressions""]","[""Identify whether a given list of numbers forms an Arithmetic Progression""]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""concept"": ""Algebraic method for solving Linear Equations"", ""reason"": ""Derived from skill prerequisite: 'Apply the elimination method to solve a pair of linear equations' (in Chapter03_Pair_Of_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Common difference of an AP,Determine the first term and common difference of an AP,"[""Introduction to Arithmetic Progressions""]","[""Determine the common difference of a given Arithmetic Progression""]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""concept"": ""Algebraic method for solving Linear Equations"", ""reason"": ""Derived from skill prerequisite: 'Apply the elimination method to solve a pair of linear equations' (in Chapter03_Pair_Of_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""skill"": ""Apply the elimination method to solve a pair of linear equations"", ""reason"": ""When two conditions on the AP give two equations in the unknowns a and d, solving them requires the elimination technique for simultaneous linear equations.""}]",[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,Common difference of an AP,Solve problems involving two APs with the same common difference,"[""Introduction to Arithmetic Progressions""]","[""Determine the common difference of a given Arithmetic Progression""]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""concept"": ""Algebraic method for solving Linear Equations"", ""reason"": ""Derived from skill prerequisite: 'Apply the elimination method to solve a pair of linear equations' (in Chapter03_Pair_Of_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,General form of an AP,Express an AP in its general form using the first term and common difference,"[""Common difference of an AP""]","[""Determine the first term and common difference of an AP""]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""concept"": ""Algebraic method for solving Linear Equations"", ""reason"": ""Derived from skill prerequisite: 'Apply the elimination method to solve a pair of linear equations' (in Chapter03_Pair_Of_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,General form of an AP,Derive the AP when specific terms such as the 3rd and 7th terms are given,"[""Common difference of an AP""]","[""Express an AP in its general form using the first term and common difference""]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""concept"": ""Algebraic method for solving Linear Equations"", ""reason"": ""Derived from skill prerequisite: 'Apply the elimination method to solve a pair of linear equations' (in Chapter03_Pair_Of_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter03_Pair_Of_Linear_Equations_In_Two_Variables"", ""skill"": ""Apply the elimination method to solve a pair of linear equations"", ""reason"": ""Finding the first term and common difference from two given terms requires setting up and solving two simultaneous linear equations in a and d, a technique taught in the linear equations chapter.""}]",[],[]
CBSE,Maths,Grade 10,Chapter05_Arithmetic_Progressions,nth term of an AP,Calculate the nth term of a given Arithmetic Progression using the formula,"[""General form of an AP"", ""Common difference of an AP""]","[""Express an AP in its general form using the first term and common difference""]","[{""chapter"": ""Chapter04_Quadratic_Equations"", ""concept"": ""Quadratic Formula"", ""reason"": ""Derived from skill prerequisite: 'Apply the quadratic formula to calculate the roots of a given quadratic equation' (in Chapter04_Quadratic_Equations) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter04_Quadratic_Equations"", ""concept"": ""Factorization Method"", ""reason"": ""Derived from skill prerequisite: 'Solve a quadratic equation by factorization and find its roots' (in Chapter04_Quadratic_Equations) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Using algebraic formulas and rules"", ""reason"": ""Derived from skill prerequisite: 'Determine the nth term of a number pattern using an algebraic expression' (in Grade 7/Chapter10_Algebraic_Expressions) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Transposition of terms"", ""reason"": ""Derived from skill prerequisite: 'Transpose terms to the other side of a linear equation' (in Grade 8/Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter03_Number_Play"", ""concept"": ""Factors and Multiples"", ""reason"": ""Derived from skill prerequisite: 'Calculate multiples of a given number' (in Grade 6/Chapter03_Number_Play) is a prerequisite of a skill under this concept.""}]",[]
