board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Magnification and lenses,Explain how lenses and microscopes help in observing tiny organisms,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Convex and Concave Lenses"", ""reason"": ""Understanding how a convex lens bends light and forms magnified images is the basic optical principle a microscope's magnifying lens system relies on.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Uses of Spherical Mirrors and Lenses"", ""reason"": ""Derived from skill prerequisite: 'Outline the important uses of spherical mirrors and lenses' (in Grade 7/Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Differentiate between convex and concave lenses based on the image formed at different object positions"", ""reason"": ""Explaining microscope function requires already knowing how convex lenses produce magnified images, which is the underlying optical mechanism.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Outline the important uses of spherical mirrors and lenses"", ""reason"": ""Prior knowledge of practical lens applications is needed before extending the idea specifically to microscope magnification.""}]"
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"History of discovery of cells and microorganisms (Robert Hooke, Antonie van Leeuwenhoek)",Describe the historical discovery of cells by Robert Hooke and microorganisms by Antonie van Leeuwenhoek,"[""Magnification and lenses""]","[""Explain how lenses and microscopes help in observing tiny organisms""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Structure of a cell (cell membrane, cytoplasm, nucleus)","Identify the basic parts of a cell (cell membrane, cytoplasm, nucleus)","[""Cell as the basic unit of life""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Structure of a cell (cell membrane, cytoplasm, nucleus)","Describe the functions of the cell membrane, cytoplasm, and nucleus","[""Cell as the basic unit of life""]","[""Identify the basic parts of a cell (cell membrane, cytoplasm, nucleus)""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Cell wall and its importance in plant cells,Explain the role of the cell wall in providing structural support to plant cells,"[""Structure of a cell (cell membrane, cytoplasm, nucleus)""]","[""Describe the functions of the cell membrane, cytoplasm, and nucleus""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Plastids, chloroplasts, and vacuoles","Explain the role of plastids, chloroplasts, and vacuoles in plant cells","[""Structure of a cell (cell membrane, cytoplasm, nucleus)""]","[""Describe the functions of the cell membrane, cytoplasm, and nucleus""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Life_Processes_in_Plants"", ""concept"": ""Role of Chlorophyll in Photosynthesis"", ""reason"": ""Knowing that chlorophyll traps sunlight for photosynthesis is needed to understand why chloroplasts, the cell organelle containing chlorophyll, are important.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Life_Processes_in_Plants"", ""skill"": ""Describe the role of chlorophyll in trapping sunlight for the preparation of starch"", ""reason"": ""Explaining the chloroplast's function requires already understanding that chlorophyll traps sunlight to make food, which this skill covers.""}]"
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Differences between plant and animal cells,Distinguish between plant and animal cells based on structure,"[""Structure of a cell (cell membrane, cytoplasm, nucleus)"", ""Cell wall and its importance in plant cells"", ""Plastids, chloroplasts, and vacuoles""]","[""Identify the basic parts of a cell (cell membrane, cytoplasm, nucleus)"", ""Explain the role of the cell wall in providing structural support to plant cells"", ""Explain the role of plastids, chloroplasts, and vacuoles in plant cells""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Variation in shape and structure of cells (muscle cell, nerve cell)","Compare the shape and structure of different types of cells such as muscle cell, nerve cell and cheek cell","[""Structure of a cell (cell membrane, cytoplasm, nucleus)""]","[""Identify the basic parts of a cell (cell membrane, cytoplasm, nucleus)""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Relationship between cell shape/structure and function,Explain how the shape and structure of a cell relate to its function,"[""Variation in shape and structure of cells (muscle cell, nerve cell)""]","[""Compare the shape and structure of different types of cells such as muscle cell, nerve cell and cheek cell""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Levels of organisation: cell, tissue, organ, organ system, organism",Describe the levels of organisation in a living organism from cell to organism,"[""Cell as the basic unit of life""]","[""Explain why the cell is considered the basic unit of life""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Unicellular and multicellular organisms,Distinguish between unicellular and multicellular organisms,"[""Cell as the basic unit of life"", ""Levels of organisation: cell, tissue, organ, organ system, organism""]","[""Explain why the cell is considered the basic unit of life"", ""Describe the levels of organisation in a living organism from cell to organism""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Microorganisms: definition, types, and diversity (bacteria, protozoa, algae, fungi, viruses)","Classify microorganisms into groups such as bacteria, protozoa, algae, and fungi","[""Unicellular and multicellular organisms""]","[""Distinguish between unicellular and multicellular organisms""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,"Microorganisms: definition, types, and diversity (bacteria, protozoa, algae, fungi, viruses)",Differentiate between microorganisms and viruses based on their ability to reproduce independently,"[""Unicellular and multicellular organisms""]","[""Classify microorganisms into groups such as bacteria, protozoa, algae, and fungi""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Observation of microorganisms in pond water and soil suspension,Demonstrate how to observe microorganisms in pond water and soil suspension,"[""Magnification and lenses"", ""Microorganisms: definition, types, and diversity (bacteria, protozoa, algae, fungi, viruses)""]","[""Explain how lenses and microscopes help in observing tiny organisms"", ""Classify microorganisms into groups such as bacteria, protozoa, algae, and fungi""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye,Role of microorganisms in decomposition and manure formation,Explain the role of microorganisms in decomposing organic matter,"[""Microorganisms: definition, types, and diversity (bacteria, protozoa, algae, fungi, viruses)""]","[""Classify microorganisms into groups such as bacteria, protozoa, algae, and fungi""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Our_School—A_Happy_Place"", ""concept"": ""Composting and wet waste management"", ""reason"": ""The composting process converting organic waste into manure was already taught, providing the process framework that the target attributes specifically to microorganisms.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Our_School—A_Happy_Place"", ""skill"": ""Explain the process of composting wet waste into manure"", ""reason"": ""The composting process turning waste into manure was already taught, and this skill now attributes that process specifically to microbial decomposition.""}]"
