board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Introduction to Rational Numbers,Define a rational number in order to identify whether a given number is rational or not,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Introduction to rational numbers"", ""reason"": ""Grade 8 builds directly on the definition and basic idea of a rational number already introduced in Grade 7 before extending it to properties.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Define rational numbers in the form p/q where q ≠ 0.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Addition and Subtraction of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the commutative property to verify that a + b = b + a for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the distributive property to verify that a × (b + c) = a × b + a × c' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Additive inverse"", ""reason"": ""Derived from skill prerequisite: 'Identify the additive inverse of a rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Reciprocal of a rational number"", ""reason"": ""Derived from skill prerequisite: 'Find the reciprocal of a non-zero rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Define rational numbers in the form p/q where q ≠ 0."", ""reason"": ""The Grade 8 definition task directly reuses the p/q definition of a rational number established in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Introduction to Rational Numbers,"Apply properties of natural numbers, whole numbers and integers to arithmetic operations and extend them to rational numbers",[],"[""Define a rational number in order to identify whether a given number is rational or not""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Introduction to rational numbers"", ""reason"": ""Grade 8 builds directly on the definition and basic idea of a rational number already introduced in Grade 7 before extending it to properties.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Define rational numbers in the form p/q where q ≠ 0.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Addition and Subtraction of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the commutative property to verify that a + b = b + a for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the distributive property to verify that a × (b + c) = a × b + a × c' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Additive inverse"", ""reason"": ""Derived from skill prerequisite: 'Identify the additive inverse of a rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Reciprocal of a rational number"", ""reason"": ""Derived from skill prerequisite: 'Find the reciprocal of a non-zero rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Apply the commutative property to verify that a + b = b + a for integers"", ""reason"": ""Extending commutativity to rational numbers requires already knowing this property as verified for integers.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Apply the associative property to verify that a + (b + c) = (a + b) + c for integers"", ""reason"": ""Extending associativity to rational numbers requires already knowing this property as verified for integers.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Apply the distributive property to verify that a × (b + c) = a × b + a × c"", ""reason"": ""Extending distributivity to rational numbers requires already knowing this property as verified for integers.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Introduction to Rational Numbers,Define the additive and multiplicative identity of rational numbers,[],"[""Define a rational number in order to identify whether a given number is rational or not""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Introduction to rational numbers"", ""reason"": ""Grade 8 builds directly on the definition and basic idea of a rational number already introduced in Grade 7 before extending it to properties.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Define rational numbers in the form p/q where q ≠ 0.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Addition and Subtraction of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the commutative property to verify that a + b = b + a for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the distributive property to verify that a × (b + c) = a × b + a × c' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Additive inverse"", ""reason"": ""Derived from skill prerequisite: 'Identify the additive inverse of a rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Reciprocal of a rational number"", ""reason"": ""Derived from skill prerequisite: 'Find the reciprocal of a non-zero rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Identify zero as the additive identity for integers"", ""reason"": ""The notion of additive identity is first established for integers and is directly extended to rational numbers here.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Identify 1 as the multiplicative identity for integers"", ""reason"": ""The notion of multiplicative identity is first established for integers and is directly extended to rational numbers here.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Introduction to Rational Numbers,Define the additive and multiplicative inverse of rational numbers,[],"[""Define a rational number in order to identify whether a given number is rational or not""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Introduction to rational numbers"", ""reason"": ""Grade 8 builds directly on the definition and basic idea of a rational number already introduced in Grade 7 before extending it to properties.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Define rational numbers in the form p/q where q ≠ 0.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Addition and Subtraction of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the commutative property to verify that a + b = b + a for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the distributive property to verify that a × (b + c) = a × b + a × c' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Additive inverse"", ""reason"": ""Derived from skill prerequisite: 'Identify the additive inverse of a rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Reciprocal of a rational number"", ""reason"": ""Derived from skill prerequisite: 'Find the reciprocal of a non-zero rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Identify the additive inverse of a rational number."", ""reason"": ""This target skill directly reuses the additive inverse concept already taught for rational numbers in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Find the reciprocal of a non-zero rational number."", ""reason"": ""The multiplicative inverse (reciprocal) of a rational number was already defined and computed in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Introduction to Rational Numbers,Apply the distributive property of multiplication over addition to simplify a given expression involving rational numbers,[],"[""Apply properties of natural numbers, whole numbers and integers to arithmetic operations and extend them to rational numbers""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Introduction to rational numbers"", ""reason"": ""Grade 8 builds directly on the definition and basic idea of a rational number already introduced in Grade 7 before extending it to properties.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Define rational numbers in the form p/q where q ≠ 0.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Addition and Subtraction of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the commutative property to verify that a + b = b + a for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the distributive property to verify that a × (b + c) = a × b + a × c' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Additive inverse"", ""reason"": ""Derived from skill prerequisite: 'Identify the additive inverse of a rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Reciprocal of a rational number"", ""reason"": ""Derived from skill prerequisite: 'Find the reciprocal of a non-zero rational number.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Apply the distributive property to verify that a × (b + c) = a × b + a × c"", ""reason"": ""The distributive procedure over addition was already practised for integers and is directly reused for rational numbers.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Closure Property,"Identify whether a set of numbers is closed under addition, subtraction, multiplication, and division","[""Introduction to Rational Numbers""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Verify that integers are closed under multiplication' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Addition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Add two rational numbers with different denominators using LCM.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Multiplication of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Multiply two rational numbers.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Division of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Divide one rational number by another non-zero rational number using reciprocals.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Verify that integers are closed under multiplication"", ""reason"": ""The concept of closure and how to test it was first introduced for integers before being generalised to other number sets.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Closure Property,"Calculate the sum, difference, product, and quotient of rational numbers to test closure","[""Introduction to Rational Numbers""]","[""Define a rational number in order to identify whether a given number is rational or not""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Verify that integers are closed under multiplication' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Addition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Add two rational numbers with different denominators using LCM.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Multiplication of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Multiply two rational numbers.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Division of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Divide one rational number by another non-zero rational number using reciprocals.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Add two rational numbers with different denominators using LCM."", ""reason"": ""Testing closure requires already being able to compute the sum of rational numbers, a skill taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Multiply two rational numbers."", ""reason"": ""Testing closure under multiplication requires already knowing how to multiply rational numbers, taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Divide one rational number by another non-zero rational number using reciprocals."", ""reason"": ""Testing closure under division requires already knowing the reciprocal-based division procedure for rational numbers.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Closure Property,"Compare closure of addition, subtraction, multiplication, and division across natural numbers, whole numbers, integers, and rational numbers","[""Introduction to Rational Numbers""]","[""Calculate the sum, difference, product, and quotient of rational numbers to test closure""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Verify that integers are closed under multiplication' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Addition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Add two rational numbers with different denominators using LCM.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Multiplication of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Multiply two rational numbers.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Division of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Divide one rational number by another non-zero rational number using reciprocals.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Verify that integers are closed under multiplication"", ""reason"": ""Comparing closure across number sets requires already knowing the closure result established for integers.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Closure Property,Explain why rational numbers are not closed under division and state the condition under which they are,"[""Introduction to Rational Numbers""]","[""Calculate the sum, difference, product, and quotient of rational numbers to test closure""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Verify that integers are closed under multiplication' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Addition of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Add two rational numbers with different denominators using LCM.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Multiplication of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Multiply two rational numbers.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Division of rational numbers"", ""reason"": ""Derived from skill prerequisite: 'Divide one rational number by another non-zero rational number using reciprocals.' (in Grade 7/Chapter8_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Divide one rational number by another non-zero rational number using reciprocals."", ""reason"": ""Understanding why division fails to be closed requires the prior procedure of dividing rational numbers using reciprocals, including the non-zero divisor condition.""}]"
CBSE,Maths,Grade 8,Chapter1_Rational_Numbers,Commutativity of Operations,"Distinguish between operations that are commutative and those that are not for whole numbers, integers, and rational numbers","[""Introduction to Rational Numbers""]","[""Apply properties of natural numbers, whole numbers and integers to arithmetic operations and extend them to rational numbers""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Addition and Subtraction of Integers"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate that subtraction is not commutative for integers using examples' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Multiplication of Integers"", ""reason"": ""Derived from skill prerequisite: 'Apply the commutative property to verify that a × b = b × a for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Properties of Division of Integers"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate that division is not commutative for integers' (in Grade 7/Chapter1_Integers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Demonstrate that subtraction is not commutative for integers using examples"", ""reason"": ""This target relies on the earlier result, established for integers, that subtraction and division are not commutative.""}]"
