board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Introduction to plane figures and solid shapes,Distinguish between plane figures and solid shapes,[],[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Introduction to plane figures and solid shapes,Give examples of plane figures and solid shapes from the environment,[],[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Two-dimensional figures,Identify two-dimensional figures and describe their properties,"[""Introduction to plane figures and solid shapes"", ""Three-dimensional shapes""]","[""Distinguish between plane figures and solid shapes""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Two-dimensional figures,Identify 2-D faces that form the surfaces of 3-D solids,"[""Introduction to plane figures and solid shapes"", ""Three-dimensional shapes""]","[""Identify two-dimensional figures and describe their properties"", ""Identify three-dimensional shapes and describe their properties""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Three-dimensional shapes,Identify three-dimensional shapes and describe their properties,"[""Introduction to plane figures and solid shapes"", ""Two-dimensional figures""]","[""Distinguish between plane figures and solid shapes""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Three-dimensional shapes,Distinguish three-dimensional shapes from two-dimensional figures based on their faces,"[""Introduction to plane figures and solid shapes"", ""Two-dimensional figures""]","[""Identify two-dimensional figures and describe their properties"", ""Identify three-dimensional shapes and describe their properties""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,"Faces, edges and vertices","Identify the faces, edges and vertices of a given solid shape","[""Three-dimensional shapes""]","[""Identify three-dimensional shapes and describe their properties""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,"Faces, edges and vertices","Count the number of faces, edges and vertices of different solid shapes","[""Three-dimensional shapes""]","[""Identify the faces, edges and vertices of a given solid shape""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,"Faces, edges and vertices","Compare solid shapes based on their number of faces, edges and vertices","[""Three-dimensional shapes""]","[""Count the number of faces, edges and vertices of different solid shapes""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Nets for building 3D shapes,Identify the net corresponding to a given 3D shape,"[""Three-dimensional shapes"", ""Faces, edges and vertices""]","[""Identify the faces, edges and vertices of a given solid shape""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Nets for Cubes and Cuboids"", ""reason"": ""Introduces the foundational technique of unfolding a 3D shape into a flat net that the target chapter extends to a wider variety of solids.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Making Cube, Cylinder and Cone Using Nets"", ""reason"": ""Derived from skill prerequisite: 'Construct a cylinder by cutting and folding a designed net' (in Grade 5/Chapter09_Boxes_And_Sketches) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""skill"": ""Match a given net to the correct 3D box it will form"", ""reason"": ""Teaches the matching technique between a flat net and its 3D box, extended in the target to a broader range of solids.""}]"
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Nets for building 3D shapes,Construct a net to build a given 3D shape,"[""Three-dimensional shapes"", ""Faces, edges and vertices""]","[""Identify the net corresponding to a given 3D shape""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Nets for Cubes and Cuboids"", ""reason"": ""Introduces the foundational technique of unfolding a 3D shape into a flat net that the target chapter extends to a wider variety of solids.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Making Cube, Cylinder and Cone Using Nets"", ""reason"": ""Derived from skill prerequisite: 'Construct a cylinder by cutting and folding a designed net' (in Grade 5/Chapter09_Boxes_And_Sketches) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""skill"": ""Construct a net for a given cube or cuboid by unfolding its faces"", ""reason"": ""Teaches the unfolding technique for producing a net of a solid, which the target extends to other 3D shapes.""}]"
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Nets for building 3D shapes,Construct a solid shape from its net,"[""Three-dimensional shapes"", ""Faces, edges and vertices""]","[""Identify the net corresponding to a given 3D shape"", ""Construct a net to build a given 3D shape""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Nets for Cubes and Cuboids"", ""reason"": ""Introduces the foundational technique of unfolding a 3D shape into a flat net that the target chapter extends to a wider variety of solids.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Making Cube, Cylinder and Cone Using Nets"", ""reason"": ""Derived from skill prerequisite: 'Construct a cylinder by cutting and folding a designed net' (in Grade 5/Chapter09_Boxes_And_Sketches) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""skill"": ""Construct a cylinder by cutting and folding a designed net"", ""reason"": ""Establishes the cut-and-fold procedure for building a solid from its net that the target generalises to other shapes.""}]"
CBSE,Maths,Grade 7,Chapter13_Visualising_Solid_Shapes,Nets for building 3D shapes,Explain the properties of a solid shape from its net,"[""Three-dimensional shapes"", ""Faces, edges and vertices""]","[""Identify the net corresponding to a given 3D shape"", ""Identify the faces, edges and vertices of a given solid shape""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Nets for Cubes and Cuboids"", ""reason"": ""Introduces the foundational technique of unfolding a 3D shape into a flat net that the target chapter extends to a wider variety of solids.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""concept"": ""Making Cube, Cylinder and Cone Using Nets"", ""reason"": ""Derived from skill prerequisite: 'Construct a cylinder by cutting and folding a designed net' (in Grade 5/Chapter09_Boxes_And_Sketches) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Boxes_And_Sketches"", ""skill"": ""Compare the nets of a cube, cylinder, and cone to explain differences in their face shapes"", ""reason"": ""Builds the reasoning skill of inferring a solid's face properties directly from examining its net.""}]"
