board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Nature and process of science,Pose questions about natural phenomena for scientific investigation,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Nature and process of science,Design a simple activity to test a scientific question,[],"[""Pose questions about natural phenomena for scientific investigation""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Nature and process of science,Record observations during an experiment or activity,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Nature and process of science,Analyze recorded data to draw inferences,[],"[""Record observations during an experiment or activity""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Nature and process of science,Share findings of an investigation with peers,[],"[""Analyze recorded data to draw inferences""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Steps of the scientific method,"Sequence a given set of jumbled investigation activities into the correct order of observation, question, hypothesis, experiment and conclusion","[""Curiosity as the foundation of science""]","[""Identify which step of the scientific method (observation, questioning, hypothesis, experimentation or conclusion) a described action represents""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Pottery and pot making process"", ""reason"": ""Derived from skill prerequisite: 'Arrange sequential images of a process in correct order' (in Grade 3/Chapter11_Making_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""skill"": ""Arrange sequential images of a process in correct order"", ""reason"": ""The general technique of ordering jumbled steps of a process was first practised here and is directly reused to sequence investigation activities.""}]"
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Steps of the scientific method,"Identify which step of the scientific method (observation, questioning, hypothesis, experimentation or conclusion) a described action represents","[""Curiosity as the foundation of science""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Pottery and pot making process"", ""reason"": ""Derived from skill prerequisite: 'Arrange sequential images of a process in correct order' (in Grade 3/Chapter11_Making_Things) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Observable features of materials and organisms,Examine observable features to identify a material or organism,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Predicting Material Properties"", ""reason"": ""Derived from skill prerequisite: 'Predict the material of an object based on its properties like texture, sound and appearance' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Predict the material of an object based on its properties like texture, sound and appearance"", ""reason"": ""Using texture, sound and appearance to identify an object's material is the exact technique later generalised to identifying materials or organisms.""}]"
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,"Properties, structure and functions of materials and organisms",Compare properties and structure to differentiate two materials,"[""Observable features of materials and organisms""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Properties of materials"", ""reason"": ""The vocabulary and idea of describing materials by properties like hardness and texture was established here and is assumed when discussing properties and structure together.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Compare properties of different materials such as hardness, flexibility, texture and sound"", ""reason"": ""The target skill directly extends this earlier practice of comparing observable material properties to differentiate materials.""}]"
CBSE,Science,Grade 6,Chapter01_The_Wonderful_World_Of_Science,Classification of materials and organisms by observable properties,Classify materials or organisms using observable properties,"[""Observable features of materials and organisms""]","[""Examine observable features to identify a material or organism""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Grouping objects by material"", ""reason"": ""Grouping objects according to the material they are made of is the earlier form of the property-based classification this concept extends to organisms as well.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Classify objects based on the material they are made of"", ""reason"": ""Sorting objects by the material they are made of is the specific technique this broader classification skill builds upon.""}]"
