board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Production of Sound,Demonstrate that sound is produced due to vibration of objects,[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Tuning Fork as a Sound-Producing Instrument,Describe the working of a tuning fork and its role in producing sound,"[""Production of Sound""]","[""Demonstrate that sound is produced due to vibration of objects""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Propagation of Sound as Waves,Explain how sound travels as successive compressions and rarefactions in a medium,"[""Production of Sound""]","[""Demonstrate that sound is produced due to vibration of objects""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Characteristics of Particles - Space Between Particles"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the presence of space between particles of matter using diffusion examples' (in Grade 8/Chapter07_Particulate_Nature_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Illustrate the presence of space between particles of matter using diffusion examples"", ""reason"": ""Describing compressions and rarefactions requires already knowing that particles in a medium have variable spacing that can be pushed together or pulled apart.""}]"
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Compressions and Rarefactions,"Identify crest, trough, compression and rarefaction in a wave diagram","[""Propagation of Sound as Waves""]","[""Explain how sound travels as successive compressions and rarefactions in a medium""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Characteristics of Particles - Space Between Particles"", ""reason"": ""Compressions and rarefactions are regions where a medium's particles are pushed closer together or spread farther apart, which directly applies this earlier concept of variable spacing between particles.""}]",[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Mechanical Waves,Define mechanical waves and identify sound as one,"[""Propagation of Sound as Waves""]","[""Explain how sound travels as successive compressions and rarefactions in a medium""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Longitudinal and Transverse Waves,Distinguish between longitudinal and transverse waves,"[""Mechanical Waves""]","[""Define mechanical waves and identify sound as one""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Energy of Sound Waves,Explain how sound waves transfer energy without transferring matter,"[""Propagation of Sound as Waves""]","[""Explain how sound travels as successive compressions and rarefactions in a medium""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Requirement of a Medium for Sound,Justify why sound cannot travel through vacuum,"[""Mechanical Waves""]","[""Define mechanical waves and identify sound as one""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Particulate Nature of Matter"", ""reason"": ""Understanding that a medium consists of discrete, vibrating particles is what explains why sound (a mechanical disturbance) cannot exist without particles to carry it, i.e. cannot cross a vacuum.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Explain the concept of matter being made up of tiny particles"", ""reason"": ""The justification for sound needing a medium rests on knowing vibrations are passed between particles of matter, which are absent in a vacuum.""}]"
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Requirement of a Medium for Sound,Demonstrate that sound requires a medium to travel using experiments,"[""Mechanical Waves""]","[""Justify why sound cannot travel through vacuum""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Particulate Nature of Matter"", ""reason"": ""Understanding that a medium consists of discrete, vibrating particles is what explains why sound (a mechanical disturbance) cannot exist without particles to carry it, i.e. cannot cross a vacuum.""}]",[]
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Characteristics of Sound Waves,"Define wavelength, frequency, time period and amplitude of a sound wave using its graphical representation","[""Propagation of Sound as Waves"", ""Compressions and Rarefactions""]","[""Identify crest, trough, compression and rarefaction in a wave diagram""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Time period of a pendulum"", ""reason"": ""Derived from skill prerequisite: 'Define time period of a pendulum' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Define time period of a pendulum"", ""reason"": ""Time period as the duration of one complete oscillation was first precisely defined using a pendulum, and this exact quantity is now extended to describe one cycle of a sound wave.""}]"
CBSE,Science,Grade 9,Chapter10_Sound_Waves:_Characteristics_and_Applications,Characteristics of Sound Waves,"Calculate wavelength, frequency, or time period of a sound wave given the other quantities","[""Propagation of Sound as Waves"", ""Compressions and Rarefactions""]","[""Define wavelength, frequency, time period and amplitude of a sound wave using its graphical representation""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Time period of a pendulum"", ""reason"": ""Derived from skill prerequisite: 'Define time period of a pendulum' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]",[]
