board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,NIM Game and winning strategies,Demonstrate strategies to win a number-based game through pattern recognition,[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Addition chart and number patterns,Identify patterns in an addition table,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number chart (1–100) and patterns within it"", ""reason"": ""Recognising patterns in an addition chart directly builds on the earlier skill of spotting patterns within a 1-100 number chart.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Number patterns in a hundreds chart (apartment/building grid)"", ""reason"": ""The same grid-based pattern-finding technique used in a hundreds chart is reused to interpret an addition chart.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Describe and extend patterns found in rows, columns, and diagonals of a 1–100 number chart"", ""reason"": ""Finding patterns in an addition table reuses the same row/column/diagonal pattern-identification technique from the number chart.""}]"
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,"Patterns in rows, columns and diagonals of a table","Explain observations about rows, columns and diagonals in a number grid","[{""item"": ""Addition chart and number patterns"", ""reason"": ""Recognizing patterns along rows, columns and diagonals builds on first noticing basic patterns in the addition table itself.""}]","[{""item"": ""Identify patterns in an addition table"", ""reason"": ""Explaining diagonal and row/column patterns requires first having identified basic patterns in the addition table.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Diagonal and positional patterns in a number chart"", ""reason"": ""Identifying diagonal patterns in a table requires the specific diagonal-pattern recognition skill first developed on a number chart.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Patterns in rows and columns (grid/matrix puzzles)"", ""reason"": ""Reading row and column patterns in a table builds on the earlier grid/matrix pattern recognition introduced with simpler puzzles.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number chart (1–100) and patterns within it"", ""reason"": ""Derived from skill prerequisite: 'Describe and extend patterns found in rows, columns, and diagonals of a 1–100 number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""concept"": ""Number patterns in a hundreds chart (apartment/building grid)"", ""reason"": ""Derived from skill prerequisite: 'Apply number patterns in a hundreds grid to find house numbers without counting' (in Grade 3/Chapter6_House_of_Hundreds_I) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Describe and extend patterns found in rows, columns, and diagonals of a 1–100 number chart"", ""reason"": ""Articulating grid observations builds directly on the earlier practiced skill of describing patterns in rows, columns and diagonals.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter6_House_of_Hundreds_I"", ""skill"": ""Apply number patterns in a hundreds grid to find house numbers without counting"", ""reason"": ""This uses the same grid-pattern reasoning technique needed to explain positional relationships in a number grid.""}]"
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Reverse and add two-digit numbers,Calculate the sum of a two-digit number and its reverse,[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Reverse and add two-digit numbers,List numbers that give a specific sum when added to their reverse,[],"[{""item"": ""Calculate the sum of a two-digit number and its reverse"", ""reason"": ""Listing qualifying numbers requires being able to compute the sum of a number and its reverse for candidates.""}]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Estimation of sums and differences,Estimate the answer to an addition or subtraction problem before solving,[],[],"[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""concept"": ""Estimation and Verification of Arithmetic Sums"", ""reason"": ""Estimating results for larger numbers builds on the previously introduced idea of estimating and verifying arithmetic sums.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""skill"": ""Estimate the answer of an arithmetic sum before calculating precisely"", ""reason"": ""The strategy of estimating before computing an exact answer was already practiced with smaller numbers in this earlier chapter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Estimation to the Nearest Hundred"", ""reason"": ""Estimating sums and differences for larger numbers builds directly on the rounding-based estimation technique introduced for 3-digit numbers.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Estimation of sums and differences"", ""reason"": ""The same specific technique of estimating a result before calculating exactly is extended here to larger numbers.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""skill"": ""Estimate the answer to an addition or subtraction problem to the nearest hundred"", ""reason"": ""This is the same estimation technique, now generalized without a fixed rounding target for larger numbers.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Verify an estimated sum or difference by calculating the exact answer"", ""reason"": ""Estimating before solving builds on the earlier practiced habit of estimating and then checking against the exact calculation.""}]"
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Addition of 4-digit numbers with regrouping,Calculate the sum of two or more 4-digit numbers using regrouping,"[{""item"": ""Place value (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Regrouping while adding 4-digit numbers requires understanding the place value of each digit to carry over correctly.""}]","[{""item"": ""Apply place value concepts to solve addition and subtraction problems"", ""reason"": ""Correctly regrouping during addition requires applying place value understanding to each column.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""concept"": ""Addition of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""The regrouping procedure for carrying over between place values is first learned with smaller numbers before being extended to 4-digit addition.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""skill"": ""Add two or more numbers using regrouping of ones, tens, and hundreds"", ""reason"": ""Carrying over between ones, tens and hundreds must be mastered before extending the same regrouping process to thousands.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter3_Double_Century"", ""concept"": ""Adding 3-digit numbers with regrouping (vertical algorithm)"", ""reason"": ""The vertical regrouping algorithm mastered for 3-digit addition is directly extended to one more place value here.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Addition of 3-Digit Numbers with Regrouping"", ""reason"": ""This chapter's 4-digit addition procedure is a direct extension of the regrouping addition method taught for 3-digit numbers.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""skill"": ""Calculate the sum of two 3-digit numbers using the vertical algorithm with regrouping, sums not exceeding 999"", ""reason"": ""This extends the identical vertical regrouping addition algorithm to numbers with one more place value.""}]"
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Subtraction of 4-digit numbers with regrouping,Calculate the difference between two 4-digit numbers using regrouping,"[{""item"": ""Place value (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Borrowing/regrouping during subtraction of 4-digit numbers depends on understanding the place value of each digit.""}]","[{""item"": ""Apply place value concepts to solve addition and subtraction problems"", ""reason"": ""Correctly regrouping (borrowing) during subtraction requires applying place value understanding to each column.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""concept"": ""Subtraction of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Borrowing across place values must first be mastered with 2- and 3-digit numbers before extending the same procedure to 4-digit subtraction.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""skill"": ""Subtract numbers using regrouping of tens and hundreds"", ""reason"": ""Borrowing across tens and hundreds must be mastered before performing the same borrowing process across thousands in 4-digit subtraction.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Subtraction of 3-Digit Numbers"", ""reason"": ""Subtracting 4-digit numbers with regrouping builds directly on the borrowing procedure practiced with 3-digit numbers.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Regrouping in Addition and Subtraction"", ""reason"": ""The specific regrouping/borrowing mechanism taught earlier is reused without change when subtracting 4-digit numbers.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""skill"": ""Calculate the difference between two 3-digit numbers using the vertical algorithm"", ""reason"": ""This extends the same borrowing/regrouping subtraction procedure to numbers with an additional digit.""}]"
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,"Place value (Thousands, Hundreds, Tens, Ones)",Apply place value concepts to solve addition and subtraction problems,[],[],"[{""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Students must already know how to organize a number into thousands, hundreds, tens and ones columns before applying this place value structure to 4-digit addition/subtraction.""}, {""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Thousands_Around_Us"", ""skill"": ""Identify the place value of each digit in a number using the Indian number system"", ""reason"": ""Knowing the place value of each digit up to thousands is required before that understanding can be applied to solving addition/subtraction problems.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter9_House_of_Hundreds_II"", ""concept"": ""Place value (hundreds, tens, ones)"", ""reason"": ""Understanding the thousands place directly extends the hundreds-tens-ones place value framework built earlier.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Place Value: Hundreds, Tens, and Ones (HTO)"", ""reason"": ""The HTO place value structure taught earlier is the direct basis for adding a thousands column.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""skill"": ""Apply place value understanding to set up numbers correctly in addition and subtraction columns"", ""reason"": ""This is the direct continuation of the place-value-based column alignment technique already practiced with 3-digit numbers.""}]"
CBSE,Maths,Grade 4,Chapter10_Elephants_Tigers_and_Leopards,Word problems involving addition and subtraction,Solve word problems involving addition and subtraction of large numbers,"[{""item"": ""Addition of 4-digit numbers with regrouping"", ""reason"": ""Solving word problems requires the ability to actually compute the required 4-digit additions.""}, {""item"": ""Subtraction of 4-digit numbers with regrouping"", ""reason"": ""Solving word problems requires the ability to actually compute the required 4-digit subtractions.""}]","[{""item"": ""Calculate the sum of two or more 4-digit numbers using regrouping"", ""reason"": ""Word problems requiring addition depend on the underlying ability to perform the 4-digit addition correctly.""}, {""item"": ""Calculate the difference between two 4-digit numbers using regrouping"", ""reason"": ""Word problems requiring subtraction depend on the underlying ability to perform the 4-digit subtraction correctly.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""concept"": ""Addition of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Derived from skill prerequisite: 'Solve real-life addition problems involving 2-digit and 3-digit numbers' (in Chapter07_The_Cleanest_Village) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter07_The_Cleanest_Village"", ""concept"": ""Subtraction of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Derived from skill prerequisite: 'Solve real-life subtraction problems involving 2-digit and 3-digit numbers' (in Chapter07_The_Cleanest_Village) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter07_The_Cleanest_Village"", ""skill"": ""Solve real-life addition problems involving 2-digit and 3-digit numbers"", ""reason"": ""Setting up and solving addition word problems with smaller numbers is a foundation for doing the same with larger 4-digit numbers.""}, {""chapter"": ""Chapter07_The_Cleanest_Village"", ""skill"": ""Solve real-life subtraction problems involving 2-digit and 3-digit numbers"", ""reason"": ""Setting up and solving subtraction word problems with smaller numbers is a foundation for doing the same with larger 4-digit numbers.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Mixed Addition and Subtraction Word Problems"", ""reason"": ""Solving mixed word problems with large numbers builds directly on the word-problem translation skills developed for 3-digit numbers.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""skill"": ""Solve word problems involving addition and subtraction of 3-digit numbers"", ""reason"": ""The word-problem translation and solving process is extended here to numbers with more digits.""}]"
