board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factors of natural numbers and prime factorisation,Express natural numbers as products of prime factors,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""The chapter's treatment of prime factorisation of natural numbers builds directly on the prime factorisation technique already established for numbers in this earlier chapter.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""This target skill is the same prime-factorisation procedure for natural numbers that was mastered in this earlier chapter.""}]"
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factors of algebraic expressions and irreducible factors,Express each term of an algebraic expression as a product of irreducible factors,"[""Factors of natural numbers and prime factorisation""]","[""Express natural numbers as products of prime factors""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Algebraic expressions: terms, variables, constants, and coefficients"", ""reason"": ""Identifying irreducible factors of algebraic terms requires already knowing what terms, variables, constants and coefficients are within an expression.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Factors of a term"", ""reason"": ""Understanding irreducible factors of an algebraic expression requires already knowing what the factors of an individual algebraic term are.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Identify the algebraic factors of a given term"", ""reason"": ""Breaking a term into irreducible factors requires first being able to identify the algebraic factors that make up a term.""}]"
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factors of algebraic expressions and irreducible factors,Identify irreducible factors of algebraic terms and expressions,"[""Factors of natural numbers and prime factorisation""]","[""Express each term of an algebraic expression as a product of irreducible factors""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Algebraic expressions: terms, variables, constants, and coefficients"", ""reason"": ""Identifying irreducible factors of algebraic terms requires already knowing what terms, variables, constants and coefficients are within an expression.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Factors of a term"", ""reason"": ""Understanding irreducible factors of an algebraic expression requires already knowing what the factors of an individual algebraic term are.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Identify the algebraic factors of a given term"", ""reason"": ""Recognising which factors of a term are irreducible depends on already being able to list the factors of that term.""}]"
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factors of algebraic expressions and irreducible factors,Distinguish between expressions that are already in factor form and those that require factorisation,"[""Factors of natural numbers and prime factorisation""]","[""Identify irreducible factors of algebraic terms and expressions""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Algebraic expressions: terms, variables, constants, and coefficients"", ""reason"": ""Identifying irreducible factors of algebraic terms requires already knowing what terms, variables, constants and coefficients are within an expression.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Factors of a term"", ""reason"": ""Understanding irreducible factors of an algebraic expression requires already knowing what the factors of an individual algebraic term are.""}]",[]
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factorisation by the method of common factors,Identify the highest common factor of all terms in an algebraic expression,"[""Factors of algebraic expressions and irreducible factors""]","[""Express each term of an algebraic expression as a product of irreducible factors""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""The common-factor method for algebraic expressions directly extends the numeric HCF concept to the coefficients and variable parts of terms.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Determine the HCF of two or more numbers using common factors"", ""reason"": ""Finding the HCF of the coefficients of algebraic terms uses the same common-factor comparison procedure learned for whole numbers.""}]"
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factorisation by the method of common factors,Factorise algebraic expressions using the common factor method,"[""Factors of algebraic expressions and irreducible factors""]","[""Identify the highest common factor of all terms in an algebraic expression""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""The common-factor method for algebraic expressions directly extends the numeric HCF concept to the coefficients and variable parts of terms.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Determine the HCF of two or more numbers using common factors"", ""reason"": ""Pulling out the common factor from every term requires the numeric HCF-finding procedure applied to the coefficients.""}]"
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factorisation by the method of common factors,Verify factorisation results by expanding the factor form back to the original expression,"[""Factors of algebraic expressions and irreducible factors""]","[""Factorise algebraic expressions using the common factor method""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""The common-factor method for algebraic expressions directly extends the numeric HCF concept to the coefficients and variable parts of terms.""}]",[]
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factorisation by regrouping terms,Identify pairs or groups of terms in an algebraic expression that share a common factor,"[""Factorisation by the method of common factors""]","[""Identify the highest common factor of all terms in an algebraic expression""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factorisation by regrouping terms,Factorise algebraic expressions by regrouping terms,"[""Factorisation by the method of common factors""]","[""Identify pairs or groups of terms in an algebraic expression that share a common factor"", ""Factorise algebraic expressions using the common factor method""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter12_Factorisation,Factorisation by regrouping terms,Factorise multi-term algebraic expressions that cannot be factorised without regrouping,"[""Factorisation by the method of common factors""]","[""Factorise algebraic expressions by regrouping terms""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter12_Factorisation,"Factorisation using algebraic identities (a+b)², (a-b)², and a²-b²",Identify which algebraic identity applies to a given expression,"[""Factorisation by the method of common factors"", ""Factors of algebraic expressions and irreducible factors""]","[""Identify irreducible factors of algebraic terms and expressions""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Multiplying a binomial by a binomial"", ""reason"": ""Recognising and using these identities in reverse for factorisation requires having first learned how (a+b)(a+b) and similar binomial products expand.""}]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Apply distributive law to obtain the product of two binomials"", ""reason"": ""Matching an expression to an identity pattern requires familiarity with how binomial products expand through the distributive law.""}]",[],[]
