board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,"Brick patterns in walls, floors, and surroundings","Observe brick patterns in walls, floors, and surroundings",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Derived from skill prerequisite: 'Identify the line of symmetry in a given shape or pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,"Brick patterns in walls, floors, and surroundings",Name the different types of brick patterns observed,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Derived from skill prerequisite: 'Identify the line of symmetry in a given shape or pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,"Brick patterns in walls, floors, and surroundings",Extend a given brick pattern based on its symmetry,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Derived from skill prerequisite: 'Identify the line of symmetry in a given shape or pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify the line of symmetry in a given shape or pattern"", ""reason"": ""Extending a pattern using symmetry requires already being able to find the line of symmetry in a pattern.""}]"
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,"Brick patterns in walls, floors, and surroundings",Describe the symmetry present in a brick pattern,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Derived from skill prerequisite: 'Identify the line of symmetry in a given shape or pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Explain why a shape or object is or is not symmetrical"", ""reason"": ""Describing symmetry in a brick pattern requires the earlier understanding of what makes a pattern symmetrical.""}]"
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,"Brick patterns in walls, floors, and surroundings",Classify brick patterns based on their arrangement,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Derived from skill prerequisite: 'Identify the line of symmetry in a given shape or pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,Properties of a brick as a cuboid,Identify the edges and faces of a brick,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Faces of 3D objects (cuboid faces as rectangles and squares)"", ""reason"": ""Understanding that a cuboid's faces are rectangles and squares is needed before describing a brick's properties as a cuboid.""}]",[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,Properties of a brick as a cuboid,Describe the properties of a cuboid using a brick as an example,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Faces of 3D objects (cuboid faces as rectangles and squares)"", ""reason"": ""Understanding that a cuboid's faces are rectangles and squares is needed before describing a brick's properties as a cuboid.""}]",[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,Properties of a brick as a cuboid,Compare the faces and edges of a brick with those of other cuboids,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Faces of 3D objects (cuboid faces as rectangles and squares)"", ""reason"": ""Understanding that a cuboid's faces are rectangles and squares is needed before describing a brick's properties as a cuboid.""}]",[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,Daily life problems on bricks and construction,Identify the operation needed to solve a daily life brick-related problem,[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,Daily life problems on bricks and construction,"Solve daily life problems involving bricks using addition, subtraction, multiplication or division",[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,Daily life problems on bricks and construction,Verify the solution of a brick-related word problem,[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter01_Shapes_Around_Us,3D shapes and their real-world examples,Identify shapes used to model parts of real buildings and monuments,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter2_Toy_Joy"", ""concept"": ""3D shapes: cube, cuboid, cylinder, cone, sphere"", ""reason"": ""Students must already recognize these named solids before matching them to real-world examples.""}]",[]
