board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Distance and Displacement,Differentiate between distance and displacement for an object's motion,"[""Describing position of an object using a reference point""]",[],[],[],[],[]
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Distance and Displacement,Calculate distance and displacement in real-life situations,"[""Describing position of an object using a reference point""]","[""Differentiate between distance and displacement for an object's motion""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Motion in a straight line,"Explain the difference between motion in one, two and three dimensions","[""Describing position of an object using a reference point""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Linear motion"", ""reason"": ""The target concept of straight-line motion directly builds on the earlier introduction of linear motion as a distinct type of motion.""}]",[]
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Describing position of an object using a reference point,Describe the position of an object with respect to a reference point,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Describing position with respect to a reference point"", ""reason"": ""The target concept extends the earlier idea that an object's position must be stated relative to a chosen reference point.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Reference point"", ""reason"": ""Understanding what a reference point is must precede using it to describe an object's position for motion analysis.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""skill"": ""Explain how the position of an object is described with respect to a reference point"", ""reason"": ""This target skill directly repeats and extends the earlier-taught technique of locating an object relative to a reference point.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""skill"": ""Define reference point with an example"", ""reason"": ""Being able to describe position with a reference point requires first knowing what a reference point is, as taught earlier.""}]"
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Motion in a plane (two dimensions),Give examples of objects moving in a plane,"[""Motion in a straight line""]",[],[],[],[],[]
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Motion in three dimensions,Give examples of objects moving in three dimensions,"[""Motion in a plane (two dimensions)""]",[],[],[],[],[]
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Scalars and vectors,Classify physical quantities of motion as scalar or vector,"[""Distance and Displacement""]",[],[],[],[],[]
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Uniform and Non-uniform Motion,Distinguish between uniform and non-uniform motion using given data,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Uniform and non-uniform motion"", ""reason"": ""The earlier chapter already introduces the distinction between uniform and non-uniform motion based on speed, which the target concept builds upon quantitatively.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Tabulated motion data interpretation"", ""reason"": ""Derived from skill prerequisite: 'Interpret tabulated data to determine whether motion is uniform or non-uniform' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Interpret tabulated data to determine whether motion is uniform or non-uniform"", ""reason"": ""This target skill is a direct continuation of the earlier-taught skill of reading tabulated motion data to classify motion as uniform or non-uniform.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Differentiate uniform motion from non-uniform motion based on speed variation"", ""reason"": ""Distinguishing uniform from non-uniform motion using data requires the earlier-established criterion of speed variation to make the classification.""}]"
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Speed,Calculate the speed of an object at different intervals of time,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Speed formula"", ""reason"": ""The target concept of speed assumes the student already knows the speed = distance/time relationship derived in the earlier chapter.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Calculating speed, distance and time"", ""reason"": ""Derived from skill prerequisite: 'Calculate speed, distance or time when the other two quantities are given' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Calculate speed, distance or time when the other two quantities are given"", ""reason"": ""Computing speed at intervals requires the previously mastered procedure of applying the speed formula to given distance and time values.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Derive the mathematical formula for calculating speed"", ""reason"": ""This target skill relies on the earlier derivation of the speed formula as the basis for any speed calculation.""}]"
CBSE,Science,Grade 9,Chapter04_Describing_Motion_Around_Us,Average Speed,Calculate the average speed of an object,"[""Speed""]","[""Calculate the speed of an object at different intervals of time""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Average speed"", ""reason"": ""The target concept directly reuses the earlier-established idea of average speed as total distance divided by total time.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Calculate average speed from distance-time data"", ""reason"": ""This is the same computational procedure already taught earlier, now being applied within a more advanced kinematics context.""}]"
