board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Classification of Polygons,List the properties of a polygon and classify given figures as polygons or non-polygons,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Polygons"", ""reason"": ""Classifying polygons by their properties requires first knowing what a polygon is and being able to identify one, which is introduced in this chapter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Curves"", ""reason"": ""Derived from skill prerequisite: 'Describe an open curve and a closed curve' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Examine the given curves and identify polygons and non-polygons"", ""reason"": ""This target skill directly builds on the earlier ability to distinguish polygons from non-polygons among given curves.""}]"
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Classification of Polygons,"Classify polygons as regular or irregular, and as concave or convex based on their properties",[],"[""List the properties of a polygon and classify given figures as polygons or non-polygons""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Polygons"", ""reason"": ""Classifying polygons by their properties requires first knowing what a polygon is and being able to identify one, which is introduced in this chapter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Curves"", ""reason"": ""Derived from skill prerequisite: 'Describe an open curve and a closed curve' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Classification of Polygons,Distinguish between simple closed curves and polygons using definitions and examples,[],"[""List the properties of a polygon and classify given figures as polygons or non-polygons""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Polygons"", ""reason"": ""Classifying polygons by their properties requires first knowing what a polygon is and being able to identify one, which is introduced in this chapter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Curves"", ""reason"": ""Derived from skill prerequisite: 'Describe an open curve and a closed curve' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Describe an open curve and a closed curve"", ""reason"": ""Distinguishing a simple closed curve from a polygon requires already knowing the definition of open versus closed curves.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Demonstrate an understanding of a simple curve and a curve that is not simple"", ""reason"": ""Recognising a polygon as a special simple closed curve requires prior understanding of what makes a curve 'simple'.""}]"
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Angle Sum Property of Polygons,Recall the angle sum property of a triangle and extend it to derive the angle sum of a quadrilateral,"[""Classification of Polygons""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Angle sum property of a triangle"", ""reason"": ""The polygon angle-sum formula is derived by splitting a polygon into triangles and adding up their known 180° angle sums.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""State that the sum of the interior angles of a triangle is 180 degrees."", ""reason"": ""The quadrilateral angle sum is derived by splitting it into two triangles and using the known 180° triangle angle-sum fact.""}]"
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Angle Sum Property of Polygons,Relate the angle sum of a triangle and a quadrilateral and generalise the formula for the angle sum of an n-sided polygon,"[""Classification of Polygons""]","[""Recall the angle sum property of a triangle and extend it to derive the angle sum of a quadrilateral""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Angle sum property of a triangle"", ""reason"": ""The polygon angle-sum formula is derived by splitting a polygon into triangles and adding up their known 180° angle sums.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""State that the sum of the interior angles of a triangle is 180 degrees."", ""reason"": ""Generalising the n-sided polygon angle-sum formula depends on the base fact that a triangle's angles sum to 180°, used as the building block.""}]"
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Angle Sum Property of Polygons,Apply the angle sum property of a quadrilateral to find the measure of an unknown angle,"[""Classification of Polygons""]","[""Recall the angle sum property of a triangle and extend it to derive the angle sum of a quadrilateral""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Angle sum property of a triangle"", ""reason"": ""The polygon angle-sum formula is derived by splitting a polygon into triangles and adding up their known 180° angle sums.""}]",[]
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Exterior Angle Property of Polygons,Apply the exterior angle property of a polygon to find the measure of an unknown exterior angle,"[""Angle Sum Property of Polygons"", ""Classification of Polygons""]","[""State and verify that the sum of exterior angles of any convex polygon is 360°""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Exterior angle of a triangle"", ""reason"": ""Understanding how an exterior angle is formed at a vertex of a triangle is the basis for extending the idea to exterior angles of any polygon.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""Explain how an exterior angle is formed in a triangle."", ""reason"": ""Applying the exterior angle property to a polygon requires already understanding how an exterior angle is formed by extending a side, first learned with triangles.""}]"
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Exterior Angle Property of Polygons,State and verify that the sum of exterior angles of any convex polygon is 360°,"[""Angle Sum Property of Polygons"", ""Classification of Polygons""]","[""Relate the angle sum of a triangle and a quadrilateral and generalise the formula for the angle sum of an n-sided polygon""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Exterior angle of a triangle"", ""reason"": ""Understanding how an exterior angle is formed at a vertex of a triangle is the basis for extending the idea to exterior angles of any polygon.""}]",[]
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Exterior Angle Property of Polygons,Calculate the measure of each exterior angle of a regular polygon given the number of sides,"[""Angle Sum Property of Polygons"", ""Classification of Polygons""]","[""State and verify that the sum of exterior angles of any convex polygon is 360°"", ""Classify polygons as regular or irregular, and as concave or convex based on their properties""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Exterior angle of a triangle"", ""reason"": ""Understanding how an exterior angle is formed at a vertex of a triangle is the basis for extending the idea to exterior angles of any polygon.""}]",[]
CBSE,Maths,Grade 8,Chapter3_Understanding_Quadrilaterals,Kinds of Quadrilaterals,"List the properties of quadrilaterals and classify them as trapezium, kite, or parallelogram","[""Classification of Polygons"", ""Angle Sum Property of Polygons""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Intersecting and Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'Identify intersecting and parallel lines in given figures and in everyday contexts.' (in Grade 7/Chapter5_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[]
