board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter02_Polynomials,Degree of a polynomial,Identify the degree of a given polynomial,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Degree of a polynomial"", ""reason"": ""The Grade 10 chapter assumes the student already knows how to identify the degree of a polynomial as introduced in Grade 9 before extending it to zero-coefficient relationships.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""State the degree of a given polynomial"", ""reason"": ""This exact skill of stating the degree of a polynomial was already practiced in Grade 9 and is directly reused here without re-teaching the basic procedure.""}]"
CBSE,Maths,Grade 10,Chapter02_Polynomials,"Types of polynomials: linear, quadratic, and cubic","Classify polynomials as linear, quadratic, or cubic based on their degree","[""Degree of a polynomial""]","[""Identify the degree of a given polynomial""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Types of polynomials by degree: linear, quadratic, cubic"", ""reason"": ""Classifying polynomials by degree into linear, quadratic and cubic was already established in Grade 9 and is directly reused as a base classification here.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""Classify polynomials as linear, quadratic, or cubic based on their degree"", ""reason"": ""The identical classification skill was first taught in Grade 9 and is assumed as already mastered before the Grade 10 chapter builds on it.""}]"
CBSE,Maths,Grade 10,Chapter02_Polynomials,Zeroes of a polynomial,Calculate the value of a polynomial at a given real number,"[""Degree of a polynomial""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Zeroes of a Polynomial"", ""reason"": ""The notion of a zero of a polynomial as a value making p(x)=0 was introduced in Grade 9 and is the basis for the deeper zero-coefficient relationships taught in Grade 10.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Polynomials in one variable"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of polynomial p(x) at a given value 'a', i.e. p(a)' (in Grade 9/Chapter2_Polynomials) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using Identity IV: (x+a)(x+b) = x² + (a+b)x + ab"", ""reason"": ""Derived from skill prerequisite: 'Factorise quadratic expressions of the form x² + px + q by finding two numbers with required sum and product' (in Grade 8/Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""Calculate the value of polynomial p(x) at a given value 'a', i.e. p(a)"", ""reason"": ""Evaluating p(x) at a specific real number was introduced in Grade 9 and is the exact procedure reused to verify zeroes in Grade 10.""}]"
CBSE,Maths,Grade 10,Chapter02_Polynomials,Zeroes of a polynomial,Determine the zeroes of a linear polynomial using its coefficients,"[""Degree of a polynomial""]","[""Calculate the value of a polynomial at a given real number""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Zeroes of a Polynomial"", ""reason"": ""The notion of a zero of a polynomial as a value making p(x)=0 was introduced in Grade 9 and is the basis for the deeper zero-coefficient relationships taught in Grade 10.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Polynomials in one variable"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of polynomial p(x) at a given value 'a', i.e. p(a)' (in Grade 9/Chapter2_Polynomials) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using Identity IV: (x+a)(x+b) = x² + (a+b)x + ab"", ""reason"": ""Derived from skill prerequisite: 'Factorise quadratic expressions of the form x² + px + q by finding two numbers with required sum and product' (in Grade 8/Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""skill"": ""Find the zero of a linear polynomial"", ""reason"": ""Finding the zero of a linear polynomial from its coefficients was already taught in Grade 9 and is directly extended here into the coefficient-relationship framework.""}]"
CBSE,Maths,Grade 10,Chapter02_Polynomials,Zeroes of a polynomial,Determine the zeroes of a quadratic polynomial by factorisation,"[""Degree of a polynomial""]","[""Calculate the value of a polynomial at a given real number""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Zeroes of a Polynomial"", ""reason"": ""The notion of a zero of a polynomial as a value making p(x)=0 was introduced in Grade 9 and is the basis for the deeper zero-coefficient relationships taught in Grade 10.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter2_Polynomials"", ""concept"": ""Polynomials in one variable"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of polynomial p(x) at a given value 'a', i.e. p(a)' (in Grade 9/Chapter2_Polynomials) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factorisation using Identity IV: (x+a)(x+b) = x² + (a+b)x + ab"", ""reason"": ""Derived from skill prerequisite: 'Factorise quadratic expressions of the form x² + px + q by finding two numbers with required sum and product' (in Grade 8/Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Factorise quadratic expressions of the form x² + px + q by finding two numbers with required sum and product"", ""reason"": ""Factorising a quadratic into two linear factors by finding numbers with a required sum and product is the specific technique needed to extract zeroes by factorisation.""}]"
CBSE,Maths,Grade 10,Chapter02_Polynomials,Geometrical meaning of zeroes of a linear polynomial,Identify the number of zeroes of a linear polynomial from its graph,"[""Zeroes of a polynomial""]","[""Explain the geometrical meaning of zeroes of a linear polynomial as the x-coordinate of the point where its graph meets the x-axis""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Coordinates of points on the axes"", ""reason"": ""Interpreting a zero as the x-coordinate where the graph meets the x-axis requires already knowing that points on the x-axis have a y-coordinate of zero.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""skill"": ""State the coordinates of points lying on the x-axis"", ""reason"": ""Counting zeroes from a graph requires recognising which points on the graph lie on the x-axis, a skill specifically taught in coordinate geometry.""}]"
CBSE,Maths,Grade 10,Chapter02_Polynomials,Geometrical meaning of zeroes of a linear polynomial,Explain the geometrical meaning of zeroes of a linear polynomial as the x-coordinate of the point where its graph meets the x-axis,"[""Zeroes of a polynomial""]","[""Calculate the value of a polynomial at a given real number""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Coordinates of points on the axes"", ""reason"": ""Interpreting a zero as the x-coordinate where the graph meets the x-axis requires already knowing that points on the x-axis have a y-coordinate of zero.""}]",[]
CBSE,Maths,Grade 10,Chapter02_Polynomials,Geometrical meaning of zeroes of a quadratic polynomial,Describe the shape of the graph of a quadratic polynomial and how it relates to the number of zeroes,"[""Zeroes of a polynomial"", ""Degree of a polynomial""]","[""Identify the degree of a given polynomial""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Coordinates of points on the axes"", ""reason"": ""Reading the x-intercepts of a parabola as zeroes requires prior understanding that points lying on the x-axis have zero y-coordinate.""}]",[]
CBSE,Maths,Grade 10,Chapter02_Polynomials,Geometrical meaning of zeroes of a cubic polynomial,Verify that given values are zeroes of a cubic polynomial by substitution,"[""Zeroes of a polynomial""]","[""Calculate the value of a polynomial at a given real number""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Coordinates of points on the axes"", ""reason"": ""Identifying the zeroes of a cubic graph as x-intercepts depends on knowing that points on the x-axis correspond to y = 0.""}]",[]
CBSE,Maths,Grade 10,Chapter02_Polynomials,Geometrical meaning of zeroes of a cubic polynomial,Identify the zeroes of a cubic polynomial from its graph,"[""Zeroes of a polynomial""]","[""Verify that given values are zeroes of a cubic polynomial by substitution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Coordinates of points on the axes"", ""reason"": ""Identifying the zeroes of a cubic graph as x-intercepts depends on knowing that points on the x-axis correspond to y = 0.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""skill"": ""State the coordinates of points lying on the x-axis"", ""reason"": ""Reading the zeroes of a cubic polynomial's graph requires the prior skill of recognising and stating coordinates of points that lie on the x-axis.""}]"
