board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Importance of reproduction in organisms,Explain why reproduction is important for the survival of species rather than individuals,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,DNA copying and variation,Describe the process of DNA copying during reproduction,"[""Importance of reproduction in organisms""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Tissue culture,Describe the process of tissue culture in plants,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Sexual reproduction and its significance,Distinguish between asexual and sexual modes of reproduction,"[""Importance of reproduction in organisms""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Sexual reproduction and its significance,Explain why sexual reproduction generates more variation than asexual reproduction,"[""Importance of reproduction in organisms""]","[""Distinguish between asexual and sexual modes of reproduction""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Pollination and fertilization,Distinguish between self-pollination and cross-pollination,"[""Flower structure and function""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,"Seed and fruit formation, germination",Explain the process of germination in seeds,"[""Pollination and fertilization""]","[""Describe the process by which a flower reproduces to form fruit""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Fertilization and post-fertilization changes,Explain the process of fertilisation and embryo development in humans,"[""Puberty and adolescent changes"", ""Female reproductive system"", ""Male reproductive system""]","[""Illustrate the structure of the male reproductive system"", ""Illustrate the structure of the female reproductive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Fertilization and post-fertilization changes,Describe the role of the placenta in nourishing the embryo,"[""Puberty and adolescent changes"", ""Female reproductive system"", ""Male reproductive system""]","[""Explain the process of fertilisation and embryo development in humans""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Population and reproduction,Explain the relationship between reproduction and population stability,"[""Importance of reproduction in organisms""]","[""Explain why reproduction is important for the survival of species rather than individuals""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Flower structure and function,Draw a labelled diagram of the longitudinal section of a flower,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Importance of variation for survival of species,Compare modes of reproduction in unicellular and multicellular organisms,"[""DNA copying and variation"", ""Sexual reproduction and its significance""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Asexual reproduction - Fission,"Illustrate the process of fission in amoeba, leishmania and plasmodium",[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Asexual reproduction - Fission,Explain how binary and multiple fission differ between unicellular organisms,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter07_How_Do_Organisms_Reproduce,Asexual reproduction - Fragmentation,Illustrate the process of fragmentation in Spirogyra,[],[],[],[],[],[]
