board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Habitats and their features,Differentiate between terrestrial and aquatic habitats based on their abiotic factors,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Adaptations of Aquatic Animals and Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify adaptations of aquatic animals such as fins, webbed feet, and breathing structures' (in Grade 5/Chapter01_Water—The_Essence_of_Life) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Habitats and their features,Summarize the key features of living organisms that contribute to their survival in their habitats,[],"[""Differentiate between terrestrial and aquatic habitats based on their abiotic factors""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Adaptations of Aquatic Animals and Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify adaptations of aquatic animals such as fins, webbed feet, and breathing structures' (in Grade 5/Chapter01_Water—The_Essence_of_Life) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""skill"": ""Identify adaptations of aquatic animals such as fins, webbed feet, and breathing structures"", ""reason"": ""Provides concrete prior examples of adaptive body features that the target skill generalizes into survival features across different habitats.""}]"
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Habitats and their features,Devise an experiment to show the importance of abiotic factors for the growth and sustenance of life on earth,[],"[""Differentiate between terrestrial and aquatic habitats based on their abiotic factors""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Adaptations of Aquatic Animals and Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify adaptations of aquatic animals such as fins, webbed feet, and breathing structures' (in Grade 5/Chapter01_Water—The_Essence_of_Life) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Adaptation to habitats,Infer reasons for effects produced on inhabitants as an extension of their features meant for survival in their habitats,"[""Habitats and their features""]","[""Summarize the key features of living organisms that contribute to their survival in their habitats""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Adaptations of Aquatic Animals and Plants"", ""reason"": ""Introduces the concrete idea that organisms possess body features suited to their environment, which the target generalizes into the broader concept of habitat adaptation.""}]",[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Adaptation to habitats,Critique the idea that the absence of any one feature characteristic of a habitat might not affect the balance of the habitat,"[""Habitats and their features""]","[""Summarize the key features of living organisms that contribute to their survival in their habitats""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Adaptations of Aquatic Animals and Plants"", ""reason"": ""Introduces the concrete idea that organisms possess body features suited to their environment, which the target generalizes into the broader concept of habitat adaptation.""}]",[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Diversity of life in habitats,Compile evidence of features contributing towards diversity of life within a single habitat,"[""Habitats and their features"", ""Adaptation to habitats""]","[""Summarize the key features of living organisms that contribute to their survival in their habitats""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Characteristics of living organisms,Apply knowledge of life processes in studying a specimen for signs of life,"[""Differences between living and non-living things""]","[""List the characteristics of living beings that distinguish them from non-living things""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Differences between living and non-living things,Classify living beings and non-living things using a set of criteria,"[""Characteristics of living organisms""]","[""List the characteristics of living beings that distinguish them from non-living things""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Differences between living and non-living things,List the characteristics of living beings that distinguish them from non-living things,"[""Characteristics of living organisms""]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Movement in living beings,Distinguish between movement in animals and plants,"[""Characteristics of living organisms""]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Movement in plants,Describe examples of movement observed in different parts of a plant,"[""Movement in living beings""]","[""Distinguish between movement in animals and plants""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter10_Living_Creatures_Exploring_Their_Characteristics,Growth as a characteristic of living beings,Explain growth as a characteristic feature of living organisms,"[""Characteristics of living organisms"", ""Differences between living and non-living things""]","[""List the characteristics of living beings that distinguish them from non-living things""]",[],[],[],[]
