board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Homogeneous and Heterogeneous Mixtures,Differentiate between homogeneous and heterogeneous mixtures based on their properties,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Uniform and non-uniform mixtures"", ""reason"": ""The target concept directly builds on the earlier distinction between uniformly and non-uniformly distributed mixtures, now renamed homogeneous/heterogeneous.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Distinguish between uniform and non-uniform mixtures"", ""reason"": ""The earlier skill of distinguishing uniform from non-uniform mixtures is the direct basis for this homogeneous/heterogeneous distinction.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Homogeneous and Heterogeneous Mixtures,Classify given mixtures as homogeneous or heterogeneous,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Uniform and non-uniform mixtures"", ""reason"": ""The target concept directly builds on the earlier distinction between uniformly and non-uniformly distributed mixtures, now renamed homogeneous/heterogeneous.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Distinguish between uniform and non-uniform mixtures"", ""reason"": ""Classifying mixtures as homogeneous or heterogeneous relies on the earlier ability to distinguish uniform from non-uniform mixtures.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Types of Mixtures,"Classify homogeneous mixtures into solutions, suspensions and colloids","[""Homogeneous and Heterogeneous Mixtures""]","[""Differentiate between homogeneous and heterogeneous mixtures based on their properties"", ""Classify given mixtures as homogeneous or heterogeneous""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Suspensions"", ""reason"": ""Derived from skill prerequisite: 'Identify the properties that distinguish a suspension from a true solution' (in Grade 8/Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Identify the properties that distinguish a suspension from a true solution"", ""reason"": ""Sub-classifying homogeneous mixtures requires the earlier ability to distinguish solutions from suspensions by their properties.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Solutions,Identify the properties of a true solution,"[""Types of Mixtures""]","[""Classify homogeneous mixtures into solutions, suspensions and colloids""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Solutions and their components"", ""reason"": ""Understanding solute-solvent composition of a solution taught earlier is needed before classifying solutions as a type of homogeneous mixture.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Suspensions"", ""reason"": ""Derived from skill prerequisite: 'Identify the properties that distinguish a suspension from a true solution' (in Grade 8/Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Identify the properties that distinguish a suspension from a true solution"", ""reason"": ""This is the same property-identification skill for true solutions that was already taught in the earlier chapter.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Suspensions,Identify the properties of a suspension,"[""Types of Mixtures""]","[""Classify homogeneous mixtures into solutions, suspensions and colloids""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Suspensions"", ""reason"": ""The basic definition and settling behaviour of suspensions was already introduced and is assumed knowledge for this target.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Identify the properties that distinguish a suspension from a true solution"", ""reason"": ""This is the same property-identification skill for suspensions that was already taught in the earlier chapter.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Colloids,Identify the properties of a colloidal solution,"[""Types of Mixtures""]","[""Classify homogeneous mixtures into solutions, suspensions and colloids""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Colloids"", ""reason"": ""The earlier introduction of colloids as a distinct particle-size category is the basis for further classification into colloid subtypes here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Describe the Tyndall effect to identify a colloidal solution"", ""reason"": ""The earlier use of the Tyndall effect to detect colloids is the basis for identifying colloidal properties in general.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Colloids,Distinguish between dispersed phase and dispersion medium in a colloid,"[""Types of Mixtures""]","[""Identify the properties of a colloidal solution""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Colloids"", ""reason"": ""The earlier introduction of colloids as a distinct particle-size category is the basis for further classification into colloid subtypes here.""}]",[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Emulsions,Identify emulsions as a type of colloid formed between two immiscible liquids,"[""Colloids""]","[""Identify the properties of a colloidal solution""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Miscible and immiscible liquids"", ""reason"": ""Emulsions are formed between immiscible liquids, so the earlier distinction between miscible and immiscible liquids is required to understand them.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Distinguish between miscible and immiscible liquids using examples"", ""reason"": ""Recognising that emulsions form between immiscible liquids requires the earlier ability to distinguish miscible from immiscible liquids.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Emulsions,Give examples of emulsions encountered in daily life,"[""Colloids""]","[""Identify emulsions as a type of colloid formed between two immiscible liquids""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Miscible and immiscible liquids"", ""reason"": ""Emulsions are formed between immiscible liquids, so the earlier distinction between miscible and immiscible liquids is required to understand them.""}]",[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Concentration of Solution,Calculate the concentration of a solution using mass by mass percentage,"[""Solutions"", ""Types of Mixtures"", ""Solubility of substances and solubility curves"", ""Alloys""]","[""Classify homogeneous mixtures into solutions, suspensions and colloids""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Concentration of a solution"", ""reason"": ""The basic idea of expressing how much solute is present in a solution was already established and is extended here into specific percentage formulas.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""skill"": ""Calculate the concentration of a solution using mass or volume of solute and solvent"", ""reason"": ""The earlier skill of computing concentration from solute and solvent quantities is the direct basis for this more specific mass by mass percentage calculation.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Concentration of Solution,Predict the effect of concentration change on the physical properties of a solution,"[""Solutions"", ""Types of Mixtures"", ""Solubility of substances and solubility curves"", ""Alloys""]","[""Calculate the concentration of a solution using mass by mass percentage""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Concentration of a solution"", ""reason"": ""The basic idea of expressing how much solute is present in a solution was already established and is extended here into specific percentage formulas.""}]",[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Concentration of Solution,"Solve numerical problems involving concentration, solubility and alloy composition","[""Solutions"", ""Types of Mixtures"", ""Solubility of substances and solubility curves"", ""Alloys""]","[""Calculate the concentration of a solution using mass by mass percentage"", ""Predict the effect of concentration change on the physical properties of a solution"", ""Interpret solubility curves to compare solubility of substances at different temperatures"", ""Identify alloys and explain why they cannot be separated by physical methods""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions"", ""concept"": ""Concentration of a solution"", ""reason"": ""The basic idea of expressing how much solute is present in a solution was already established and is extended here into specific percentage formulas.""}]",[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Elements and Compounds,Classify substances into elements and compounds based on their composition,"[""Homogeneous and Heterogeneous Mixtures""]","[""Differentiate between homogeneous and heterogeneous mixtures based on their properties""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Difference between elements and compounds"", ""reason"": ""The fundamental distinction between elements and compounds based on composition was already taught and is assumed here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Classification of substances as elements, compounds, or mixtures"", ""reason"": ""Derived from skill prerequisite: 'Classify given substances as elements, compounds, or mixtures' (in Grade 8/Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Classify given substances as elements, compounds, or mixtures"", ""reason"": ""The earlier skill of sorting substances by composition into elements, compounds and mixtures is the direct basis for this classification task.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Elements and Compounds,Differentiate between elements and compounds based on physical and chemical properties,"[""Homogeneous and Heterogeneous Mixtures""]","[""Classify substances into elements and compounds based on their composition""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Difference between elements and compounds"", ""reason"": ""The fundamental distinction between elements and compounds based on composition was already taught and is assumed here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Classification of substances as elements, compounds, or mixtures"", ""reason"": ""Derived from skill prerequisite: 'Classify given substances as elements, compounds, or mixtures' (in Grade 8/Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Distinguish between an element and a compound based on the number of substances combined"", ""reason"": ""Knowing that compounds are formed from multiple combined elements is the basis for further differentiating them by their properties.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,"Metals, Non-metals and Metalloids","Classify substances as metals, non-metals or metalloids based on their physical properties","[""Elements and Compounds""]","[""Differentiate between elements and compounds based on physical and chemical properties""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Metals, non-metals, and metalloids"", ""reason"": ""The three-way classification of elements by physical properties was already introduced and is directly reused here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Classify elements into metals, non-metals, and metalloids based on their properties"", ""reason"": ""This is the same classification skill already learned earlier, which the target directly reuses.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Separation Techniques,Identify the appropriate separation technique for a given mixture based on its properties,"[""Homogeneous and Heterogeneous Mixtures""]","[""Differentiate between homogeneous and heterogeneous mixtures based on their properties"", ""Classify given mixtures as homogeneous or heterogeneous""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""concept"": ""Mixtures of substances"", ""reason"": ""Derived from skill prerequisite: 'Identify the appropriate method of separation for a given mixture' (in Grade 6/Chapter09_Methods_Of_Separation_In_Everyday_Life) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""skill"": ""Identify the appropriate method of separation for a given mixture"", ""reason"": ""Matching mixture properties to a suitable separation method was already practised and underlies this more advanced task.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Evaporation,Explain the use of evaporation to separate a solid from a liquid in real-life situations,"[""Separation Techniques""]","[""Identify the appropriate separation technique for a given mixture based on its properties""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""concept"": ""Evaporation"", ""reason"": ""Evaporation as a technique to recover a dissolved solid from a liquid was already introduced as a separation method.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""skill"": ""Demonstrate evaporation to recover a dissolved solid from a solution"", ""reason"": ""The basic procedure of using evaporation to recover a solid from a solution was already demonstrated and is the basis for explaining its real-life use here.""}]"
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Centrifugation,State the underlying principle of the centrifugation process,"[""Separation Techniques""]","[""Identify the appropriate separation technique for a given mixture based on its properties""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Centrifugation,Identify real-life applications where centrifugation is used,"[""Separation Techniques""]","[""State the underlying principle of the centrifugation process""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Chromatography,Explain the principle behind separation of components by chromatography,"[""Separation Techniques""]","[""Identify the appropriate separation technique for a given mixture based on its properties""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter05_Exploring_Mixtures_and_Their_Separation,Chromatography,Identify mixtures that can be separated using chromatography,"[""Separation Techniques""]","[""Explain the principle behind separation of components by chromatography""]",[],[],[],[]
