board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Identify a particular day and date on a given calendar,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify the day of the week for a given date on a calendar"", ""reason"": ""Locating a day and date on a calendar builds directly on the earlier-taught skill of reading a date's weekday from a calendar.""}]"
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Describe the number of days in each month using the calendar,[],"[""List the 12 months of the year in order""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Compare the number of days in different months"", ""reason"": ""Describing the days in each month requires the previously learned ability to compare and know day-counts across months.""}]"
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Identify months that have fewer than 30 days,[],"[""Describe the number of days in each month using the calendar""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Compare the number of days in different months"", ""reason"": ""Judging which months fall below 30 days requires already knowing how to compare the day-counts of different months.""}]"
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Determine the day of the week for a given date on the calendar,[],"[""Identify a particular day and date on a given calendar""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify the day of the week for a given date on a calendar"", ""reason"": ""This target skill is a direct extension of the same calendar-reading procedure already introduced in Grade 2.""}]"
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Solve questions by inferring information from a calendar about months and days,[],"[""Identify a particular day and date on a given calendar"", ""Describe the number of days in each month using the calendar"", ""Determine the day of the week for a given date on the calendar""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Make a calendar for a given month and year,[],"[""List the 12 months of the year in order"", ""Describe the number of days in each month using the calendar""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Identify the number of Sundays and other specific weekdays in a given month,[],"[""Make a calendar for a given month and year"", ""Determine the day of the week for a given date on the calendar""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Identify which months have 5 Sundays using a calendar"", ""reason"": ""Counting occurrences of a specific weekday in a month extends the earlier practiced skill of finding months with 5 Sundays.""}]"
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",List the 12 months of the year in order,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Sequence the months of the year in order"", ""reason"": ""This target skill directly builds on the identical ordering skill already taught in Grade 2.""}]"
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Calculate the total number of days and weeks in a year,[],"[""Describe the number of days in each month using the calendar""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter13_Time_Goes_On,"Calendar: Days, Weeks, and Months",Compare two yearly calendars to identify what stays the same and what changes,[],"[""Make a calendar for a given month and year"", ""Calculate the total number of days and weeks in a year""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Days of the week"", ""reason"": ""Understanding the calendar's weekly structure requires already knowing the names and order of the seven days introduced in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Months of the year"", ""reason"": ""Building a full year calendar requires already knowing the names and order of the twelve months taught in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Identify the day of the week for a given date on a calendar' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Duration of months"", ""reason"": ""Derived from skill prerequisite: 'Compare the number of days in different months' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]",[]
