board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Euclid's Division Algorithm,Apply Euclid's Division Algorithm to obtain the HCF of two positive integers in the context of the given problem,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Euclid's Division Algorithm,Prove results of positive integers in the form of ax+b where a and b are constants using Euclid's Division Algorithm,[],"[""Apply Euclid's Division Algorithm to obtain the HCF of two positive integers in the context of the given problem""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Prime Factorisation of Natural Numbers,Identify whether a given number is composite by analysing its factors,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime and Composite Numbers"", ""reason"": ""Derived from skill prerequisite: 'Classify numbers as prime or composite based on their factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Classify numbers as prime or composite based on their factors"", ""reason"": ""Recognising composite numbers by their factors is a skill already built in Grade 6 that this target skill directly reuses.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Prime Factorisation of Natural Numbers,Express a given natural number as a product of its prime factors,[],"[""Identify whether a given number is composite by analysing its factors""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime and Composite Numbers"", ""reason"": ""Derived from skill prerequisite: 'Classify numbers as prime or composite based on their factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""This target skill is the same prime factorisation procedure taught in Grade 6, now applied to larger numbers.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Prime Factorisation of Natural Numbers,Determine whether a number of the form 4n or 6n can end with the digit zero using prime factorisation,[],"[""Express a given natural number as a product of its prime factors""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime and Composite Numbers"", ""reason"": ""Derived from skill prerequisite: 'Classify numbers as prime or composite based on their factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Fundamental Theorem of Arithmetic,State the Fundamental Theorem of Arithmetic and explain its uniqueness condition,"[""Prime Factorisation of Natural Numbers""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Uniqueness of prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Verify the uniqueness of prime factorisation for a given number' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""Derived from skill prerequisite: 'Calculate the HCF of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Derived from skill prerequisite: 'Calculate the LCM of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Verify the uniqueness of prime factorisation for a given number"", ""reason"": ""The uniqueness condition of the Fundamental Theorem of Arithmetic directly formalises the uniqueness of prime factorisation already explored in Grade 6.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Fundamental Theorem of Arithmetic,Express a given composite number as a product of its prime factors using the Fundamental Theorem of Arithmetic,"[""Prime Factorisation of Natural Numbers""]","[""Express a given natural number as a product of its prime factors""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Uniqueness of prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Verify the uniqueness of prime factorisation for a given number' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""Derived from skill prerequisite: 'Calculate the HCF of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Derived from skill prerequisite: 'Calculate the LCM of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""Applying the theorem to write a composite number as a product of primes requires the prime factorisation procedure already mastered in Grade 6.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Fundamental Theorem of Arithmetic,Use the Fundamental Theorem of Arithmetic to calculate HCF and LCM of the given numbers in the context of the given problem,"[""Prime Factorisation of Natural Numbers""]","[""Express a given composite number as a product of its prime factors using the Fundamental Theorem of Arithmetic""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Uniqueness of prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Verify the uniqueness of prime factorisation for a given number' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""Derived from skill prerequisite: 'Calculate the HCF of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Derived from skill prerequisite: 'Calculate the LCM of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the HCF of numbers using prime factorization"", ""reason"": ""Computing HCF via prime factorisation is the exact method introduced in Grade 6 that this target skill applies within the theorem's framework.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the LCM of numbers using prime factorization"", ""reason"": ""Computing LCM via prime factorisation is the exact method introduced in Grade 6 that this target skill applies within the theorem's framework.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,HCF using Prime Factorisation Method,Calculate the HCF of two or more positive integers by listing common prime factors with lowest powers,"[""Prime Factorisation of Natural Numbers"", ""Fundamental Theorem of Arithmetic""]","[""Express a given natural number as a product of its prime factors""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""Derived from skill prerequisite: 'Calculate the HCF of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the HCF of numbers using prime factorization"", ""reason"": ""This target skill is a direct extension of the Grade 6 procedure for finding HCF using prime factorisation.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,HCF using Prime Factorisation Method,Apply the prime factorisation method to determine HCF in the context of a given problem,"[""Prime Factorisation of Natural Numbers"", ""Fundamental Theorem of Arithmetic""]","[""Calculate the HCF of two or more positive integers by listing common prime factors with lowest powers""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""Derived from skill prerequisite: 'Calculate the HCF of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the HCF of numbers using prime factorization"", ""reason"": ""Applying prime factorisation to find HCF in context depends on the procedure already learned in Grade 6.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,LCM using Prime Factorisation Method,Calculate the LCM of two or more positive integers by taking the product of prime factors with highest powers,"[""Prime Factorisation of Natural Numbers"", ""Fundamental Theorem of Arithmetic""]","[""Express a given natural number as a product of its prime factors""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Derived from skill prerequisite: 'Calculate the LCM of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the LCM of numbers using prime factorization"", ""reason"": ""This target skill is a direct extension of the Grade 6 procedure for finding LCM using prime factorisation.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,LCM using Prime Factorisation Method,Apply the prime factorisation method to determine LCM in the context of a given problem,"[""Prime Factorisation of Natural Numbers"", ""Fundamental Theorem of Arithmetic""]","[""Calculate the LCM of two or more positive integers by taking the product of prime factors with highest powers""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Derived from skill prerequisite: 'Calculate the LCM of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the LCM of numbers using prime factorization"", ""reason"": ""Applying prime factorisation to find LCM in context depends on the procedure already learned in Grade 6.""}]"
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Relationship between HCF and LCM of Two Numbers,State the relationship HCF × LCM equals the product of two given positive integers,"[""HCF using Prime Factorisation Method"", ""LCM using Prime Factorisation Method""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Relationship between HCF and LCM of Two Numbers,Verify that HCF × LCM equals the product of two given positive integers,"[""HCF using Prime Factorisation Method"", ""LCM using Prime Factorisation Method""]","[""Calculate the HCF of two or more positive integers by listing common prime factors with lowest powers"", ""Calculate the LCM of two or more positive integers by taking the product of prime factors with highest powers""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,Relationship between HCF and LCM of Two Numbers,Apply the relationship between HCF and LCM to find one when the other is given,"[""HCF using Prime Factorisation Method"", ""LCM using Prime Factorisation Method""]","[""State the relationship HCF × LCM equals the product of two given positive integers""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter01_Real_Numbers,HCF and LCM of Three Numbers,Calculate the HCF of three given positive integers using the prime factorisation method,"[""Prime Factorisation of Natural Numbers"", ""Fundamental Theorem of Arithmetic"", ""HCF using Prime Factorisation Method"", ""LCM using Prime Factorisation Method""]","[""Calculate the HCF of two or more positive integers by listing common prime factors with lowest powers""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Highest Common Factor"", ""reason"": ""Derived from skill prerequisite: 'Calculate the HCF of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Derived from skill prerequisite: 'Calculate the LCM of numbers using prime factorization' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Calculate the HCF of numbers using prime factorization"", ""reason"": ""Extending HCF-by-prime-factorisation to three numbers requires the same base procedure taught in Grade 6.""}]"
