board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Taste and Smell of Food,Identify different foods through their taste and smell,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Taste and Smell of Food,Locate different taste zones on the tongue,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Taste and Smell of Food,Explain the importance of proper chewing of food before swallowing,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Digestion of Food,Describe the major steps in the digestion process and the organs involved,"[""Taste and Smell of Food""]","[""Explain the importance of proper chewing of food before swallowing""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Digestion of Food,Infer that different food items take different amounts of time to digest,"[""Taste and Smell of Food""]","[""Describe the major steps in the digestion process and the organs involved""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Digestion of Food,Identify glucose as an instant energy giving food,"[""Taste and Smell of Food""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Importance of Proper Food,Describe the feelings and effects of being hungry,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Importance of Proper Food,Explain the importance of proper food for maintaining good health,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Importance of Proper Food,Examine disparities in access to food across different sections of society,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Importance of Proper Food,Justify why every child has a right to proper food,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Teeth and chewing,Identify different types of teeth and their functions,"[""Taste and Smell of Food""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Teeth and chewing,Explain the role of chewing and saliva in digestion,"[""Taste and Smell of Food""]","[""Identify different types of teeth and their functions""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Oral hygiene and dental care,Describe the importance of oral hygiene and dental check-ups,"[""Teeth and chewing""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Choking prevention,Explain how to avoid choking while eating,"[""Teeth and chewing""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Indigestion and home remedies,Describe home remedies for indigestion,"[""Digestion of Food"", ""Teeth and chewing""]","[""Explain how bad eating habits can cause indigestion""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Indigestion and home remedies,Explain how bad eating habits can cause indigestion,"[""Digestion of Food"", ""Teeth and chewing""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Food spoilage,Identify microbes as causes of food spoilage,"[""Digestion of Food"", ""Microbes and their role in food"", ""Conditions needed for microbial growth""]","[""Explain the conditions microbes need to grow (moisture, air, temperature)""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter03_The_Mystery_of_Food,Microbes and their role in food,Identify the role of good microbes in fermentation and digestion,"[""Food spoilage""]",[],[],[],[],[]
