board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Length in Real-Life Problems,Identify the units of length relevant to a given real-life situation,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Solving length word problems in the target chapter requires already knowing how metres and centimetres relate to each other before converting between them.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Standard unit of length: metre"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between metre and centimetre as units of length' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Estimating and comparing lengths"", ""reason"": ""Derived from skill prerequisite: 'Estimate lengths of objects before measuring and verify using a scale' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Distinguish between metre and centimetre as units of length"", ""reason"": ""Choosing an appropriate length unit for a situation requires already being able to tell metres and centimetres apart.""}]"
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Length in Real-Life Problems,"Convert between units of length such as metres, centimetres and kilometres",[],"[""Identify the units of length relevant to a given real-life situation""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Solving length word problems in the target chapter requires already knowing how metres and centimetres relate to each other before converting between them.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Standard unit of length: metre"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between metre and centimetre as units of length' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Estimating and comparing lengths"", ""reason"": ""Derived from skill prerequisite: 'Estimate lengths of objects before measuring and verify using a scale' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Convert measurements from metres to centimetres and vice versa"", ""reason"": ""Converting between length units in the target chapter directly extends the metre-centimetre conversion procedure already learned.""}]"
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Length in Real-Life Problems,Calculate total or remaining length using addition and subtraction,[],"[""Convert between units of length such as metres, centimetres and kilometres""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Solving length word problems in the target chapter requires already knowing how metres and centimetres relate to each other before converting between them.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Standard unit of length: metre"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between metre and centimetre as units of length' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Estimating and comparing lengths"", ""reason"": ""Derived from skill prerequisite: 'Estimate lengths of objects before measuring and verify using a scale' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Length in Real-Life Problems,Estimate the length and weight of real-world objects and compare them using multiplication,[],"[""Calculate total or remaining length using addition and subtraction""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Solving length word problems in the target chapter requires already knowing how metres and centimetres relate to each other before converting between them.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Standard unit of length: metre"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between metre and centimetre as units of length' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Estimating and comparing lengths"", ""reason"": ""Derived from skill prerequisite: 'Estimate lengths of objects before measuring and verify using a scale' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Estimate lengths of objects before measuring and verify using a scale"", ""reason"": ""Estimating object lengths before comparing them builds on the earlier practice of estimating and verifying lengths.""}]"
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Length in Real-Life Problems,Solve simple real-life word problems involving measurement of length,[],"[""Calculate total or remaining length using addition and subtraction""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Solving length word problems in the target chapter requires already knowing how metres and centimetres relate to each other before converting between them.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Standard unit of length: metre"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between metre and centimetre as units of length' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Estimating and comparing lengths"", ""reason"": ""Derived from skill prerequisite: 'Estimate lengths of objects before measuring and verify using a scale' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,"Speed, Distance and Time","Identify the relationship between speed, distance and time in a given problem","[""Measurement of Length in Real-Life Problems""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,"Speed, Distance and Time","Calculate distance, speed or time using the given values","[""Measurement of Length in Real-Life Problems""]","[""Identify the relationship between speed, distance and time in a given problem""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,"Speed, Distance and Time","Solve simple real-life problems related to speed, distance and time","[""Measurement of Length in Real-Life Problems""]","[""Calculate distance, speed or time using the given values""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Weight,Identify appropriate units for measuring weight in a real-life context,"[""Measurement of Length in Real-Life Problems""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Relationship between grams and kilograms"", ""reason"": ""Working with fish weights in the target chapter assumes the student already knows how grams and kilograms are related.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Choosing appropriate units (kg or g) for objects"", ""reason"": ""Derived from skill prerequisite: 'Identify appropriate units (grams or kilograms) for measuring different objects' (in Grade 4/Chapter08_Weigh_it_Pour_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""skill"": ""Identify appropriate units (grams or kilograms) for measuring different objects"", ""reason"": ""This is the same unit-selection judgment for weight that was already taught in the earlier chapter.""}]"
CBSE,Maths,Grade 5,Chapter01_The_Fish_Tale,Measurement of Weight,Convert larger units of weight into smaller units and vice versa,"[""Measurement of Length in Real-Life Problems""]","[""Identify appropriate units for measuring weight in a real-life context""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Relationship between grams and kilograms"", ""reason"": ""Working with fish weights in the target chapter assumes the student already knows how grams and kilograms are related.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Choosing appropriate units (kg or g) for objects"", ""reason"": ""Derived from skill prerequisite: 'Identify appropriate units (grams or kilograms) for measuring different objects' (in Grade 4/Chapter08_Weigh_it_Pour_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""skill"": ""Convert between grams and kilograms using fractional relationships"", ""reason"": ""Converting weight units in the target chapter directly extends the gram-kilogram conversion procedure already learned.""}]"
