board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Personal hygiene habits,Identify daily habits that keep the body clean and healthy,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Daily routine and healthy habits,List activities that form a healthy daily routine,"[""Personal hygiene habits""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Traditional methods of cleaning teeth (datun),Explain traditional methods of cleaning teeth using twigs like neem and babool,"[""Personal hygiene habits""]","[""Identify daily habits that keep the body clean and healthy""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Traditional and eco-friendly cleaning methods,Describe eco-friendly home-cleaning methods using natural ingredients,"[""Personal hygiene habits""]","[""Identify daily habits that keep the body clean and healthy""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Animals keeping themselves clean,Describe how animals keep themselves clean,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Importance of exercise and physical activity,Explain how exercise benefits the body and mind,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Importance of exercise and physical activity,Discuss activities that can improve physical stamina,[],"[""Explain how exercise benefits the body and mind""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Outdoor and indoor games,Identify different types of outdoor games and physical activities,"[""Importance of exercise and physical activity""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Playing safely and identifying safe/unsafe places,Distinguish between safe and unsafe places to play,"[""Outdoor and indoor games""]","[""Identify different types of outdoor games and physical activities""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Stranger safety in public spaces,Demonstrate safe behaviour when interacting with strangers in public spaces,"[""Playing safely and identifying safe/unsafe places""]","[""Distinguish between safe and unsafe places to play""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Tracking health and activities through a weekly table,Summarize health habits recorded in a weekly table,"[""Daily routine and healthy habits""]","[""List activities that form a healthy daily routine""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter09_Staying_Healthy_and_Happy,Dividing time spent on daily activities,Analyse daily time spent on different activities using a circle diagram,"[""Daily routine and healthy habits""]","[""List activities that form a healthy daily routine""]",[],[]
