board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Modes of Transport,List different modes of transport used for travel and the reasons for choosing them,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Modes of Transport,Identify vehicles used for emergency services such as ambulance and fire engine,[],"[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Modes of Transport,State safety precautions and rules to be observed during travel,[],"[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Classification of Vehicles,Classify vehicles on the basis of the number of wheels they have,"[""Modes of Transport""]","[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Classification of Vehicles,Identify vehicles based on the sounds they produce,"[""Modes of Transport""]","[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Classification of Vehicles,Relate different uses of various vehicles to the tasks they perform,"[""Modes of Transport""]","[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Fuels Used by Vehicles,Identify the fuels used by different vehicles to run,"[""Modes of Transport""]","[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Fuels Used by Vehicles,Describe the effect of different vehicle fuels on the environment,"[""Modes of Transport""]","[""Identify the fuels used by different vehicles to run""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Vehicles in Present and Past,Describe the change in modes of transport by interviewing elders,"[""Modes of Transport""]","[""Differentiate between modes of transport used in the present and in the past""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Vehicles in Present and Past,Differentiate between modes of transport used in the present and in the past,"[""Modes of Transport""]","[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Vehicles in Present and Past,Construct a toy train or other means of transport using materials like matchboxes,"[""Modes of Transport""]","[""List different modes of transport used for travel and the reasons for choosing them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Pottery and pot making process,Describe the process of making a clay pot,"[""Making clay from soil""]","[""Describe how clay is prepared from soil""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,The potter's wheel and kiln,Explain the function of a kiln in pottery and brick making,"[""Pottery and pot making process"", ""Brick making and moulds""]","[""Describe the process of making a clay pot"", ""Explain how bricks are made using moulds""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Making clay from soil,Describe how clay is prepared from soil,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Patterns in nature,Identify patterns found in nature on plants and animals,"[""Patterns in Indian pottery""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Patterns in nature,"Draw patterns observed on plants, animals, and objects","[""Patterns in Indian pottery""]","[""Identify patterns found in nature on plants and animals"", ""Identify patterns in Indian pottery""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Patterns in Indian pottery,Identify patterns in Indian pottery,"[""Patterns in nature""]","[""Identify patterns found in nature on plants and animals""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Brick making and moulds,Explain how bricks are made using moulds,"[""Making clay from soil""]","[""Describe how clay is prepared from soil""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Use of bricks in construction,Explain the use of bricks in construction of buildings,"[""Brick making and moulds""]","[""Explain how bricks are made using moulds""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Traditional mud houses,Describe the features of traditional mud houses,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Traditional mud houses,Explain why mud houses help keep the environment cool,[],"[""Describe the features of traditional mud houses""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Types of houses and materials,Compare different types of houses and the materials used to build them,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Types of houses and materials,Draw and colour different kinds of houses,[],"[""Compare different types of houses and the materials used to build them""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Safety rules at construction sites,State the importance of safety rules at construction sites,"[""Brick making and moulds"", ""Use of bricks in construction""]","[""Explain how bricks are made using moulds"", ""Explain the use of bricks in construction of buildings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Statues made of clay,Describe how statues are made using clay,"[""Pottery and pot making process"", ""Making clay from soil""]","[""Describe the process of making a clay pot"", ""Describe how clay is prepared from soil""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Pottery and pot making process,Arrange sequential images of a process in correct order,"[""Making clay from soil""]","[""Describe the process of making a clay pot""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Pottery and pot making process,Interview a local craftsperson to gather information about their work,"[""Making clay from soil""]","[""Describe the process of making a clay pot""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter11_Making_Things,Brick making and moulds,Predict which arrangement of bricks is sturdier through an activity,"[""Making clay from soil""]","[""Explain how bricks are made using moulds""]",[],[]
