board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Train Journey and Regional Diversity,Describe how outside scenery changes during a train journey in relation to climatic conditions of different regions,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Train Journey and Regional Diversity,"Identify differences in languages, clothes, food, and landforms of different Indian states observed during a journey",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,"Bridges, Tunnels and Level Crossings",Explain the importance of building bridges and tunnels along a train route,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,"Bridges, Tunnels and Level Crossings",State reasons for high smoke and loud noise occurring at level crossings,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,"Bridges, Tunnels and Level Crossings",List safety precautions to be followed at level crossings,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Spinning objects and their properties,Identify objects that can spin and those that cannot,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Spinning objects and their properties,Predict whether an object will spin before testing it,[],"[""Identify objects that can spin and those that cannot""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Spinning objects and their properties,Record observations of spinning objects in a table,[],"[""Identify objects that can spin and those that cannot""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Making and testing spinners,Construct simple spinners using cardboard and toothpicks,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Making and testing spinners,Observe and describe the effect of colour patterns on a spinning spinner,[],"[""Construct simple spinners using cardboard and toothpicks""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Making and testing spinners,Formulate questions to enquire about why a spinner slows down and stops,[],"[""Construct simple spinners using cardboard and toothpicks""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Factors affecting how a spinner spins,Compare the spinning behaviour of spinners with different hole positions,"[""Making and testing spinners""]","[""Construct simple spinners using cardboard and toothpicks""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Factors affecting how a spinner spins,Explain how changing the shape of a spinner affects its spinning,"[""Making and testing spinners""]","[""Construct simple spinners using cardboard and toothpicks""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Factors affecting how a spinner spins,Suggest methods to balance a tilted object,"[""Making and testing spinners""]","[""Construct simple spinners using cardboard and toothpicks""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Floating and sinking of objects,Predict whether objects will float or sink in water,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Floating and sinking of objects,Classify objects as floating or sinking based on observation,[],"[""Predict whether objects will float or sink in water""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Floating and sinking of objects,Suggest ways to make a floating object sink and a sinking object float,[],"[""Predict whether objects will float or sink in water"", ""Classify objects as floating or sinking based on observation""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Effect of weight on floating and sinking,Explain the role of weight in floating and sinking of objects,"[""Floating and sinking of objects""]","[""Predict whether objects will float or sink in water"", ""Classify objects as floating or sinking based on observation""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Effect of shape on floating and sinking,Explain the role of shape in floating and sinking of objects,"[""Floating and sinking of objects""]","[""Predict whether objects will float or sink in water"", ""Classify objects as floating or sinking based on observation""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Making and testing paper boats,Design and construct a paper or material boat using available materials,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Making and testing paper boats,Compare the strengths and challenges of different boat designs,[],"[""Design and construct a paper or material boat using available materials""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter07_How_Things_Work,Traditional spinning tools (charkha and spinning tops),Describe traditional tools such as the charkha and spinning tops,[],[],[],[],[],[]
