board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Uses of electricity in daily life,Identify common uses of electricity in home and school activities,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Sources of electricity generation,Name different sources used to generate electricity,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Generating Energy from the Sun, Wind and Water"", ""reason"": ""Knowing that sun, wind and water can be converted into electrical energy is the groundwork for listing sources of electricity generation in Grade 7.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""skill"": ""Describe how solar panels, windmills and water wheels generate clean electricity"", ""reason"": ""Knowing that solar, wind and water sources can generate electricity gives the concrete examples needed to name sources in Grade 7.""}]"
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Electric cell and its terminals,Identify the positive and negative terminals of an electric cell,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Electric Cell"", ""reason"": ""Students must already know what an electric cell is and its basic structure before learning to identify its specific positive and negative terminals.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Describe the structure of an electric cell"", ""reason"": ""Knowing the internal structure of a cell is needed before a student can locate and name its positive and negative terminals.""}]"
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Electric cell and its terminals,Design an activity to test which electric cells are working,[],"[""Identify the positive and negative terminals of an electric cell""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Electric Cell"", ""reason"": ""Students must already know what an electric cell is and its basic structure before learning to identify its specific positive and negative terminals.""}]",[]
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Battery as a combination of cells,Explain how connecting multiple cells forms a battery,"[""Electric cell and its terminals""]","[""Identify the positive and negative terminals of an electric cell""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Energy storage (batteries, body energy)"", ""reason"": ""Recognising a battery as a device that stores energy is a prerequisite for understanding that it is formed by combining multiple cells.""}]",[]
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Incandescent electric lamp and filament,Describe the working of an incandescent lamp and the role of the filament,"[""Electric cell and its terminals""]","[""Identify the positive and negative terminals of an electric cell""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,LED lamp and its terminals,Distinguish between an incandescent lamp and an LED lamp,"[""Electric cell and its terminals"", ""Incandescent electric lamp and filament""]","[""Describe the working of an incandescent lamp and the role of the filament""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,LED lamp and its terminals,Explain why an LED glows only when connected in the correct direction,"[""Electric cell and its terminals"", ""Incandescent electric lamp and filament""]","[""Identify the positive and negative terminals of an electric cell""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Making an electric lamp glow using a cell or battery,"Construct a simple electric circuit using a cell, lamp, and wires","[""Electric cell and its terminals"", ""Battery as a combination of cells"", ""Incandescent electric lamp and filament"", ""Electric switch and its ON/OFF positions""]","[""Identify the positive and negative terminals of an electric cell""]","[{""chapter"": ""Chapter01_The_Ever-Evolving_World_of_Science"", ""concept"": ""Electric circuits with batteries, lamps and wires"", ""reason"": ""The introductory chapter already establishes the basic idea that a lamp can be lit using a battery and wires, giving students the foundational familiarity needed before the target chapter formalises this into a full concept.""}]","[{""chapter"": ""Chapter01_The_Ever-Evolving_World_of_Science"", ""skill"": ""Identify materials needed to make a lamp glow using batteries and wires"", ""reason"": ""Before a student can physically construct a circuit, they must already be able to identify which materials (cell, lamp, wires) are needed to make a lamp glow.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Flow of Current in a Circuit"", ""reason"": ""Derived from skill prerequisite: 'Identify the necessary condition that ensures the flow of current in a circuit' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Analyze the flow of current in a simple electric circuit consisting of a battery, bulb, and wires"", ""reason"": ""Familiarity with how current flows through a battery, bulb and wires is needed before a student can assemble such a circuit themselves.""}]"
CBSE,Science,Grade 7,Chapter03_Electricity:_Circuits_and_their_Components,Making an electric lamp glow using a cell or battery,Predict whether a lamp will glow in a given arrangement of cell and lamp,"[""Electric cell and its terminals"", ""Battery as a combination of cells"", ""Incandescent electric lamp and filament"", ""Electric switch and its ON/OFF positions""]","[""Construct a simple electric circuit using a cell, lamp, and wires""]","[{""chapter"": ""Chapter01_The_Ever-Evolving_World_of_Science"", ""concept"": ""Electric circuits with batteries, lamps and wires"", ""reason"": ""The introductory chapter already establishes the basic idea that a lamp can be lit using a battery and wires, giving students the foundational familiarity needed before the target chapter formalises this into a full concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Flow of Current in a Circuit"", ""reason"": ""Derived from skill prerequisite: 'Identify the necessary condition that ensures the flow of current in a circuit' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Analyze the flow of current in a simple electric circuit consisting of a battery, bulb, and wires"", ""reason"": ""Predicting whether a lamp glows depends on the earlier skill of tracing current flow through a battery-bulb-wire arrangement.""}]"
