board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 100-500: Counting and reciting number names,"Count objects concretely, pictorially and symbolically up to 500",[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 100-500: Counting and reciting number names,Recite number names for numbers between 100 and 500,[],"[""Count objects concretely, pictorially and symbolically up to 500""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 100-500: Counting and reciting number names,Identify the symbolic representation of a counted quantity up to 500,[],"[""Count objects concretely, pictorially and symbolically up to 500""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 100-500: Identifying and writing numerals/number names,Write numerals for numbers up to 500,"[""Numerals 100-500: Counting and reciting number names""]",[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 100-500: Identifying and writing numerals/number names,Write number names for numbers up to 500,"[""Numerals 100-500: Counting and reciting number names""]","[""Write numerals for numbers up to 500""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 100-500: Identifying and writing numerals/number names,Identify the numeral corresponding to a given number name up to 500,"[""Numerals 100-500: Counting and reciting number names""]","[""Write numerals for numbers up to 500"", ""Write number names for numbers up to 500""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 501-999: Counting and reciting number names,Count objects pictorially and symbolically from 501 to 999,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 501-999: Counting and reciting number names,Recite number names for numbers between 501 and 999,[],"[""Count objects pictorially and symbolically from 501 to 999""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 501-999: Identifying and writing numerals/number names,Write numerals for numbers from 501 to 999,"[""Numerals 501-999: Counting and reciting number names""]",[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 501-999: Identifying and writing numerals/number names,Write number names for numbers from 501 to 999,"[""Numerals 501-999: Counting and reciting number names""]","[""Write numerals for numbers from 501 to 999""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Numerals 501-999: Identifying and writing numerals/number names,Identify the numeral corresponding to a given number name from 501 to 999,"[""Numerals 501-999: Counting and reciting number names""]","[""Write numerals for numbers from 501 to 999"", ""Write number names for numbers from 501 to 999""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 100-500 without skips,Complete a forward counting sequence of numbers between 100 and 500,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 100-500 without skips,Complete a backward counting sequence of numbers between 100 and 500,[],"[""Complete a forward counting sequence of numbers between 100 and 500""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 501-999 without skips,Complete a forward counting sequence of numbers between 501 and 999,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 501-999 without skips,Complete a backward counting sequence of numbers between 501 and 999,[],"[""Complete a forward counting sequence of numbers between 501 and 999""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 100-500 with skip counts,"Complete a forward skip-counting sequence in 2s, 4s, 5s, 10s or 50s within 100-500","[""Number sequences 100-500 without skips""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The skip-counting technique in fixed intervals learned within 1-100 is the same procedure applied to a higher number range.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete backward-counting patterns by identifying the decreasing rule' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply skip counting in twos, threes, fives, sevens, and tens on a number chart"", ""reason"": ""Skip counting forward in fixed intervals within 1-100 is the same procedure extended to sequences within 100-500.""}]"
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 100-500 with skip counts,"Complete a backward skip-counting sequence in 2s, 4s, 5s, 10s or 50s within 100-500","[""Number sequences 100-500 without skips""]","[""Complete a forward skip-counting sequence in 2s, 4s, 5s, 10s or 50s within 100-500""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The skip-counting technique in fixed intervals learned within 1-100 is the same procedure applied to a higher number range.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete backward-counting patterns by identifying the decreasing rule' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Complete backward-counting patterns by identifying the decreasing rule"", ""reason"": ""Identifying and applying a backward decreasing rule was first practiced within 1-100 and is directly reused for the 100-500 range.""}]"
CBSE,Maths,Grade 3,Chapter6_House_of_Hundreds_I,Number sequences 100-500 with skip counts,Determine the skip-count interval used in a given sequence within 100-500,"[""Number sequences 100-500 without skips""]","[""Complete a forward skip-counting sequence in 2s, 4s, 5s, 10s or 50s within 100-500""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The skip-counting technique in fixed intervals learned within 1-100 is the same procedure applied to a higher number range.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete backward-counting patterns by identifying the decreasing rule' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule governing an increasing number pattern"", ""reason"": ""Determining the fixed interval that generates a sequence was first practiced within 1-100 charts and is reused to analyse sequences within 100-500.""}]"
