board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Introduction to variation,Identify situations where one quantity depends on another quantity,[],[],[],[],[],[]
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Introduction to variation,Explain how two quantities can either increase together or one increase while the other decreases,[],"[""Identify situations where one quantity depends on another quantity""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Introduction to variation,Distinguish variation situations from unrelated pairs of quantities,[],[],[],[],[],[]
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct Proportion,Identify situations where two quantities increase or decrease together in the same ratio,"[""Introduction to variation""]",[],"[{""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Transposition of terms"", ""reason"": ""Derived from skill prerequisite: 'Transpose terms to the other side of a linear equation' (in Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter08_Mapping_Your_Way"", ""concept"": ""Drawing Pictures with Different Scales"", ""reason"": ""Derived from skill prerequisite: 'Construct a drawing of a given picture using a specified scale' (in Grade 5/Chapter08_Mapping_Your_Way) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Equations from practical situations"", ""reason"": ""Derived from skill prerequisite: 'Formulate a simple equation to represent a given practical situation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct Proportion,Calculate the constant of proportionality relating two directly proportional quantities,"[""Introduction to variation""]","[""Identify situations where two quantities increase or decrease together in the same ratio""]","[{""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Transposition of terms"", ""reason"": ""Derived from skill prerequisite: 'Transpose terms to the other side of a linear equation' (in Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter08_Mapping_Your_Way"", ""concept"": ""Drawing Pictures with Different Scales"", ""reason"": ""Derived from skill prerequisite: 'Construct a drawing of a given picture using a specified scale' (in Grade 5/Chapter08_Mapping_Your_Way) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Equations from practical situations"", ""reason"": ""Derived from skill prerequisite: 'Formulate a simple equation to represent a given practical situation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct Proportion,Complete a table of values showing two directly proportional quantities,"[""Introduction to variation""]","[""Calculate the constant of proportionality relating two directly proportional quantities""]","[{""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Transposition of terms"", ""reason"": ""Derived from skill prerequisite: 'Transpose terms to the other side of a linear equation' (in Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter08_Mapping_Your_Way"", ""concept"": ""Drawing Pictures with Different Scales"", ""reason"": ""Derived from skill prerequisite: 'Construct a drawing of a given picture using a specified scale' (in Grade 5/Chapter08_Mapping_Your_Way) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Equations from practical situations"", ""reason"": ""Derived from skill prerequisite: 'Formulate a simple equation to represent a given practical situation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct Proportion,Solve for a missing value by converting a direct proportion statement into an equation,"[""Introduction to variation""]","[""Calculate the constant of proportionality relating two directly proportional quantities""]","[{""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Transposition of terms"", ""reason"": ""Derived from skill prerequisite: 'Transpose terms to the other side of a linear equation' (in Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""skill"": ""Transpose terms to the other side of a linear equation"", ""reason"": ""After forming the proportion equation, isolating the unknown value requires the algebraic transposition technique learned for solving linear equations.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter08_Mapping_Your_Way"", ""concept"": ""Drawing Pictures with Different Scales"", ""reason"": ""Derived from skill prerequisite: 'Construct a drawing of a given picture using a specified scale' (in Grade 5/Chapter08_Mapping_Your_Way) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Equations from practical situations"", ""reason"": ""Derived from skill prerequisite: 'Formulate a simple equation to represent a given practical situation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Formulate a simple equation to represent a given practical situation"", ""reason"": ""Converting a proportion statement into an equation relies on the same skill of translating a practical situation into an algebraic equation.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Solve the formulated equation to obtain the value of the unknown"", ""reason"": ""Once the proportion is written as an equation, finding the missing value requires the equation-solving procedure learned earlier.""}]"
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct Proportion,Construct a scale drawing of a figure using a suitable proportionality constant,"[""Introduction to variation""]","[""Calculate the constant of proportionality relating two directly proportional quantities""]","[{""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Transposition of terms"", ""reason"": ""Derived from skill prerequisite: 'Transpose terms to the other side of a linear equation' (in Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter08_Mapping_Your_Way"", ""concept"": ""Drawing Pictures with Different Scales"", ""reason"": ""Derived from skill prerequisite: 'Construct a drawing of a given picture using a specified scale' (in Grade 5/Chapter08_Mapping_Your_Way) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Equations from practical situations"", ""reason"": ""Derived from skill prerequisite: 'Formulate a simple equation to represent a given practical situation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter08_Mapping_Your_Way"", ""skill"": ""Construct a drawing of a given picture using a specified scale"", ""reason"": ""Drawing a figure to a chosen scale is the exact procedural skill being reused when constructing a scale drawing using a proportionality constant.""}]"
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct proportion in tables and ratio form,Verify whether the ratio of corresponding values in a table remains constant,"[""Direct Proportion""]",[],"[{""chapter"": ""Chapter7_Comparing_Quantities"", ""concept"": ""Ratios and their comparison"", ""reason"": ""Expressing a direct proportion relationship in ratio form requires already knowing what a ratio is and how it is written and interpreted.""}]","[{""chapter"": ""Chapter7_Comparing_Quantities"", ""skill"": ""Calculate the ratio of two given quantities"", ""reason"": ""Checking if the ratio stays constant across table entries requires being able to calculate a ratio between two given quantities.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Equivalent Fractions"", ""reason"": ""Recognising that the ratio x/y stays constant across table entries relies on the same idea of equivalent fractions representing the same value.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Apply cross multiplication to verify whether two fractions are equivalent"", ""reason"": ""Checking that two ratios from a table are equal is done by the same cross-multiplication test used to verify fraction equivalence.""}]"
CBSE,Maths,Grade 8,Chapter11_Direct_And_Inverse_Proportions,Direct proportion in tables and ratio form,Express the relationship between two directly proportional quantities in ratio form x/y = k,"[""Direct Proportion""]","[""Calculate the constant of proportionality relating two directly proportional quantities""]","[{""chapter"": ""Chapter7_Comparing_Quantities"", ""concept"": ""Ratios and their comparison"", ""reason"": ""Expressing a direct proportion relationship in ratio form requires already knowing what a ratio is and how it is written and interpreted.""}]","[{""chapter"": ""Chapter7_Comparing_Quantities"", ""skill"": ""Calculate the ratio of two given quantities"", ""reason"": ""Writing the relationship as x/y = k requires the ability to compute the ratio of two quantities in the first place.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Equivalent Fractions"", ""reason"": ""Recognising that the ratio x/y stays constant across table entries relies on the same idea of equivalent fractions representing the same value.""}]",[]
