board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Tenths as decimal fractions (one-tenth = 0.1),Identify the tenths place in a decimal number,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Understanding that each place-value position is ten times the value of the position to its right is required to extend the system to tenths.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""skill"": ""Identify the place value of each digit in a number using the Indian number system"", ""reason"": ""Locating the tenths place requires the prior skill of identifying place value positions and their relative worth.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Tenths as decimal fractions (one-tenth = 0.1),Represent a fraction with denominator 10 as a decimal,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Understanding that each place-value position is ten times the value of the position to its right is required to extend the system to tenths.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Write fractions using correct symbols and notation"", ""reason"": ""Converting a fraction with denominator 10 into a decimal requires already knowing how to read and write fractions in symbolic form.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Tenths as decimal fractions (one-tenth = 0.1),Convert a decimal in tenths back into a fraction,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Understanding that each place-value position is ten times the value of the position to its right is required to extend the system to tenths.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Write fractions using correct symbols and notation"", ""reason"": ""Rewriting a tenths decimal as a fraction requires the earlier skill of expressing quantities using correct fraction notation.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Tenths as decimal fractions (one-tenth = 0.1),Apply tenths notation to represent measurements like length and money,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Understanding that each place-value position is ten times the value of the position to its right is required to extend the system to tenths.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Hundredths as decimal fractions (one-hundredth = 0.01),Identify the hundredths place in a decimal number,"[""Tenths as decimal fractions (one-tenth = 0.1)""]","[""Identify the tenths place in a decimal number""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Extending place value one step further to hundredths requires the prior understanding of how positions relate by powers of ten.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""skill"": ""Identify the place value of each digit in a number using the Indian number system"", ""reason"": ""Locating the hundredths place extends the earlier skill of identifying place value positions to a new, smaller position.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Hundredths as decimal fractions (one-hundredth = 0.01),Represent a fraction with denominator 100 as a decimal,"[""Tenths as decimal fractions (one-tenth = 0.1)""]","[""Represent a fraction with denominator 10 as a decimal""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Extending place value one step further to hundredths requires the prior understanding of how positions relate by powers of ten.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Write fractions using correct symbols and notation"", ""reason"": ""Converting a fraction with denominator 100 into a decimal requires already knowing how to read and write fractions in symbolic form.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Hundredths as decimal fractions (one-hundredth = 0.01),Convert a decimal in hundredths back into a fraction,"[""Tenths as decimal fractions (one-tenth = 0.1)""]","[""Convert a decimal in tenths back into a fraction""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Extending place value one step further to hundredths requires the prior understanding of how positions relate by powers of ten.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Write fractions using correct symbols and notation"", ""reason"": ""Rewriting a hundredths decimal as a fraction requires the earlier skill of expressing quantities using correct fraction notation.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Hundredths as decimal fractions (one-hundredth = 0.01),Apply hundredths notation to represent measurements like money,"[""Tenths as decimal fractions (one-tenth = 0.1)""]","[""Apply tenths notation to represent measurements like length and money""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Place value table (Thousands, Hundreds, Tens, Ones)"", ""reason"": ""Extending place value one step further to hundredths requires the prior understanding of how positions relate by powers of ten.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Derived from skill prerequisite: 'Identify the place value of each digit in a number using the Indian number system' (in Grade 4/Chapter04_Thousands_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Fraction to Decimal Conversion,"Convert a given fraction such as 1/2, 1/4, 1/5 into its decimal notation","[""Tenths as decimal fractions (one-tenth = 0.1)"", ""Hundredths as decimal fractions (one-hundredth = 0.01)""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Converting a fraction into a decimal requires first knowing how a fraction is written and what its numerator and denominator represent.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Identify halves and quarters of an object' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify halves and quarters of an object"", ""reason"": ""Converting 1/2 and 1/4 to decimals requires already understanding what these fractions represent as parts of a whole.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Fraction to Decimal Conversion,Convert a given decimal into its equivalent fraction,"[""Tenths as decimal fractions (one-tenth = 0.1)"", ""Hundredths as decimal fractions (one-hundredth = 0.01)""]","[""Convert a given fraction such as 1/2, 1/4, 1/5 into its decimal notation""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Converting a fraction into a decimal requires first knowing how a fraction is written and what its numerator and denominator represent.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Identify halves and quarters of an object' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Fraction to Decimal Conversion,Compare a fraction and its decimal equivalent to verify correctness,"[""Tenths as decimal fractions (one-tenth = 0.1)"", ""Hundredths as decimal fractions (one-hundredth = 0.01)""]","[""Convert a given fraction such as 1/2, 1/4, 1/5 into its decimal notation"", ""Convert a given decimal into its equivalent fraction""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Converting a fraction into a decimal requires first knowing how a fraction is written and what its numerator and denominator represent.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Identify halves and quarters of an object' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Fraction to Decimal Conversion,"Solve real-life problems involving conversion between fractions and decimals, such as using units of length and money","[""Tenths as decimal fractions (one-tenth = 0.1)"", ""Hundredths as decimal fractions (one-hundredth = 0.01)""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Converting a fraction into a decimal requires first knowing how a fraction is written and what its numerator and denominator represent.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Identify halves and quarters of an object' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Equivalent Decimal Fractions,Identify equivalent fractions that correspond to the same decimal value,"[""Fraction to Decimal Conversion""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Equivalent fractions through paper folding"", ""reason"": ""Recognising that different decimal fractions can represent the same value builds directly on the earlier concept of equivalent fractions.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify equivalent fractions using paper folding"", ""reason"": ""Recognising fractions that share a decimal value builds directly on the earlier skill of identifying equivalent fractions.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Equivalent Decimal Fractions,Form equivalent decimal representations for a given fraction,"[""Fraction to Decimal Conversion""]","[""Convert a given fraction such as 1/2, 1/4, 1/5 into its decimal notation""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Equivalent fractions through paper folding"", ""reason"": ""Recognising that different decimal fractions can represent the same value builds directly on the earlier concept of equivalent fractions.""}]",[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Equivalent Decimal Fractions,Explain why two different fractions represent the same decimal number,"[""Fraction to Decimal Conversion""]","[""Identify equivalent fractions that correspond to the same decimal value"", ""Form equivalent decimal representations for a given fraction""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Equivalent fractions through paper folding"", ""reason"": ""Recognising that different decimal fractions can represent the same value builds directly on the earlier concept of equivalent fractions.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify equivalent fractions using paper folding"", ""reason"": ""Explaining why two fractions are equal in decimal value relies on the earlier reasoning skill developed for identifying equivalent fractions.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Relationship between millimetres and centimetres (1 mm = 0.1 cm),Express measurements in millimetres as decimal fractions of a centimetre,"[""Tenths as decimal fractions (one-tenth = 0.1)""]","[""Identify the tenths place in a decimal number"", ""Represent a fraction with denominator 10 as a decimal""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Relationship between centimetres and metres (1 cm = 1/100 m),Express measurements in centimetres as decimal fractions of a metre,"[""Hundredths as decimal fractions (one-hundredth = 0.01)""]","[""Identify the hundredths place in a decimal number"", ""Represent a fraction with denominator 100 as a decimal""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Expressing 1 cm as 1/100 m is the direct inverse of the metre-to-centimetre conversion factor already established.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Convert measurements from metres to centimetres and vice versa"", ""reason"": ""Expressing centimetres as a decimal fraction of a metre requires already being able to convert numerically between the two units.""}]"
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Reading and writing decimal numbers,Read and write decimal numbers up to hundredths,"[""Tenths as decimal fractions (one-tenth = 0.1)"", ""Hundredths as decimal fractions (one-hundredth = 0.01)""]","[""Identify the tenths place in a decimal number"", ""Identify the hundredths place in a decimal number""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter10_Tenths_And_Hundredths,Decimal notation for money (rupees and paise),Interpret prices written in decimal form (rupees and paise),"[""Tenths as decimal fractions (one-tenth = 0.1)"", ""Hundredths as decimal fractions (one-hundredth = 0.01)"", ""Reading and writing decimal numbers""]","[""Read and write decimal numbers up to hundredths""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Writing money amounts in decimal rupee notation depends on already knowing that 100 paise equal 1 rupee.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""State the relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Interpreting a decimal rupee price requires already knowing how paise relate numerically to rupees.""}]"
