board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Family Members and Relationships,Describe the physical characteristics and habits of different family members,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Family Members and Relationships,"Classify family members based on their relationship to oneself, such as parents, siblings, and grandparents",[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Family Practices and Values,Describe unique practices and rituals followed during family celebrations,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Family Practices and Values,Explain the importance of following family practices and values for living together,[],"[{""item"": ""Describe unique practices and rituals followed during family celebrations"", ""reason"": ""Explaining the importance of family practices requires first being able to describe what those practices and rituals are.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Work of Different Family Members,Name the different works that families are engaged in,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Work of Different Family Members,Explain the importance of sharing work among family members,[],"[{""item"": ""Name the different works that families are engaged in"", ""reason"": ""Explaining why sharing work matters requires first knowing what kinds of work family members actually do.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Types of Families,Distinguish between big and small families,"[{""item"": ""Family Members and Relationships"", ""reason"": ""Students must first know who counts as a family member and how they relate before they can classify families into joint, nuclear, big, or small types.""}]","[{""item"": ""Recall and describe the different types of families such as joint and nuclear families"", ""reason"": ""Judging a family as big or small relies on first understanding the joint/nuclear family types that define family size.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Types of Families,Recall and describe the different types of families such as joint and nuclear families,"[{""item"": ""Family Members and Relationships"", ""reason"": ""Students must first know who counts as a family member and how they relate before they can classify families into joint, nuclear, big, or small types.""}]","[{""item"": ""Classify family members based on their relationship to oneself, such as parents, siblings, and grandparents"", ""reason"": ""Describing joint and nuclear family types requires already being able to identify who the family members and their relationships are.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Playing and Singing Together as a Family,Describe activities that family members enjoy together such as playing and singing,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Playing and Singing Together as a Family,Recall and sing songs learnt from family members,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Role of Grandparents,"Explain how grandparents share games, songs, and traditions with children","[{""item"": ""Family Members and Relationships"", ""reason"": ""Understanding grandparents' specific role requires already knowing grandparents as a category within family relationships.""}]","[{""item"": ""Classify family members based on their relationship to oneself, such as parents, siblings, and grandparents"", ""reason"": ""Explaining what grandparents do requires first being able to identify grandparents as a distinct family relationship category.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Role of Grandparents,"Discuss what children learn from grandparents in their family through shared games, songs, and traditions","[{""item"": ""Family Members and Relationships"", ""reason"": ""Understanding grandparents' specific role requires already knowing grandparents as a category within family relationships.""}]","[{""item"": ""Explain how grandparents share games, songs, and traditions with children"", ""reason"": ""Discussing the lessons learned depends on first knowing what games, songs, and traditions grandparents actually share.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Pets and Animals as Part of the Family,Describe pets and animals kept as part of the family,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,"Caring for Animals, Plants and Trees",Explain how families care for pets and animals,"[{""item"": ""Pets and Animals as Part of the Family"", ""reason"": ""Learning how to care for pets and animals requires first recognizing which animals are considered part of the family.""}]","[{""item"": ""Describe pets and animals kept as part of the family"", ""reason"": ""Explaining care practices requires first identifying which pets and animals are part of the family.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,"Caring for Animals, Plants and Trees",Explain the importance of respecting and caring for animals and plants,"[{""item"": ""Pets and Animals as Part of the Family"", ""reason"": ""Learning how to care for pets and animals requires first recognizing which animals are considered part of the family.""}]","[{""item"": ""Explain how families care for pets and animals"", ""reason"": ""Generalizing the importance of respecting and caring for animals and plants builds on already knowing concrete caring practices for family pets.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Friends and Neighbours,Describe activities enjoyed with friends and neighbours,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Games Played with Family and Friends,Describe traditional games played with family and friends,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Learning from Family Members and Elders,Explain lessons and values that children learn from family members and elders,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Festivals and Community Activities,Create a rangoli using natural materials like leaves and flowers,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter01_Family_and_Friends,Depicting Family Life,Draw pictures depicting family members and shared activities,[],[],[],[]
