board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Sources of Light,Classify objects as sources of light or not based on observation,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between objects that emit light and objects visible only through reflected light' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Distinguish between objects that emit light and objects visible only through reflected light"", ""reason"": ""Recognising which objects emit their own light versus which are seen only by reflected light is the direct basis for classifying objects as light sources.""}]"
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Luminous and Non-Luminous Objects,Identify luminous and non-luminous objects from a given set,"[""Sources of Light""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""The Grade 6 chapter already established the distinction between objects that emit light and those merely visible by reflected light, which underlies classifying objects as luminous or non-luminous.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Distinguish between objects that emit light and objects visible only through reflected light"", ""reason"": ""This Grade 6 skill of separating light-emitting objects from reflected-light-visible objects is the same distinction needed to sort objects into luminous and non-luminous categories.""}]"
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Luminous and Non-Luminous Objects,Explain why the Moon is a non-luminous object,"[""Sources of Light""]","[""Identify luminous and non-luminous objects from a given set""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""The Grade 6 chapter already established the distinction between objects that emit light and those merely visible by reflected light, which underlies classifying objects as luminous or non-luminous.""}]",[]
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Light Travels in a Straight Line,Demonstrate that light travels in a straight line using activities,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,"Transparent, Translucent and Opaque Materials","Classify materials into transparent, translucent, and opaque",[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,"Transparent, Translucent and Opaque Materials",Predict whether light will pass through a given material,[],"[""Classify materials into transparent, translucent, and opaque""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Shadow Formation,Explain how shadows are formed when light is blocked by an object,"[""Light Travels in a Straight Line"", ""Transparent, Translucent and Opaque Materials""]","[""Demonstrate that light travels in a straight line using activities""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Conditions for Shadow Formation"", ""reason"": ""Grade 6 already identified that a light source, an opaque object and a screen are the necessary conditions for a shadow to form, which the Grade 7 treatment of shadow formation builds on.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Shadows and their formation"", ""reason"": ""Grade 4 introduced the basic idea that shadows form when an object blocks light, which the Grade 7 chapter assumes as background before analysing shadow properties further.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Shadow Formation in Real-life Situations"", ""reason"": ""Derived from skill prerequisite: 'Evaluate the effect of altitude on the size of a shadow, such as comparing an airplane's shadow with a bird's shadow' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Factors affecting the size and direction of shadows"", ""reason"": ""Derived from skill prerequisite: 'Predict how a shadow changes when the distance of the light source changes' (in Grade 4/Chapter10_Our_Sky) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Conclude the necessary conditions of a light source, opaque object, and screen required for shadow formation"", ""reason"": ""Knowing that a light source, an opaque object and a screen are all required for a shadow is a direct precondition for explaining how blocking light produces a shadow.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Explain how shadows are formed"", ""reason"": ""This earlier explanation of shadow formation as light being blocked by an object is the foundational idea the Grade 7 explanation elaborates on.""}]"
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Shadow Formation,"Distinguish between shadows formed by opaque, translucent, and transparent objects","[""Light Travels in a Straight Line"", ""Transparent, Translucent and Opaque Materials""]","[""Classify materials into transparent, translucent, and opaque"", ""Explain how shadows are formed when light is blocked by an object""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Conditions for Shadow Formation"", ""reason"": ""Grade 6 already identified that a light source, an opaque object and a screen are the necessary conditions for a shadow to form, which the Grade 7 treatment of shadow formation builds on.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Shadows and their formation"", ""reason"": ""Grade 4 introduced the basic idea that shadows form when an object blocks light, which the Grade 7 chapter assumes as background before analysing shadow properties further.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Shadow Formation in Real-life Situations"", ""reason"": ""Derived from skill prerequisite: 'Evaluate the effect of altitude on the size of a shadow, such as comparing an airplane's shadow with a bird's shadow' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Factors affecting the size and direction of shadows"", ""reason"": ""Derived from skill prerequisite: 'Predict how a shadow changes when the distance of the light source changes' (in Grade 4/Chapter10_Our_Sky) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Shadow Formation,Describe the factors affecting the size and sharpness of a shadow,"[""Light Travels in a Straight Line"", ""Transparent, Translucent and Opaque Materials""]","[""Explain how shadows are formed when light is blocked by an object""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Conditions for Shadow Formation"", ""reason"": ""Grade 6 already identified that a light source, an opaque object and a screen are the necessary conditions for a shadow to form, which the Grade 7 treatment of shadow formation builds on.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Shadows and their formation"", ""reason"": ""Grade 4 introduced the basic idea that shadows form when an object blocks light, which the Grade 7 chapter assumes as background before analysing shadow properties further.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Shadow Formation in Real-life Situations"", ""reason"": ""Derived from skill prerequisite: 'Evaluate the effect of altitude on the size of a shadow, such as comparing an airplane's shadow with a bird's shadow' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Factors affecting the size and direction of shadows"", ""reason"": ""Derived from skill prerequisite: 'Predict how a shadow changes when the distance of the light source changes' (in Grade 4/Chapter10_Our_Sky) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Evaluate the effect of altitude on the size of a shadow, such as comparing an airplane's shadow with a bird's shadow"", ""reason"": ""Understanding that the distance between the object and the light source or screen changes shadow size, as shown with altitude, underlies analysing the factors affecting shadow size in Grade 7.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Predict how a shadow changes when the distance of the light source changes"", ""reason"": ""This earlier skill of relating light-source distance to shadow size is a direct building block for describing the factors that affect shadow size and sharpness.""}]"
CBSE,Science,Grade 7,Chapter11_Light:_Shadows_and_Reflections,Shadow Formation,Predict the shadow formed based on the position of an object relative to a light source and screen,"[""Light Travels in a Straight Line"", ""Transparent, Translucent and Opaque Materials""]","[""Explain how shadows are formed when light is blocked by an object""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Conditions for Shadow Formation"", ""reason"": ""Grade 6 already identified that a light source, an opaque object and a screen are the necessary conditions for a shadow to form, which the Grade 7 treatment of shadow formation builds on.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Shadows and their formation"", ""reason"": ""Grade 4 introduced the basic idea that shadows form when an object blocks light, which the Grade 7 chapter assumes as background before analysing shadow properties further.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Shadow Formation in Real-life Situations"", ""reason"": ""Derived from skill prerequisite: 'Evaluate the effect of altitude on the size of a shadow, such as comparing an airplane's shadow with a bird's shadow' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Factors affecting the size and direction of shadows"", ""reason"": ""Derived from skill prerequisite: 'Predict how a shadow changes when the distance of the light source changes' (in Grade 4/Chapter10_Our_Sky) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Predict how a shadow changes when the direction of the light source changes"", ""reason"": ""Predicting shadow changes from light-source direction is the same reasoning skill needed to predict shadows from an object's position relative to the source and screen.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Predict how a shadow changes when the distance of the light source changes"", ""reason"": ""Predicting shadow changes from light-source distance is a direct precursor to predicting shadows based on relative object-source-screen positions.""}]"
