board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Standard unit of length - centimeter,Identify the centimeter as a standard unit for measuring length,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""Students must already understand measuring length by repeatedly applying a unit before they can grasp the centimeter as a fixed, standardized version of that unit.""}]",[]
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Standard unit of length - centimeter,Use a ruler to measure the length of familiar objects in centimeters,[],"[""Identify the centimeter as a standard unit for measuring length""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""Students must already understand measuring length by repeatedly applying a unit before they can grasp the centimeter as a fixed, standardized version of that unit.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Measure the length of objects using non-standard units such as handspans, blocks, or pencils"", ""reason"": ""The physical technique of aligning a unit against an object and counting iterations, learned with non-standard units, transfers directly to reading measurements off a ruler.""}]"
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Standard unit of length - centimeter,Read the measurement marked on a ruler to state the length of an object,[],"[""Use a ruler to measure the length of familiar objects in centimeters""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""Students must already understand measuring length by repeatedly applying a unit before they can grasp the centimeter as a fixed, standardized version of that unit.""}]",[]
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Standard unit of length - meter,Identify the meter as a standard unit for measuring length,"[""Standard unit of length - centimeter""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""The idea of measuring longer objects by laying units end-to-end, learned with non-standard units, is the basis for understanding the meter as a standardized unit for longer lengths.""}]",[]
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Standard unit of length - meter,Use a measuring tape to measure the length of familiar objects in meters,"[""Standard unit of length - centimeter""]","[""Identify the meter as a standard unit for measuring length""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""The idea of measuring longer objects by laying units end-to-end, learned with non-standard units, is the basis for understanding the meter as a standardized unit for longer lengths.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Measure the length of objects using non-standard units such as handspans, blocks, or pencils"", ""reason"": ""The same iterative unit-measurement technique used with non-standard units is required to use a measuring tape for meters.""}]"
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Standard unit of length - meter,Read the measurement marked on a measuring tape to state the length of an object,"[""Standard unit of length - centimeter""]","[""Use a measuring tape to measure the length of familiar objects in meters""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""The idea of measuring longer objects by laying units end-to-end, learned with non-standard units, is the basis for understanding the meter as a standardized unit for longer lengths.""}]",[]
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Estimating and comparing lengths in cm and m,Estimate the length of an object in centimeters or meters before measuring,"[""Standard unit of length - centimeter"", ""Standard unit of length - meter""]","[""Identify the centimeter as a standard unit for measuring length"", ""Identify the meter as a standard unit for measuring length""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Estimating and Comparing Lengths"", ""reason"": ""Students already practiced estimating and comparing lengths using non-standard units, a skill now transferred directly to standard cm/m units.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Measuring length and height using non-standard units"", ""reason"": ""Derived from skill prerequisite: 'Compare estimated and actual measurements for length' (in Grade 1/Chapter 7) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Estimate the length of objects before measuring and record actual measurements"", ""reason"": ""The estimation process practiced with non-standard units is directly extended to estimating lengths in standard units.""}]"
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Estimating and comparing lengths in cm and m,Compare the lengths of two or more objects given in centimeters or meters,"[""Standard unit of length - centimeter"", ""Standard unit of length - meter""]","[""Estimate the length of an object in centimeters or meters before measuring""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Estimating and Comparing Lengths"", ""reason"": ""Students already practiced estimating and comparing lengths using non-standard units, a skill now transferred directly to standard cm/m units.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Measuring length and height using non-standard units"", ""reason"": ""Derived from skill prerequisite: 'Compare estimated and actual measurements for length' (in Grade 1/Chapter 7) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Estimating and comparing lengths in cm and m,Verify an estimated length against the actual measured length,"[""Standard unit of length - centimeter"", ""Standard unit of length - meter""]","[""Read the measurement marked on a ruler to state the length of an object"", ""Read the measurement marked on a measuring tape to state the length of an object""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Estimating and Comparing Lengths"", ""reason"": ""Students already practiced estimating and comparing lengths using non-standard units, a skill now transferred directly to standard cm/m units.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Measuring length and height using non-standard units"", ""reason"": ""Derived from skill prerequisite: 'Compare estimated and actual measurements for length' (in Grade 1/Chapter 7) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""skill"": ""Compare estimated and actual measurements for length"", ""reason"": ""Students already practiced checking an estimated length against the actual measured length using non-standard units.""}]"
CBSE,Maths,Grade 3,Chapter4_Vacation_with_My_Nani_Maa,Choosing appropriate unit between centimeter and meter,Distinguish situations requiring centimeters from those requiring meters,"[""Standard unit of length - centimeter"", ""Standard unit of length - meter"", ""Estimating and comparing lengths in cm and m""]","[""Identify the centimeter as a standard unit for measuring length"", ""Identify the meter as a standard unit for measuring length""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Appropriate unit selection for measurement"", ""reason"": ""Choosing a suitable unit based on object size was first developed with non-standard units and is directly extended to deciding between centimeters and meters.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""skill"": ""Identify which non-standard unit is suitable for measuring a large object versus a small object"", ""reason"": ""Deciding which unit fits a given measuring situation was first practiced with non-standard units and is directly reapplied to cm versus m.""}]"
