board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Common Plants in Surroundings,Identify and name common plants growing in the immediate surroundings,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Common Plants in Surroundings,"Describe simple observable features such as shape, colour, texture and aroma of leaves of common plants",[],"[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Tree Trunks and Bark,Distinguish between trees on the basis of the thickness of their trunks,"[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Tree Trunks and Bark,Describe the texture of different tree trunks and bark based on observation,"[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Variety in Leaves,"Recognize differences in size, shape, colour and smell among leaves of different plants","[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Variety in Leaves,Compare the texture and margins of leaves from different plants,"[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Drawing and Rubbing of Plant Parts,Draw and colour different leaves observed in the surroundings,"[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Drawing and Rubbing of Plant Parts,Create rubbings of tree trunks and leaves to record their texture,"[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Trees and their features,"Describe the physical features of trees such as height, thick woody trunk and branches","[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Shrubs and their features,Describe the physical features of shrubs such as bushy growth and multiple thin stems,"[""Trees and their features""]","[""Describe the physical features of trees such as height, thick woody trunk and branches""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Shrubs and their features,Distinguish between herbs and shrubs based on stem type,"[""Trees and their features""]","[""Describe the physical features of shrubs such as bushy growth and multiple thin stems"", ""Describe the physical features of trees such as height, thick woody trunk and branches""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Herbs and grasses,Describe the physical features of herbs and grasses such as soft green stems and short height,"[""Trees and their features""]","[""Describe the physical features of trees such as height, thick woody trunk and branches""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Climbers and creepers,Distinguish between climbers and creepers based on stem structure,"[""Trees and their features""]","[""Describe the physical features of trees such as height, thick woody trunk and branches""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Climbers and creepers,Identify climbers and creepers seen in the surroundings by observing how their stems grow,"[""Trees and their features""]","[""Distinguish between climbers and creepers based on stem structure""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Plant Classification,"Identify different types of plants such as trees, shrubs, herbs, grasses, climbers and creepers","[""Trees and their features"", ""Shrubs and their features"", ""Herbs and grasses"", ""Climbers and creepers""]","[""Describe the physical features of trees such as height, thick woody trunk and branches"", ""Describe the physical features of shrubs such as bushy growth and multiple thin stems"", ""Describe the physical features of herbs and grasses such as soft green stems and short height"", ""Distinguish between climbers and creepers based on stem structure""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Plant Classification,"Classify plants seen in surroundings as tree, shrub, herb, grass, climber or creeper","[""Trees and their features"", ""Shrubs and their features"", ""Herbs and grasses"", ""Climbers and creepers""]","[""Identify different types of plants such as trees, shrubs, herbs, grasses, climbers and creepers""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,"Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)","Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed","[""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,"Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)",Explain the role of roots and stems in plant growth,"[""Common Plants in Surroundings""]","[""Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Seeds and grains as products of plants,Identify seeds and grains as products of plants used by humans,"[""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""Common Plants in Surroundings""]","[""Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter04_Getting_to_Know_Plants,Seeds and grains as products of plants,Recognise fruits and plants using the sense of smell,"[""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""Common Plants in Surroundings""]","[""Identify and name common plants growing in the immediate surroundings""]",[],[]
