board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,"Identifying and drawing straight lines in different orientations (vertical, horizontal, slanting)","Identify and name straight lines as vertical, horizontal, or slanting based on their orientation","[""Differentiating between straight lines and curved lines""]",[],[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,"Identifying and drawing straight lines in different orientations (vertical, horizontal, slanting)","Draw a straight vertical line, a straight horizontal line, and a slanting line when given a blank space","[""Differentiating between straight lines and curved lines""]","[""Identify and name straight lines as vertical, horizontal, or slanting based on their orientation""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,"Identifying and drawing straight lines in different orientations (vertical, horizontal, slanting)","Classify a set of given lines as vertical, horizontal, or slanting by observing their direction","[""Differentiating between straight lines and curved lines""]","[""Identify and name straight lines as vertical, horizontal, or slanting based on their orientation""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,"Identifying and drawing straight lines in different orientations (vertical, horizontal, slanting)",Complete a partially drawn figure by adding a straight line of the named orientation,"[""Differentiating between straight lines and curved lines""]","[""Draw a straight vertical line, a straight horizontal line, and a slanting line when given a blank space"", ""Classify a set of given lines as vertical, horizontal, or slanting by observing their direction""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,Differentiating between straight lines and curved lines,Distinguish between a straight line and a curved line when shown examples of each,[],[],[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,Differentiating between straight lines and curved lines,Sort a given set of lines or outlines into two groups: straight and curved,[],"[""Distinguish between a straight line and a curved line when shown examples of each""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,Differentiating between straight lines and curved lines,"Identify whether the outline of a given shape or figure is made of straight lines, curved lines, or both",[],"[""Sort a given set of lines or outlines into two groups: straight and curved""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,Differentiating between straight lines and curved lines,Explain the difference between a straight line and a curved line using words or by drawing examples,[],"[""Distinguish between a straight line and a curved line when shown examples of each""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,Lines formed by paper folding (creases),"Identify the type of line (straight, vertical, horizontal, or slanting) formed by a crease when paper is folded in a described way","[""Identifying and drawing straight lines in different orientations (vertical, horizontal, slanting)""]","[""Identify and name straight lines as vertical, horizontal, or slanting based on their orientation""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter5_Playing_with_Lines,Lines formed by paper folding (creases),"Predict the type of crease that will form when paper is folded in a specified direction (e.g., top to bottom, corner to corner)","[""Identifying and drawing straight lines in different orientations (vertical, horizontal, slanting)""]","[""Identify the type of line (straight, vertical, horizontal, or slanting) formed by a crease when paper is folded in a described way""]",[],[],[],[]
