board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Concept of Temperature,Distinguish between hot and cold objects based on their degree of hotness,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Concept of Temperature,Explain why touch is an unreliable method for comparing temperature of objects,[],"[{""item"": ""Distinguish between hot and cold objects based on their degree of hotness"", ""reason"": ""A learner needs the basic idea of relative hotness and coldness before understanding why touch gives only a subjective comparison rather than a reliable measurement.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Concept of Temperature,Define temperature and explain its significance,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Hotness and Coldness of Bodies,Compare the hotness or coldness of two given bodies using given temperature data,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Limitations of Sense of Touch for Judging Temperature,Describe why the sense of touch cannot give an accurate estimate of temperature,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Thermometer as a Measuring Device,Identify the parts of a laboratory thermometer,"[{""item"": ""Concept of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Explain why touch is an unreliable method for comparing temperature of objects' is a prerequisite of a skill under this concept.""}]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Thermometer as a Measuring Device,Explain the necessity of using a thermometer instead of touch for measuring temperature,"[{""item"": ""Concept of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Explain why touch is an unreliable method for comparing temperature of objects' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Explain why touch is an unreliable method for comparing temperature of objects"", ""reason"": ""This explanation depends on knowing that touch cannot provide an accurate or consistent comparison of temperature.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Types of Thermometers,Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use,"[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a laboratory thermometer' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify the parts of a laboratory thermometer"", ""reason"": ""To compare thermometer types by range and use, a student must first know the basic components of a thermometer to understand what is being compared.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Types of Thermometers,"Classify thermometers based on their specific applications such as clinical, laboratory, and digital","[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a laboratory thermometer' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use"", ""reason"": ""Classifying thermometers by application requires first recognizing how the major thermometer types differ in range and purpose.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Digital Clinical Thermometer and Heat Sensors,Describe the working of a digital clinical thermometer,"[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Explain the necessity of using a thermometer instead of touch for measuring temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Explain the necessity of using a thermometer instead of touch for measuring temperature"", ""reason"": ""Understanding the working of a digital clinical thermometer depends on knowing why temperature must be measured with an instrument rather than by touch.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Using a Thermometer Correctly,Demonstrate the correct method of using a laboratory thermometer to measure temperature,"[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a laboratory thermometer' is a prerequisite of a skill under this concept.""}, {""item"": ""Reading a Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Read the temperature value correctly from a given thermometer scale' is a prerequisite of a skill under this concept.""}, {""item"": ""Types of Thermometers"", ""reason"": ""Derived from skill prerequisite: 'Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify the parts of a laboratory thermometer"", ""reason"": ""Correct use of a laboratory thermometer requires knowing its parts so the student can place, read, and handle it properly.""}, {""item"": ""Read the temperature value correctly from a given thermometer scale"", ""reason"": ""A student must be able to interpret the scale before they can measure a temperature accurately with the instrument.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Using a Thermometer Correctly,Demonstrate the correct procedure for measuring body temperature using a clinical thermometer,"[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a laboratory thermometer' is a prerequisite of a skill under this concept.""}, {""item"": ""Reading a Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Read the temperature value correctly from a given thermometer scale' is a prerequisite of a skill under this concept.""}, {""item"": ""Types of Thermometers"", ""reason"": ""Derived from skill prerequisite: 'Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use"", ""reason"": ""Using a clinical thermometer correctly requires knowing that it is the thermometer meant for body temperature and how it differs from other types.""}, {""item"": ""Read the temperature value correctly from a given thermometer scale"", ""reason"": ""The procedure is incomplete unless the learner can read the mercury level or digital display accurately.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Precautions for Using a Laboratory Thermometer,List the precautions to be taken while handling a laboratory thermometer,"[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a laboratory thermometer' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify the parts of a laboratory thermometer"", ""reason"": ""Precautions for handling a laboratory thermometer depend on knowing the instrument's structure and fragile parts.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Precautions for Using a Digital Clinical Thermometer,List the precautions for using a digital clinical thermometer such as not biting it or removing it too early,"[{""item"": ""Digital Clinical Thermometer and Heat Sensors"", ""reason"": ""Derived from skill prerequisite: 'Describe the working of a digital clinical thermometer' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Describe the working of a digital clinical thermometer"", ""reason"": ""Precautions make sense only after understanding how the digital clinical thermometer functions during measurement.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Temperature Scales,Convert a given temperature value from Celsius scale to Fahrenheit scale,"[{""item"": ""Comparison of Temperature Scales"", ""reason"": ""Derived from skill prerequisite: 'Compare Celsius, Fahrenheit, and Kelvin temperature scales' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Compare Celsius, Fahrenheit, and Kelvin temperature scales"", ""reason"": ""Converting between scales requires knowing that the scales are different and what each one represents.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Temperature Scales,Convert a given temperature value from Fahrenheit scale to Celsius scale,"[{""item"": ""Comparison of Temperature Scales"", ""reason"": ""Derived from skill prerequisite: 'Compare Celsius, Fahrenheit, and Kelvin temperature scales' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Compare Celsius, Fahrenheit, and Kelvin temperature scales"", ""reason"": ""To convert from Fahrenheit to Celsius, a learner must first understand the relationship between the two temperature scales.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Kelvin Scale and SI Unit of Temperature,Identify Kelvin as the SI unit of temperature,"[{""item"": ""Comparison of Temperature Scales"", ""reason"": ""Derived from skill prerequisite: 'Compare Celsius, Fahrenheit, and Kelvin temperature scales' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Compare Celsius, Fahrenheit, and Kelvin temperature scales"", ""reason"": ""Recognizing Kelvin as the SI unit depends on understanding the set of temperature scales and how they differ in use.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Conversion Between Celsius and Kelvin Scales,Convert temperature from Celsius scale to Kelvin scale,"[{""item"": ""Kelvin Scale and SI Unit of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Identify Kelvin as the SI unit of temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify Kelvin as the SI unit of temperature"", ""reason"": ""Celsius-to-Kelvin conversion requires knowing that Kelvin is the target SI scale used for the converted value.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Comparison of Temperature Scales,"Compare Celsius, Fahrenheit, and Kelvin temperature scales","[{""item"": ""Kelvin Scale and SI Unit of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Identify Kelvin as the SI unit of temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify Kelvin as the SI unit of temperature"", ""reason"": ""A meaningful comparison needs the learner to know the role of Kelvin alongside the other commonly used temperature scales.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Writing Conventions for Temperature Units and Symbols,Apply correct writing conventions for temperature units and symbols,"[{""item"": ""Kelvin Scale and SI Unit of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Identify Kelvin as the SI unit of temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify Kelvin as the SI unit of temperature"", ""reason"": ""Correct notation depends on knowing which unit is standard and how temperature units are represented formally.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Reading a Thermometer,Read the temperature value correctly from a given thermometer scale,"[{""item"": ""Thermometer as a Measuring Device"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a laboratory thermometer' is a prerequisite of a skill under this concept.""}, {""item"": ""Range of a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Identify the range of a given laboratory thermometer' is a prerequisite of a skill under this concept.""}, {""item"": ""Least Count of a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Calculate the least count of a laboratory thermometer given that its scale from 35°C to 42°C is divided into 70 equal parts' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify the parts of a laboratory thermometer"", ""reason"": ""Reading a thermometer scale requires identifying the stem, markings, and level being read.""}, {""item"": ""Identify the range of a given laboratory thermometer"", ""reason"": ""A student must know the range before interpreting whether a reading is valid on that instrument.""}, {""item"": ""Calculate the least count of a laboratory thermometer given that its scale from 35°C to 42°C is divided into 70 equal parts"", ""reason"": ""Accurate reading requires understanding the smallest division value on the thermometer scale.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Range of a Laboratory Thermometer,Identify the range of a given laboratory thermometer,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Least Count of a Laboratory Thermometer,Calculate the least count of a laboratory thermometer given that its scale from 35°C to 42°C is divided into 70 equal parts,"[{""item"": ""Range of a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Identify the range of a given laboratory thermometer' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify the range of a given laboratory thermometer"", ""reason"": ""Least count is determined from the span of the thermometer scale, so the range must be known first.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Normal Human Body Temperature,State the normal range of human body temperature in Celsius and Fahrenheit,"[{""item"": ""Temperature Scales"", ""reason"": ""Derived from skill prerequisite: 'Convert a given temperature value from Celsius scale to Fahrenheit scale' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Convert a given temperature value from Celsius scale to Fahrenheit scale"", ""reason"": ""Stating the normal range in both units requires linking the same body temperature across the two scales.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Factors Affecting Body Temperature,"Identify factors that influence body temperature such as age, time of day, and activity",[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Fever and Body Temperature,Interpret a given clinical thermometer reading to determine whether a person has fever,"[{""item"": ""Normal Human Body Temperature"", ""reason"": ""Derived from skill prerequisite: 'State the normal range of human body temperature in Celsius and Fahrenheit' is a prerequisite of a skill under this concept.""}, {""item"": ""Reading a Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Read the temperature value correctly from a given thermometer scale' is a prerequisite of a skill under this concept.""}]","[{""item"": ""State the normal range of human body temperature in Celsius and Fahrenheit"", ""reason"": ""Determining fever requires comparing the reading with the normal body-temperature range.""}, {""item"": ""Read the temperature value correctly from a given thermometer scale"", ""reason"": ""The interpretation depends on first reading the clinical thermometer accurately.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Measuring Temperature of Different Substances,Measure the temperature of a given liquid using a laboratory thermometer,"[{""item"": ""Using a Thermometer Correctly"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the correct method of using a laboratory thermometer to measure temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Demonstrate the correct method of using a laboratory thermometer to measure temperature"", ""reason"": ""Measuring a liquid temperature requires applying the correct placement and handling procedure for the thermometer.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Constant Temperature During Boiling and Melting,Explain why temperature remains constant during boiling and melting,"[{""item"": ""Concept of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Define temperature and explain its significance' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Define temperature and explain its significance"", ""reason"": ""Explaining constant temperature during state changes requires understanding what temperature measures and why it matters physically.""}]","[{""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""Understanding that melting and freezing are specific state-change processes is needed before a student can grasp why temperature stays constant while these processes occur.""}, {""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Ice and water as forms of the same substance"", ""reason"": ""Derived from skill prerequisite: 'Describe how water changes state on heating or cooling' (in Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe how water changes state on heating or cooling"", ""reason"": ""A student must already know that heating or cooling causes water to change state before they can explain why the temperature itself stays constant during those specific changes.""}]",[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Construction of Thermometer,Describe how mercury or alcohol in a thermometer responds to changes in temperature,"[{""item"": ""Concept of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Define temperature and explain its significance' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Define temperature and explain its significance"", ""reason"": ""The response of the liquid in a thermometer is meaningful only when temperature as a physical quantity is understood.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Design of a Simple Thermometer,Construct a simple thermometer model using available materials to demonstrate temperature change,"[{""item"": ""Construction of Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Describe how mercury or alcohol in a thermometer responds to changes in temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Describe how mercury or alcohol in a thermometer responds to changes in temperature"", ""reason"": ""Building a working model depends on understanding that the liquid expands or contracts when temperature changes.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Application of Temperature Measurement,Select an appropriate thermometer for a given real-life situation,"[{""item"": ""Types of Thermometers"", ""reason"": ""Derived from skill prerequisite: 'Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use"", ""reason"": ""Choosing the right thermometer requires knowing which type matches the situation and temperature range.""}, {""item"": ""Classify thermometers based on their specific applications such as clinical, laboratory, and digital"", ""reason"": ""Selection depends on matching the thermometer type to the application.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Air Temperature and Room Thermometers,Explain how a room thermometer is used to measure air temperature,"[{""item"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Measure the temperature of a given liquid using a laboratory thermometer"", ""reason"": ""Using a room thermometer correctly builds on the general procedure for taking temperature with a thermometer.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Weather Reports and Maximum/Minimum Air Temperature,Interpret maximum and minimum air temperature data from weather reports,"[{""item"": ""Reading a Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Read the temperature value correctly from a given thermometer scale' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Read the temperature value correctly from a given thermometer scale"", ""reason"": ""Interpreting weather data requires correctly understanding temperature values and scale readings.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Recording and Analysing Temperature Readings,Record and analyse temperature readings taken by different students,"[{""item"": ""Reading a Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Read the temperature value correctly from a given thermometer scale' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Read the temperature value correctly from a given thermometer scale"", ""reason"": ""Analysis of students' readings depends on first obtaining accurate measurements from the thermometer.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Analysing Temperature Data Trends,Analyse temperature data collected over several days to identify trends,"[{""item"": ""Recording and Analysing Temperature Readings"", ""reason"": ""Derived from skill prerequisite: 'Record and analyse temperature readings taken by different students' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Record and analyse temperature readings taken by different students"", ""reason"": ""Trend analysis requires first organizing and comparing recorded temperature values.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Predicting Outcomes of Temperature Experiments,Predict outcomes of temperature-related experiments before observing them,"[{""item"": ""Constant Temperature During Boiling and Melting"", ""reason"": ""Derived from skill prerequisite: 'Explain why temperature remains constant during boiling and melting' is a prerequisite of a skill under this concept.""}, {""item"": ""Construction of Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Describe how mercury or alcohol in a thermometer responds to changes in temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Explain why temperature remains constant during boiling and melting"", ""reason"": ""Prediction in temperature experiments depends on understanding how temperature behaves during heating and phase change.""}, {""item"": ""Describe how mercury or alcohol in a thermometer responds to changes in temperature"", ""reason"": ""To predict experimental outcomes, a learner must know how a thermometer reacts when temperature changes.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Contributions of Anna Mani to Weather Instrumentation,Describe the contribution of Anna Mani to the development of weather measuring instruments,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Absolute Zero,State that absolute zero is 0 K or -273°C and explain its significance as the lowest possible temperature,"[{""item"": ""Kelvin Scale and SI Unit of Temperature"", ""reason"": ""Derived from skill prerequisite: 'Identify Kelvin as the SI unit of temperature' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Identify Kelvin as the SI unit of temperature"", ""reason"": ""Absolute zero is expressed in Kelvin, so the learner must first understand Kelvin as the temperature unit used for it.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter07_Temperature_And_Its_Measurement,Numerical Problems on Thermometer Scale Divisions,Solve numerical problems involving thermometer scale divisions and readings,"[{""item"": ""Least Count of a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Calculate the least count of a laboratory thermometer given that its scale from 35°C to 42°C is divided into 70 equal parts' is a prerequisite of a skill under this concept.""}, {""item"": ""Reading a Thermometer"", ""reason"": ""Derived from skill prerequisite: 'Read the temperature value correctly from a given thermometer scale' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Calculate the least count of a laboratory thermometer given that its scale from 35°C to 42°C is divided into 70 equal parts"", ""reason"": ""Numerical problems on thermometer divisions require knowing how to find the value of each division.""}, {""item"": ""Read the temperature value correctly from a given thermometer scale"", ""reason"": ""Solving thermometer problems depends on accurately interpreting the scale markings and readings.""}]",[],[],[],[]
