board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Concept of groups and grouping,Identify and describe equal groups of objects in everyday situations,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 3"", ""concept"": ""Grouping and making sets of objects"", ""reason"": ""The Grade 2 idea of grouping formalizes the earlier Grade 1 skill of forming sets of objects together.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Repeated Addition of Equal Groups"", ""reason"": ""Derived from skill prerequisite: 'Count the number of equal groups in a given situation' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Counting Equal Groups to Find Totals"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total number of objects arranged in equal groups' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""skill"": ""Count the number of equal groups in a given situation"", ""reason"": ""A student must already be able to recognize and count equal groups before describing them in everyday situations.""}]"
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Concept of groups and grouping,Count the total number of objects arranged in equal groups and record the result,[],"[""Identify and describe equal groups of objects in everyday situations""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 3"", ""concept"": ""Grouping and making sets of objects"", ""reason"": ""The Grade 2 idea of grouping formalizes the earlier Grade 1 skill of forming sets of objects together.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Repeated Addition of Equal Groups"", ""reason"": ""Derived from skill prerequisite: 'Count the number of equal groups in a given situation' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Counting Equal Groups to Find Totals"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total number of objects arranged in equal groups' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""skill"": ""Calculate the total number of objects arranged in equal groups"", ""reason"": ""This is the same computation already practiced in Grade 1, needed before recording the result in a more formal way.""}]"
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Grouping objects into equal groups,Group a set of objects into equal-sized groups and state the number of groups formed,"[""Concept of groups and grouping""]","[""Count the total number of objects arranged in equal groups and record the result""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Counting Equal Groups to Find Totals"", ""reason"": ""Recognizing and counting equal groups was already practiced in Grade 1 and is needed before a student can actively partition objects into equal groups.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Construct groups with an equal number of items numerically and pictorially' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Repeated subtraction"", ""reason"": ""Derived from skill prerequisite: 'Calculate how many times a number can be subtracted from a larger number' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Construct groups with an equal number of items numerically and pictorially"", ""reason"": ""Constructing equal-sized groups was already practiced in Grade 1 and is the direct basis for this grouping skill.""}]"
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Grouping objects into equal groups,Determine how many equal groups can be formed from a given total number of objects,"[""Concept of groups and grouping""]","[""Group a set of objects into equal-sized groups and state the number of groups formed""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Counting Equal Groups to Find Totals"", ""reason"": ""Recognizing and counting equal groups was already practiced in Grade 1 and is needed before a student can actively partition objects into equal groups.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Construct groups with an equal number of items numerically and pictorially' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Repeated subtraction"", ""reason"": ""Derived from skill prerequisite: 'Calculate how many times a number can be subtracted from a larger number' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Calculate how many times a number can be subtracted from a larger number"", ""reason"": ""Determining how many equal groups fit into a total is numerically the same process as counting how many times a number can be subtracted from a larger number.""}]"
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Grouping objects into equal groups,Determine whether objects can be grouped equally and identify any leftovers,"[""Concept of groups and grouping""]","[""Group a set of objects into equal-sized groups and state the number of groups formed""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Counting Equal Groups to Find Totals"", ""reason"": ""Recognizing and counting equal groups was already practiced in Grade 1 and is needed before a student can actively partition objects into equal groups.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Construct groups with an equal number of items numerically and pictorially' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Repeated subtraction"", ""reason"": ""Derived from skill prerequisite: 'Calculate how many times a number can be subtracted from a larger number' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Calculate how many times a number can be subtracted from a larger number"", ""reason"": ""Checking whether a quantity divides evenly and finding a remainder is the same underlying process as repeated subtraction until a remainder is found.""}]"
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Grouping objects into equal groups,Arrange a given set of objects into different equal groupings and compare the results,"[""Concept of groups and grouping""]","[""Determine how many equal groups can be formed from a given total number of objects""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Counting Equal Groups to Find Totals"", ""reason"": ""Recognizing and counting equal groups was already practiced in Grade 1 and is needed before a student can actively partition objects into equal groups.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Construct groups with an equal number of items numerically and pictorially' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Repeated subtraction"", ""reason"": ""Derived from skill prerequisite: 'Calculate how many times a number can be subtracted from a larger number' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Leftover objects after grouping,Determine how many objects are left over when a set cannot be divided into exactly equal groups,"[""Grouping objects into equal groups""]","[""Determine whether objects can be grouped equally and identify any leftovers""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Leftover objects after grouping,Predict whether a given number of objects will leave a remainder when grouped equally and verify,"[""Grouping objects into equal groups""]","[""Determine how many objects are left over when a set cannot be divided into exactly equal groups""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Leftover objects after grouping,Record the number of complete groups formed and the number of objects left over,"[""Grouping objects into equal groups""]","[""Determine how many objects are left over when a set cannot be divided into exactly equal groups""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter8_Grouping_and_Sharing,Repeated addition as a basis for multiplication,Write a repeated addition sentence to represent equal groups of objects,"[""Grouping objects into equal groups"", ""Concept of groups and grouping"", ""Multiplication as equal groups""]","[""Count the total number of objects arranged in equal groups and record the result""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Repeated Addition of Equal Groups"", ""reason"": ""This target formalizes into multiplication the exact idea of adding equal-sized groups repeatedly that was introduced in this Grade 1 concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Representing Repeated Addition with Numbers"", ""reason"": ""Writing repeated addition numerically was already introduced and is needed before linking repeated addition to multiplication.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Concept of 'How Many Times' (Introduction to Multiplication)"", ""reason"": ""Derived from skill prerequisite: 'Express repeated addition using the phrase 'times' (e.g., 4 times 2)' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""skill"": ""Write the repeated addition statement for a given picture of equal groups"", ""reason"": ""This is the identical skill of writing a repeated addition sentence for equal groups, already introduced in Grade 1.""}]"
