board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Introduction to exponents and powers,Describe exponential form of numbers and express numbers in exponential notation,[],[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Meaning of base and exponent,Identify base and exponent for a given number in exponential form,"[""Introduction to exponents and powers""]","[""Describe exponential form of numbers and express numbers in exponential notation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Exponential form of numbers,Express a number in exponential form,"[""Introduction to exponents and powers"", ""Meaning of base and exponent""]","[""Describe exponential form of numbers and express numbers in exponential notation"", ""Identify base and exponent for a given number in exponential form""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Expanded form using powers of 10,Expand a given number using powers of 10,"[""Exponential form of numbers""]","[""Express a number in exponential form""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Powers of integers and negative integers,Calculate the value of powers of whole numbers and integers,"[""Meaning of base and exponent"", ""Special powers and reading powers (squared, cubed, higher powers)""]","[""Identify base and exponent for a given number in exponential form"", ""Read powers using terms such as squared and cubed""]","[{""chapter"": ""Chapter1_Integers"", ""concept"": ""Multiplication of Integers"", ""reason"": ""Computing a power of a negative integer requires repeatedly multiplying negative integers and correctly applying the sign rules learned in the integers chapter.""}]","[{""chapter"": ""Chapter1_Integers"", ""skill"": ""Apply rules of multiplication of integers with same and different signs"", ""reason"": ""Evaluating powers of negative integers requires knowing how to determine the sign and value of repeated products of integers with same or different signs.""}]",[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,"Special powers and reading powers (squared, cubed, higher powers)",Read powers using terms such as squared and cubed,"[""Meaning of base and exponent""]","[""Identify base and exponent for a given number in exponential form""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Comparing numbers written as powers,Compare numbers given in exponential form and arrange them in order,"[""Exponential form of numbers"", ""Powers of integers and negative integers""]","[""Express a number in exponential form"", ""Calculate the value of powers of whole numbers and integers""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Writing products of powers with different bases,Express a product containing repeated factors in exponential form,"[""Exponential form of numbers""]","[""Express a number in exponential form""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Prime factorisation in exponential form,Determine prime factors of a number and express it as a product of powers of prime factors,"[""Writing products of powers with different bases""]","[""Express a product containing repeated factors in exponential form""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Laws of exponents,Apply the laws of exponents to simplify a given expression,"[""Powers of integers and negative integers"", ""Exponential form of numbers""]","[""Calculate the value of powers of whole numbers and integers"", ""Express a number in exponential form""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Multiplying powers with the same base,Calculate the result of multiplying powers with the same base using exponent laws,"[""Laws of exponents""]","[""Apply the laws of exponents to simplify a given expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Dividing powers with the same base,Calculate the result of dividing powers with the same base using exponent laws,"[""Laws of exponents""]","[""Apply the laws of exponents to simplify a given expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Taking power of a power,Evaluate a power of a power using the product of exponents,"[""Laws of exponents""]","[""Apply the laws of exponents to simplify a given expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Multiplying powers with the same exponents,Multiply powers with the same exponent by multiplying the bases,"[""Laws of exponents""]","[""Apply the laws of exponents to simplify a given expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Dividing powers with the same exponents,Divide powers with the same exponent by dividing the bases,"[""Laws of exponents""]","[""Apply the laws of exponents to simplify a given expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Zero exponent,State the value of any non-zero number raised to the power 0,"[""Laws of exponents""]","[""Apply the laws of exponents to simplify a given expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Decimal number system,Write a number as a product of powers of 10,"[""Exponential form of numbers"", ""Powers of integers and negative integers"", ""Expanded form using powers of 10""]","[""Express a number in exponential form"", ""Expand a given number using powers of 10""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Standard form of large numbers,Represent large numbers in exponential/standard form,"[""Decimal number system""]","[""Write a number as a product of powers of 10""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter11_Exponents_And_Powers,Applications of standard form to large real-world numbers,Compare large numbers expressed in standard form,"[""Standard form of large numbers""]","[""Represent large numbers in exponential/standard form""]",[],[],[],[]
