board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter,Define perimeter of closed figures with examples,"[""Perimeter of a Rectangle"", ""Perimeter of a Square""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""Students must already understand perimeter as the total boundary length before formally defining it and deriving formulas for specific shapes in Grade 6.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""concept"": ""Perimeter of a figure"", ""reason"": ""Derived from skill prerequisite: 'Identify the perimeter as the boundary length of a given figure' (in Grade 5/Chapter03_How_Many_Squares) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Determine an unknown side of a rectangle given its area or perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Square"", ""reason"": ""Derived from skill prerequisite: 'Find the side length of a square given its perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""skill"": ""Identify the perimeter as the boundary length of a given figure"", ""reason"": ""Students must already recognize perimeter as boundary length before they can define it formally with examples.""}]"
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter of a Rectangle,Deduce and apply the formula to determine the perimeter of a rectangle,"[""Perimeter""]","[""Define perimeter of closed figures with examples""]","[{""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Properties of rectangles"", ""reason"": ""Deriving the perimeter formula 2(length + breadth) requires knowing that a rectangle has two pairs of equal opposite sides.""}]","[{""chapter"": ""Chapter08_Playing_With_Constructions"", ""skill"": ""State the properties of rectangles including equal opposite sides and right angles"", ""reason"": ""Deducing that perimeter equals 2(length + breadth) requires knowing that a rectangle's opposite sides are equal.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Rectangle"", ""reason"": ""Grade 5 already establishes how to find a rectangle's perimeter from its length and breadth, which Grade 6 formalizes into a general rule.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""skill"": ""Calculate the perimeter of a rectangle given its length and breadth"", ""reason"": ""Students already compute a rectangle's perimeter numerically, which is the basis for generalizing it into a formula.""}]"
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter of a Rectangle,"Solve real-life problems involving perimeter such as fencing, taping, and lace around borders","[""Perimeter""]","[""Deduce and apply the formula to determine the perimeter of a rectangle""]","[{""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Properties of rectangles"", ""reason"": ""Deriving the perimeter formula 2(length + breadth) requires knowing that a rectangle has two pairs of equal opposite sides.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Rectangle"", ""reason"": ""Grade 5 already establishes how to find a rectangle's perimeter from its length and breadth, which Grade 6 formalizes into a general rule.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""skill"": ""Solve word problems requiring both area and perimeter of a rectangle"", ""reason"": ""Applying perimeter concepts to practical fencing/border problems builds on the earlier practice of solving real-life perimeter word problems.""}]"
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter of a Square,Deduce and apply the formula to determine the perimeter of a square,"[""Perimeter"", ""Perimeter of a Rectangle""]","[""Deduce and apply the formula to determine the perimeter of a rectangle""]","[{""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Properties of squares"", ""reason"": ""Deriving the perimeter formula 4 x side requires knowing that all four sides of a square are equal in length.""}]","[{""chapter"": ""Chapter08_Playing_With_Constructions"", ""skill"": ""State the properties of squares including equal sides and right angles"", ""reason"": ""Deducing that perimeter equals 4 x side requires knowing that all sides of a square are equal.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Square"", ""reason"": ""Students need the prior understanding that a square's perimeter comes from adding its four equal sides before generalizing it as side multiplied by four.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""skill"": ""Calculate the perimeter of a square given its side"", ""reason"": ""Students already calculate a square's perimeter from its side, which underlies deriving the general formula.""}]"
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter of a Triangle,Calculate the perimeter of a triangle by summing the lengths of its three sides,"[""Perimeter""]","[""Define perimeter of closed figures with examples""]","[{""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Triangles"", ""reason"": ""Summing the three sides of a triangle to find its perimeter requires already knowing a triangle is a closed figure bounded by three line segments.""}]","[{""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Describe the elements of a triangle"", ""reason"": ""Summing the three sides of a triangle to find its perimeter requires already being able to identify the three sides as elements of the triangle.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""concept"": ""Perimeter of a figure"", ""reason"": ""Derived from skill prerequisite: 'Calculate the perimeter of a given figure by measuring its sides' (in Grade 5/Chapter03_How_Many_Squares) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""skill"": ""Calculate the perimeter of a given figure by measuring its sides"", ""reason"": ""Summing side lengths to find a triangle's perimeter directly extends the earlier general skill of measuring and adding sides of a figure.""}]"
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter of an Equilateral Triangle,Calculate the perimeter of an equilateral triangle by multiplying the side length by three,"[""Perimeter of a Triangle""]","[""Calculate the perimeter of a triangle by summing the lengths of its three sides""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter of Regular Polygons,Generalize and apply the formula to determine the perimeter of a regular polygon,"[""Perimeter of a Square""]","[""Deduce and apply the formula to determine the perimeter of a square""]","[{""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Polygons"", ""reason"": ""Generalizing a perimeter formula for polygons requires first knowing what a polygon is and that it is made up of straight sides that can be summed.""}, {""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Regular polygons"", ""reason"": ""The formula (number of sides x side length) for perimeter of a regular polygon depends on knowing that a regular polygon has all sides of equal length.""}]","[{""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""skill"": ""Classify regular polygons by the number of sides"", ""reason"": ""Generalizing the perimeter formula as (number of sides x side length) requires being able to determine how many equal sides a given regular polygon has.""}, {""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Label and describe the elements of a polygon"", ""reason"": ""Generalizing a perimeter formula for polygons requires being able to identify and count the sides of a polygon.""}]",[],[]
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter,Justify with examples that different shapes can have the same perimeter,"[""Perimeter of a Rectangle"", ""Perimeter of a Square""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""Students must already understand perimeter as the total boundary length before formally defining it and deriving formulas for specific shapes in Grade 6.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""concept"": ""Perimeter of a figure"", ""reason"": ""Derived from skill prerequisite: 'Identify the perimeter as the boundary length of a given figure' (in Grade 5/Chapter03_How_Many_Squares) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Determine an unknown side of a rectangle given its area or perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Square"", ""reason"": ""Derived from skill prerequisite: 'Find the side length of a square given its perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter,Identify missing dimensions of a rectangle or square given its perimeter,"[""Perimeter of a Rectangle"", ""Perimeter of a Square""]","[""Deduce and apply the formula to determine the perimeter of a rectangle"", ""Deduce and apply the formula to determine the perimeter of a square""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""Students must already understand perimeter as the total boundary length before formally defining it and deriving formulas for specific shapes in Grade 6.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""concept"": ""Perimeter of a figure"", ""reason"": ""Derived from skill prerequisite: 'Identify the perimeter as the boundary length of a given figure' (in Grade 5/Chapter03_How_Many_Squares) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Determine an unknown side of a rectangle given its area or perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Square"", ""reason"": ""Derived from skill prerequisite: 'Find the side length of a square given its perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""skill"": ""Determine an unknown side of a rectangle given its area or perimeter"", ""reason"": ""This exact reverse-calculation skill for rectangles was already taught in Grade 5 and is directly reused.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""skill"": ""Find the side length of a square given its perimeter"", ""reason"": ""This exact reverse-calculation skill for squares was already taught in Grade 5 and is directly reused.""}]"
CBSE,Maths,Grade 6,Chapter06_Perimeter_And_Area,Perimeter,Calculate the total distance covered by running multiple rounds along a rectangular or square track,"[""Perimeter of a Rectangle"", ""Perimeter of a Square""]","[""Deduce and apply the formula to determine the perimeter of a rectangle"", ""Deduce and apply the formula to determine the perimeter of a square""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""Students must already understand perimeter as the total boundary length before formally defining it and deriving formulas for specific shapes in Grade 6.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter03_How_Many_Squares"", ""concept"": ""Perimeter of a figure"", ""reason"": ""Derived from skill prerequisite: 'Identify the perimeter as the boundary length of a given figure' (in Grade 5/Chapter03_How_Many_Squares) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Determine an unknown side of a rectangle given its area or perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area and Perimeter of a Square"", ""reason"": ""Derived from skill prerequisite: 'Find the side length of a square given its perimeter' (in Grade 5/Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]",[]
