board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,"Different views of objects (top view, front view, side view, back view)","Identify the top, front, side, and back views of objects",[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Identifying and naming 3D shapes"", ""reason"": ""A student must already recognise common 3D solids before being able to interpret how the same solid looks different from top, front, side or back.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Faces of solid shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify and describe the shape of each face on a given 3D solid (e.g., the faces of a cuboid are rectangles)' (in Grade 2/Chapter2_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""skill"": ""Identify and name basic 3D shapes (cuboid, cylinder, cone, sphere) by observing and describing their physical features"", ""reason"": ""Recognising the physical features of common solids is necessary before a student can identify how those same solids appear from different viewing angles.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,"Different views of objects (top view, front view, side view, back view)","Draw objects from different views such as top, front, and side",[],"[{""item"": ""Identify the top, front, side, and back views of objects"", ""reason"": ""Drawing an object from a particular view requires first being able to identify and recognize that view.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Identifying and naming 3D shapes"", ""reason"": ""A student must already recognise common 3D solids before being able to interpret how the same solid looks different from top, front, side or back.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Faces of solid shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify and describe the shape of each face on a given 3D solid (e.g., the faces of a cuboid are rectangles)' (in Grade 2/Chapter2_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""skill"": ""Identify and describe the shape of each face on a given 3D solid (e.g., the faces of a cuboid are rectangles)"", ""reason"": ""Drawing a particular view means drawing the outline of one face of the solid, which requires already knowing the shapes of a solid's faces.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Identifying objects from their views,Distinguish between different views of the same object,"[{""item"": ""Different views of objects (top view, front view, side view, back view)"", ""reason"": ""A student must first know what the top, front, side, and back views look like before they can distinguish an object from a given view.""}]","[{""item"": ""Identify the top, front, side, and back views of objects"", ""reason"": ""Distinguishing between views requires first being able to correctly identify each individual view.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Faces of solid shapes"", ""reason"": ""Recognising a view of an object means recognising the outline of one of its faces, so prior knowledge of the faces of solids is needed.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Identifying and naming 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between different 3D shapes by describing their observable physical features' (in Grade 2/Chapter2_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""skill"": ""Distinguish between different 3D shapes by describing their observable physical features"", ""reason"": ""Telling views of the same object apart depends on already being able to notice and describe the distinguishing physical features of solids.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Matching drawings with corresponding views,Match drawings of objects with the correct view,"[{""item"": ""Different views of objects (top view, front view, side view, back view)"", ""reason"": ""Matching a drawing to its correct view requires already knowing how each type of view (top, front, side, back) is depicted.""}]","[{""item"": ""Identify the top, front, side, and back views of objects"", ""reason"": ""Matching a drawing to the correct view requires already being able to identify what each view looks like.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""concept"": ""Identifying and naming 3D shapes"", ""reason"": ""Matching a drawing to a correct view requires already being able to identify the underlying 3D shape being viewed.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter2_Shapes_Around_Us"", ""skill"": ""Match a named 3D shape to the correct everyday object from a given set"", ""reason"": ""Matching an object drawing to its correct view relies on the earlier-practised skill of matching shapes/objects to their correct representation.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Position and location on a grid,Locate objects on a grid using given clues,"[{""item"": ""Describing position using directions (left, right, up, down)"", ""reason"": ""Derived from skill prerequisite: 'Describe directions (left, right, up, down) to reach a destination' is a prerequisite of a skill under this concept.""}]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number window activity (numbers above, below, left, right on a chart)"", ""reason"": ""This activity already trains students to locate an item's position relative to others using above/below/left/right on a grid, the same reasoning needed for grid location in the target.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number chart (1–100) and patterns within it"", ""reason"": ""Derived from skill prerequisite: 'Locate a given number within the 1–100 number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number line and positional movement (forward and backward steps)"", ""reason"": ""Derived from skill prerequisite: 'Predict the landing position after a series of forward and backward jumps on a number line' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Locate a given number within the 1–100 number chart"", ""reason"": ""Locating an item on a grid using clues about its neighbours builds on the earlier practice of locating a number within a chart using positional clues.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Position and location on a grid,Mark a position on a grid based on movement instructions,"[{""item"": ""Describing position using directions (left, right, up, down)"", ""reason"": ""Derived from skill prerequisite: 'Describe directions (left, right, up, down) to reach a destination' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Locate objects on a grid using given clues"", ""reason"": ""Marking a position from movement instructions requires already being able to locate objects on a grid.""}, {""item"": ""Describe directions (left, right, up, down) to reach a destination"", ""reason"": ""Following movement instructions on a grid requires understanding directional terms like left, right, up, and down.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number window activity (numbers above, below, left, right on a chart)"", ""reason"": ""This activity already trains students to locate an item's position relative to others using above/below/left/right on a grid, the same reasoning needed for grid location in the target.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number chart (1–100) and patterns within it"", ""reason"": ""Derived from skill prerequisite: 'Locate a given number within the 1–100 number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number line and positional movement (forward and backward steps)"", ""reason"": ""Derived from skill prerequisite: 'Predict the landing position after a series of forward and backward jumps on a number line' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Predict the landing position after a series of forward and backward jumps on a number line"", ""reason"": ""Marking a final grid position from movement instructions extends the earlier one-dimensional skill of predicting a landing position after a sequence of jumps.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Rows and columns in a grid,Describe the position of an object using rows and columns,"[{""item"": ""Position and location on a grid"", ""reason"": ""Describing a position using rows and columns requires already understanding how positions and locations are represented on a grid.""}]","[{""item"": ""Locate objects on a grid using given clues"", ""reason"": ""Describing a position with rows and columns builds on the ability to locate objects on a grid in general.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number chart (1–100) and patterns within it"", ""reason"": ""The 1-100 chart is a grid of rows and columns, giving students prior exposure to interpreting rows and columns as an organising structure.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number window activity (numbers above, below, left, right on a chart)"", ""reason"": ""Derived from skill prerequisite: 'Identify the numbers above, below, to the left, and to the right of a given number on a number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the numbers above, below, to the left, and to the right of a given number on a number chart"", ""reason"": ""Describing a grid position using rows and columns depends on the earlier-learned skill of describing a chart position relative to its neighbours.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,"Describing position using directions (left, right, up, down)","Describe directions (left, right, up, down) to reach a destination","[{""item"": ""Position and location on a grid"", ""reason"": ""Giving directions to reach a destination presumes an understanding of how positions are located on a grid in the first place.""}]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Directions: Right, Left, Straight"", ""reason"": ""Students need prior familiarity with using left/right as directional words for movement before applying them, along with up/down, to grid navigation.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: above and below"", ""reason"": ""Understanding 'up' and 'down' as directions on a grid builds directly on the earlier learned vocabulary of above and below.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""skill"": ""Identify right, left, and straight directions from a given position"", ""reason"": ""Giving directions to reach a destination on a grid builds on already knowing how to identify and use left/right directional words for navigation.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""skill"": ""Distinguish between above and below and apply both terms to describe the arrangement of objects in a given visual"", ""reason"": ""Using 'up' and 'down' to describe directions on a grid depends on the earlier-mastered vocabulary and reasoning for above and below.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Tracing paths and counting steps on a grid,Trace paths on a grid and count the number of steps taken,"[{""item"": ""Describing position using directions (left, right, up, down)"", ""reason"": ""Tracing a path on a grid requires knowing how to move in terms of left, right, up, and down directions.""}, {""item"": ""Rows and columns in a grid"", ""reason"": ""Counting steps along a grid path requires understanding how positions are organized into rows and columns.""}]","[{""item"": ""Describe directions (left, right, up, down) to reach a destination"", ""reason"": ""Tracing a path on a grid requires knowing how to move using directional terms.""}, {""item"": ""Describe the position of an object using rows and columns"", ""reason"": ""Counting steps taken on a grid requires understanding how positions are structured by rows and columns.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number line and positional movement (forward and backward steps)"", ""reason"": ""Counting steps between two positions on a grid extends the earlier skill of counting steps of movement between positions on a number line.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the number of steps needed to move between positions on a number line"", ""reason"": ""Counting steps along a grid path extends the earlier one-dimensional skill of counting steps between two positions on a number line.""}]"
CBSE,Maths,Grade 4,Chapter02_Hide_and_Seek,Sight maps and locating places on a map,Interpret a sight map to identify locations of places,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Map Reading and Spatial Orientation"", ""reason"": ""Interpreting a sight map to find places builds directly on the earlier-taught general skill of reading a map and orienting oneself spatially on it.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter9_Which_Season_is_it"", ""concept"": ""Navigating from one place to another using directions"", ""reason"": ""Derived from skill prerequisite: 'Draw a path on a map using directions to navigate from one location to another' (in Grade 2/Chapter9_Which_Season_is_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Read a map to identify locations and landmarks"", ""reason"": ""Interpreting a sight map is a direct extension of the earlier-practised general skill of reading a map to identify locations.""}]"
