board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Matching and sorting 3D objects and 2D shapes,Identify common 3D objects and 2D shapes by their observable features,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Derived from skill prerequisite: 'Collect and sort real-world objects by their shape properties' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Match objects that are similar in shape' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""skill"": ""Collect and sort real-world objects by their shape properties"", ""reason"": ""Observing and sorting real objects by shape properties is the basic skill that underlies identifying objects and shapes by their features.""}]"
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Matching and sorting 3D objects and 2D shapes,Sort everyday 3D objects based on shared physical attributes,[],"[""Identify common 3D objects and 2D shapes by their observable features""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Derived from skill prerequisite: 'Collect and sort real-world objects by their shape properties' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Match objects that are similar in shape' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""skill"": ""Collect and sort real-world objects by their shape properties"", ""reason"": ""Sorting real-world objects by their shape properties was already practiced here and is directly extended to sorting by shared physical attributes.""}]"
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Matching and sorting 3D objects and 2D shapes,Match 3D objects to their corresponding 2D shapes,[],"[""Identify common 3D objects and 2D shapes by their observable features"", ""Classify 2D shapes based on observable features""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Derived from skill prerequisite: 'Collect and sort real-world objects by their shape properties' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Match objects that are similar in shape' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""skill"": ""Match objects that are similar in shape"", ""reason"": ""Matching objects by shape similarity is the foundational matching skill needed before matching 3D objects to corresponding 2D shapes.""}]"
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Matching and sorting 3D objects and 2D shapes,Classify 2D shapes based on observable features,[],"[""Identify common 3D objects and 2D shapes by their observable features""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Derived from skill prerequisite: 'Collect and sort real-world objects by their shape properties' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Match objects that are similar in shape' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Identifying basic 3D shapes by name,"Identify cuboid, cylinder, cone and sphere by name","[""Matching and sorting 3D objects and 2D shapes""]",[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Grade 1 already introduces these same four shape categories informally, which Grade 2 builds on by attaching formal names.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Classify objects by shape similarity to a ball, cap, glass, or matchbox' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Rolling and sliding properties of objects"", ""reason"": ""Derived from skill prerequisite: 'Explain why certain shapes roll and others slide' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""skill"": ""Classify objects by shape similarity to a ball, cap, glass, or matchbox"", ""reason"": ""Recognising these shape categories through familiar objects precedes attaching the formal names cuboid, cylinder, cone and sphere.""}]"
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Identifying basic 3D shapes by name,Describe the observable characteristics of each named 3D shape,"[""Matching and sorting 3D objects and 2D shapes""]","[""Identify cuboid, cylinder, cone and sphere by name""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Grade 1 already introduces these same four shape categories informally, which Grade 2 builds on by attaching formal names.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Classify objects by shape similarity to a ball, cap, glass, or matchbox' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Rolling and sliding properties of objects"", ""reason"": ""Derived from skill prerequisite: 'Explain why certain shapes roll and others slide' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""skill"": ""Explain why certain shapes roll and others slide"", ""reason"": ""Explaining rolling/sliding behaviour is an early form of describing observable shape characteristics that Grade 2 builds on.""}]"
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Identifying basic 3D shapes by name,Distinguish between different basic 3D shapes based on their features,"[""Matching and sorting 3D objects and 2D shapes""]","[""Identify cuboid, cylinder, cone and sphere by name"", ""Describe the observable characteristics of each named 3D shape""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""3D shapes: spherical (round), cylindrical, conical, cuboid"", ""reason"": ""Grade 1 already introduces these same four shape categories informally, which Grade 2 builds on by attaching formal names.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Identifying and matching similar shapes"", ""reason"": ""Derived from skill prerequisite: 'Classify objects by shape similarity to a ball, cap, glass, or matchbox' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""concept"": ""Rolling and sliding properties of objects"", ""reason"": ""Derived from skill prerequisite: 'Explain why certain shapes roll and others slide' (in Grade 1/Chapter 2) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 2"", ""skill"": ""Classify objects as rolling, sliding, or both rolling and sliding"", ""reason"": ""Classifying objects by rolling/sliding behaviour is an earlier feature-based distinction skill that underlies distinguishing 3D shapes by features.""}]"
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Distinguishing straight and curved lines,Identify straight lines and curved lines in shapes and objects,"[""Matching and sorting 3D objects and 2D shapes""]",[],[],[],[],[]
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Distinguishing straight and curved lines,Distinguish between straight and curved lines by tracing,"[""Matching and sorting 3D objects and 2D shapes""]","[""Identify straight lines and curved lines in shapes and objects""]",[],[],[],[]
CBSE,Maths,Grade 2,Chapter1_A_Day_at_the_Beach,Distinguishing straight and curved lines,Classify shape outlines as made of straight or curved lines,"[""Matching and sorting 3D objects and 2D shapes""]","[""Identify straight lines and curved lines in shapes and objects""]",[],[],[],[]
