board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Identify the tens and ones columns in a 2-digit vertical addition problem,[],[],"[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping addition builds the conceptual understanding of carrying a ten that is later applied purely abstractly in the vertical algorithm without concrete support.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Identify the number of tens and ones in a given two-digit number' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Addition using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Add two-digit numbers using tens and ones blocks, regrouping ten ones into a tens block when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify the number of tens and ones in a given two-digit number"", ""reason"": ""Recognising which column represents tens and which represents ones in a vertical sum requires already knowing the tens/ones place-value structure of two-digit numbers.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition using vertical algorithm with carryover (up to 20)"", ""reason"": ""The student must already know the carryover procedure for vertical addition before extending it to full 2-digit numbers without concrete support.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify the tens digit and ones digit in a two-digit number"", ""reason"": ""Recognising tens and ones digits of a number is required before identifying their columns in a vertical addition setup.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Apply regrouping of ones into tens without using concrete objects or pictures,[],"[""Identify the tens and ones columns in a 2-digit vertical addition problem""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping addition builds the conceptual understanding of carrying a ten that is later applied purely abstractly in the vertical algorithm without concrete support.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Identify the number of tens and ones in a given two-digit number' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Addition using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Add two-digit numbers using tens and ones blocks, regrouping ten ones into a tens block when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Add two-digit numbers using tens and ones blocks, regrouping ten ones into a tens block when needed"", ""reason"": ""Performing regrouping mentally requires having first understood the physical process of exchanging ten ones for one tens block.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition using vertical algorithm with carryover (up to 20)"", ""reason"": ""The student must already know the carryover procedure for vertical addition before extending it to full 2-digit numbers without concrete support.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Apply carryover procedure while adding two-digit numbers vertically"", ""reason"": ""The carryover mechanic for regrouping ones into tens was already practiced and is directly extended here without concrete aids.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping,[],"[""Apply regrouping of ones into tens without using concrete objects or pictures""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping addition builds the conceptual understanding of carrying a ten that is later applied purely abstractly in the vertical algorithm without concrete support.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Identify the number of tens and ones in a given two-digit number' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Addition using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Add two-digit numbers using tens and ones blocks, regrouping ten ones into a tens block when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition using vertical algorithm with carryover (up to 20)"", ""reason"": ""The student must already know the carryover procedure for vertical addition before extending it to full 2-digit numbers without concrete support.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Calculate the sum of two 2-digit numbers up to 20 using vertical arrangement with carryover"", ""reason"": ""The vertical addition-with-carryover procedure practiced up to 20 is the direct basis for performing it on general 2-digit numbers.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Verify the calculated sum by re-checking the regrouping steps,[],"[""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping addition builds the conceptual understanding of carrying a ten that is later applied purely abstractly in the vertical algorithm without concrete support.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Identify the number of tens and ones in a given two-digit number' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Addition using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Add two-digit numbers using tens and ones blocks, regrouping ten ones into a tens block when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition using vertical algorithm with carryover (up to 20)"", ""reason"": ""The student must already know the carryover procedure for vertical addition before extending it to full 2-digit numbers without concrete support.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Subtraction of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Identify situations where borrowing from the tens digit is required,"[""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)""]",[],"[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping subtraction (breaking a tens block into ones) establishes the borrowing concept needed before performing it abstractly without concrete support.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Subtract two-digit numbers using tens and ones blocks, breaking a tens block into ones when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify when borrowing is required while subtracting two 2-digit numbers"", ""reason"": ""This identification skill was first developed with concrete/pictorial support, forming the basis for recognising borrowing situations without such support.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Subtraction using vertical algorithm without borrowing (up to 20)"", ""reason"": ""Mastering the basic vertical column-subtraction layout is needed before adding the borrowing step for regrouping.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify the tens digit and ones digit in a two-digit number"", ""reason"": ""Recognising the tens digit's value is necessary to judge whether borrowing from it is needed.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Subtraction of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Apply regrouping (borrowing) of tens into ones without concrete or pictorial support,"[""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)""]","[""Identify situations where borrowing from the tens digit is required""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping subtraction (breaking a tens block into ones) establishes the borrowing concept needed before performing it abstractly without concrete support.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Subtract two-digit numbers using tens and ones blocks, breaking a tens block into ones when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Subtract two-digit numbers using tens and ones blocks, breaking a tens block into ones when needed"", ""reason"": ""The abstract borrowing procedure relies on having already understood the physical breaking of a tens block into ones.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Subtraction using vertical algorithm without borrowing (up to 20)"", ""reason"": ""Mastering the basic vertical column-subtraction layout is needed before adding the borrowing step for regrouping.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""Understanding that a tens digit can be broken into ten ones is the conceptual basis for borrowing during subtraction.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Subtraction of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping,"[""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)""]","[""Apply regrouping (borrowing) of tens into ones without concrete or pictorial support""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping subtraction (breaking a tens block into ones) establishes the borrowing concept needed before performing it abstractly without concrete support.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Subtract two-digit numbers using tens and ones blocks, breaking a tens block into ones when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Subtraction using vertical algorithm without borrowing (up to 20)"", ""reason"": ""Mastering the basic vertical column-subtraction layout is needed before adding the borrowing step for regrouping.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Apply the vertical subtraction algorithm to solve numerical problems up to 20"", ""reason"": ""The vertical subtraction procedure practiced up to 20 is directly extended and modified with borrowing for 2-digit subtraction.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Subtraction of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)",Verify the calculated difference by checking the borrowing steps,"[""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)""]","[""Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""The concrete/pictorial version of regrouping subtraction (breaking a tens block into ones) establishes the borrowing concept needed before performing it abstractly without concrete support.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Subtract two-digit numbers using tens and ones blocks, breaking a tens block into ones when needed' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Subtraction using vertical algorithm without borrowing (up to 20)"", ""reason"": ""Mastering the basic vertical column-subtraction layout is needed before adding the borrowing step for regrouping.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Matching Real-Life Problems to Number Statements (Addition and Subtraction, 2-digit Numbers)",Identify keywords in a real-life problem that indicate addition or subtraction,"[""Multiple Combinations of Smaller Numbers Representing a 2-digit Number""]",[],"[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Students must already be able to translate single-operation addition word problems into number statements before matching more general real-life problems to statements.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving subtraction"", ""reason"": ""Students must already be able to translate single-operation subtraction word problems into number statements before matching more general real-life problems to statements.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify the numbers and operation needed to solve an addition word problem"", ""reason"": ""Recognising cues for addition in mixed problems builds on prior practice identifying the operation needed in simple addition word problems.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify the numbers and operation needed to solve a subtraction word problem"", ""reason"": ""Recognising cues for subtraction in mixed problems builds on prior practice identifying the operation needed in simple subtraction word problems.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition-based real life problems (numbers up to 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the addition operation required for an orally presented real-life problem' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Subtraction-based real life problems (sum not more than 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the subtraction operation required for an orally presented real-life problem' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition symbol (+) and equals symbol (=)"", ""reason"": ""Derived from skill prerequisite: 'Write an addition sentence using the + and = symbols for a given situation' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Determine the addition operation required for an orally presented real-life problem"", ""reason"": ""Recognising cues that signal an addition situation in a real-life problem was already practiced orally and underlies keyword identification.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Determine the subtraction operation required for an orally presented real-life problem"", ""reason"": ""Recognising cues that signal a subtraction situation in a real-life problem was already practiced orally and underlies keyword identification.""}]"
CBSE,Maths,Grade 2,Chapter7_Ranis_Gift,"Matching Real-Life Problems to Number Statements (Addition and Subtraction, 2-digit Numbers)",Distinguish between problem situations requiring addition versus subtraction,"[""Multiple Combinations of Smaller Numbers Representing a 2-digit Number""]","[""Identify keywords in a real-life problem that indicate addition or subtraction""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Students must already be able to translate single-operation addition word problems into number statements before matching more general real-life problems to statements.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving subtraction"", ""reason"": ""Students must already be able to translate single-operation subtraction word problems into number statements before matching more general real-life problems to statements.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition-based real life problems (numbers up to 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the addition operation required for an orally presented real-life problem' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Subtraction-based real life problems (sum not more than 20)"", ""reason"": ""Derived from skill prerequisite: 'Determine the subtraction operation required for an orally presented real-life problem' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition symbol (+) and equals symbol (=)"", ""reason"": ""Derived from skill prerequisite: 'Write an addition sentence using the + and = symbols for a given situation' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Determine the addition operation required for an orally presented real-life problem"", ""reason"": ""Deciding when a situation calls for addition was already practiced and is a component of distinguishing it from subtraction situations.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Determine the subtraction operation required for an orally presented real-life problem"", ""reason"": ""Deciding when a situation calls for subtraction was already practiced and is a component of distinguishing it from addition situations.""}]"
