board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,"Changes over time (in ourselves, school and surroundings)","Identify and describe changes that occur over different timescales (years, months, days, minutes)",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Day and night cycle,Explain the cause of day and night using the concept of Earth's rotation,"[""Rotation of the Earth""]","[""Demonstrate Earth's rotation using a globe and torch model""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Rotation of the Earth,Demonstrate Earth's rotation using a globe and torch model,"[""Globe as a model of Earth""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Globe as a model of Earth,"Describe the physical features of a globe including oceans, seas and landmasses",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Seasons and seasonal changes,Create a poster or story representing seasonal changes,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Seasons and seasonal changes,Compare and illustrate differences among major seasons through drawing,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Seasons' journal and observation tracking,"Record observations of nature (plants, animals, weather) in a journal over time",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Seasons' journal and observation tracking,Organise and interpret observational data using a classroom chart,[],"[""Record observations of nature (plants, animals, weather) in a journal over time""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,"Six seasons in India (Vasanta, Grishma, Varsha, Sharad, Hemant, Shishir)",Name and describe the six seasons of India in sequence,"[""Natural rhythms and cycles in nature""]","[""Describe the concept of seasons as a repeating natural pattern""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Regional variation in seasons across India,Compare seasonal experiences across different regions of India,"[""Six seasons in India (Vasanta, Grishma, Varsha, Sharad, Hemant, Shishir)"", ""Seasons and seasonal changes""]","[""Name and describe the six seasons of India in sequence""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Crops grown in different seasons,Relate crops grown to specific seasons,"[""Seasons and seasonal changes"", ""Natural rhythms and cycles in nature""]","[""Describe the concept of seasons as a repeating natural pattern""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Festivals associated with seasons,Match festivals to the seasons in which they are celebrated,"[""Seasons and seasonal changes"", ""Natural rhythms and cycles in nature""]","[""Describe the concept of seasons as a repeating natural pattern""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,"Effect of seasons on plants, animals and human activities","Explain how seasons influence food, clothing, and festivals","[""Seasons and seasonal changes"", ""Natural rhythms and cycles in nature""]","[""Classify the effects of seasons on plants, animals, water and human activities""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,"Effect of seasons on plants, animals and human activities","Classify the effects of seasons on plants, animals, water and human activities","[""Seasons and seasonal changes"", ""Natural rhythms and cycles in nature""]","[""Describe the concept of seasons as a repeating natural pattern""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter09_Rhythms_of_Nature,Natural rhythms and cycles in nature,Describe the concept of seasons as a repeating natural pattern,[],[],[],[],[],[]
