board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Mirror symmetry and mirror halves,Identify whether a dotted line divides a shape into two mirror halves,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""Understanding what a line of symmetry is and how it divides a shape into two matching halves is the direct basis for grasping mirror symmetry and mirror halves.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""The idea of a mirror image reflected across a line of reflection is the foundation for reasoning about mirror halves of a figure.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Recognising what a mirror image looks like precedes analysing how a figure splits into two mirror halves.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Prior exposure to the concept of a line dividing a shape symmetrically underlies the mirror-halves idea in this chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Derived from skill prerequisite: 'Classify everyday objects as symmetrical or asymmetrical' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror symmetry in numbers and digits"", ""reason"": ""Derived from skill prerequisite: 'Determine the position of a mirror to produce a given reflected number' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Identify the line of symmetry in a given design or shape"", ""reason"": ""Recognising a line of symmetry in a shape is the same core skill needed to judge whether a dotted line produces two mirror halves.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify the line of symmetry in a given shape or pattern"", ""reason"": ""This earlier skill of spotting a symmetry-dividing line is a direct precursor to checking whether a dotted line creates mirror halves.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Mirror symmetry and mirror halves,Distinguish between shapes that are symmetric and asymmetric based on shape and colour scheme,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""Understanding what a line of symmetry is and how it divides a shape into two matching halves is the direct basis for grasping mirror symmetry and mirror halves.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""The idea of a mirror image reflected across a line of reflection is the foundation for reasoning about mirror halves of a figure.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Recognising what a mirror image looks like precedes analysing how a figure splits into two mirror halves.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Prior exposure to the concept of a line dividing a shape symmetrically underlies the mirror-halves idea in this chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Derived from skill prerequisite: 'Classify everyday objects as symmetrical or asymmetrical' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror symmetry in numbers and digits"", ""reason"": ""Derived from skill prerequisite: 'Determine the position of a mirror to produce a given reflected number' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Classify everyday objects as symmetrical or asymmetrical"", ""reason"": ""Being able to classify objects as symmetric or not is a prerequisite for judging symmetry once colour is added as a factor.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Explain why a shape or object is or is not symmetrical"", ""reason"": ""Reasoning about why a shape is symmetric or not is needed before extending that reasoning to colour schemes.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Mirror symmetry and mirror halves,Predict where to place a mirror on a figure to produce a given reflected image,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""Understanding what a line of symmetry is and how it divides a shape into two matching halves is the direct basis for grasping mirror symmetry and mirror halves.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""The idea of a mirror image reflected across a line of reflection is the foundation for reasoning about mirror halves of a figure.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Recognising what a mirror image looks like precedes analysing how a figure splits into two mirror halves.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""Prior exposure to the concept of a line dividing a shape symmetrically underlies the mirror-halves idea in this chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Derived from skill prerequisite: 'Classify everyday objects as symmetrical or asymmetrical' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Derived from skill prerequisite: 'Explain why a shape or object is or is not symmetrical' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror symmetry in numbers and digits"", ""reason"": ""Derived from skill prerequisite: 'Determine the position of a mirror to produce a given reflected number' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Determine the position of a mirror to produce a given reflection"", ""reason"": ""This is the identical skill of positioning a mirror to achieve a target reflection, first taught in Grade 4.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Determine the position of a mirror to produce a given reflected number"", ""reason"": ""Practice placing a mirror to reflect numbers directly transfers to placing a mirror for any figure.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Line of symmetry,Draw the line of symmetry on a shape to produce a specified mirror image,"[""Mirror symmetry and mirror halves""]","[""Locate the line of symmetry in various objects and shapes""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""This chapter's more advanced treatment of line of symmetry (multiple lines, dot grids) builds directly on the basic notion first introduced in Grade 4.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The Grade 3 introduction of a line dividing a shape into identical halves is the earliest basis for the Grade 5 treatment of line of symmetry.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""Derived from skill prerequisite: 'Identify symmetric figures shown through paper folding, paper cutting, or ink blots' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetrical ink designs"", ""reason"": ""Derived from skill prerequisite: 'Verify whether an ink blot design is symmetrical by folding along the crease' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in shapes on a dot grid"", ""reason"": ""Derived from skill prerequisite: 'Construct a symmetrical shape on a dot grid by completing the other half' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetrical Rangoli Patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete the other half of a symmetrical rangoli pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Draw the line of symmetry on symmetrical shapes"", ""reason"": ""Drawing a line of symmetry on a shape is the exact prerequisite technique needed before drawing one to produce a specified mirror image.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Draw a line of symmetry that divides a shape or pattern into two identical halves"", ""reason"": ""This foundational drawing skill of creating a symmetry line is required before using it to produce a specific mirror image.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Line of symmetry,Locate the line of symmetry in various objects and shapes,"[""Mirror symmetry and mirror halves""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""This chapter's more advanced treatment of line of symmetry (multiple lines, dot grids) builds directly on the basic notion first introduced in Grade 4.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The Grade 3 introduction of a line dividing a shape into identical halves is the earliest basis for the Grade 5 treatment of line of symmetry.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""Derived from skill prerequisite: 'Identify symmetric figures shown through paper folding, paper cutting, or ink blots' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetrical ink designs"", ""reason"": ""Derived from skill prerequisite: 'Verify whether an ink blot design is symmetrical by folding along the crease' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in shapes on a dot grid"", ""reason"": ""Derived from skill prerequisite: 'Construct a symmetrical shape on a dot grid by completing the other half' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetrical Rangoli Patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete the other half of a symmetrical rangoli pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Identify the line of symmetry in a given design or shape"", ""reason"": ""Locating a line of symmetry across varied objects builds on the earlier skill of identifying one in a single shape or design.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify the line of symmetry in a given shape or pattern"", ""reason"": ""This earlier introductory skill of finding a symmetry line underlies the broader locating task in this chapter.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Line of symmetry,Check symmetry of shapes using paper folding or cutting,"[""Mirror symmetry and mirror halves""]","[""Identify whether a dotted line divides a shape into two mirror halves""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""This chapter's more advanced treatment of line of symmetry (multiple lines, dot grids) builds directly on the basic notion first introduced in Grade 4.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The Grade 3 introduction of a line dividing a shape into identical halves is the earliest basis for the Grade 5 treatment of line of symmetry.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""Derived from skill prerequisite: 'Identify symmetric figures shown through paper folding, paper cutting, or ink blots' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetrical ink designs"", ""reason"": ""Derived from skill prerequisite: 'Verify whether an ink blot design is symmetrical by folding along the crease' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in shapes on a dot grid"", ""reason"": ""Derived from skill prerequisite: 'Construct a symmetrical shape on a dot grid by completing the other half' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetrical Rangoli Patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete the other half of a symmetrical rangoli pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Identify symmetric figures shown through paper folding, paper cutting, or ink blots"", ""reason"": ""This is the same verification technique of using folding or cutting to check symmetry, introduced earlier.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Verify whether an ink blot design is symmetrical by folding along the crease"", ""reason"": ""The method of folding along a crease to verify symmetry is directly reused in this target skill.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Line of symmetry,Draw the missing half of a symmetric figure,"[""Mirror symmetry and mirror halves""]","[""Identify whether a dotted line divides a shape into two mirror halves""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Line of symmetry"", ""reason"": ""This chapter's more advanced treatment of line of symmetry (multiple lines, dot grids) builds directly on the basic notion first introduced in Grade 4.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The Grade 3 introduction of a line dividing a shape into identical halves is the earliest basis for the Grade 5 treatment of line of symmetry.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Mirror images and line of reflection"", ""reason"": ""Derived from skill prerequisite: 'Identify symmetric figures shown through paper folding, paper cutting, or ink blots' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetrical ink designs"", ""reason"": ""Derived from skill prerequisite: 'Verify whether an ink blot design is symmetrical by folding along the crease' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""concept"": ""Symmetry in shapes on a dot grid"", ""reason"": ""Derived from skill prerequisite: 'Construct a symmetrical shape on a dot grid by completing the other half' (in Grade 4/Chapter11_Fun_with_Symmetry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetrical Rangoli Patterns"", ""reason"": ""Derived from skill prerequisite: 'Complete the other half of a symmetrical rangoli pattern' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter11_Fun_with_Symmetry"", ""skill"": ""Construct a symmetrical shape on a dot grid by completing the other half"", ""reason"": ""Completing the missing half of a shape on a dot grid is the same task-type skill required for drawing the missing half of a symmetric figure generally.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Complete the other half of a symmetrical rangoli pattern"", ""reason"": ""This earlier skill of completing a symmetric pattern's other half directly precedes the general skill of drawing a missing symmetric half.""}]"
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Effect of colour scheme on symmetry,Identify how adding colour to parts of a symmetric figure can break its symmetry,"[""Mirror symmetry and mirror halves""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Effect of colour scheme on symmetry,Determine the colouring pattern needed to keep a figure symmetric,"[""Mirror symmetry and mirror halves""]","[""Identify how adding colour to parts of a symmetric figure can break its symmetry""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter05_Does_It_Look_The_Same,Effect of colour scheme on symmetry,Compare differently coloured versions of the same shape to decide which remain symmetric,"[""Mirror symmetry and mirror halves""]","[""Distinguish between shapes that are symmetric and asymmetric based on shape and colour scheme""]",[],[],[],[]
