board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Data Collection and Tabulation,Collect information from a given context or survey,"[{""item"": ""Appropriate Survey Questions"", ""reason"": ""Collecting valid data through a survey requires first knowing how to frame a well-suited survey question.""}]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Grade 4 tabulation builds directly on the Grade 2 skill of putting collected data into simple tables.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Surveying and recording real-life information"", ""reason"": ""Collecting data through a survey before tabulating it was first introduced in Grade 2.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""skill"": ""Collect data by surveying classmates or family members"", ""reason"": ""Gathering survey data was first practiced in Grade 2 and is directly reused here.""}]"
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Data Collection and Tabulation,Organize collected information into a table,"[{""item"": ""Appropriate Survey Questions"", ""reason"": ""Collecting valid data through a survey requires first knowing how to frame a well-suited survey question.""}]","[{""item"": ""Collect information from a given context or survey"", ""reason"": ""There must be collected data before it can be organized into a table.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Grade 4 tabulation builds directly on the Grade 2 skill of putting collected data into simple tables.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Surveying and recording real-life information"", ""reason"": ""Collecting data through a survey before tabulating it was first introduced in Grade 2.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""skill"": ""Record survey data into a table"", ""reason"": ""Putting survey results into a table format is a direct continuation of the Grade 2 skill.""}]"
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Data Collection and Tabulation,Construct a data table with appropriate headings,"[{""item"": ""Appropriate Survey Questions"", ""reason"": ""Collecting valid data through a survey requires first knowing how to frame a well-suited survey question.""}]","[{""item"": ""Organize collected information into a table"", ""reason"": ""Adding appropriate headings requires the information to already be organized into a table structure.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Grade 4 tabulation builds directly on the Grade 2 skill of putting collected data into simple tables.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Surveying and recording real-life information"", ""reason"": ""Collecting data through a survey before tabulating it was first introduced in Grade 2.""}]",[]
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Appropriate Survey Questions,Identify the most appropriate question to collect specific data,[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Appropriate Survey Questions,Construct a survey question suited to a given data-collection purpose,[],"[{""item"": ""Distinguish between well-framed and poorly-framed survey questions"", ""reason"": ""Knowing what makes a question well-framed is needed before one can construct a good survey question.""}]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Appropriate Survey Questions,Distinguish between well-framed and poorly-framed survey questions,[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Tabular Data Interpretation,Identify specific values from a given table,"[{""item"": ""Data Collection and Tabulation"", ""reason"": ""Reading and interpreting values in a table requires first understanding how data is organized into that table.""}]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Drawing inferences from collected data"", ""reason"": ""Interpreting a table to draw conclusions extends the Grade 2 skill of reasoning from collected data.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Comparing data using more/less/equal to"", ""reason"": ""Derived from skill prerequisite: 'Compare quantities using terms more than, less than, and equal to' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Recording data using tally marks"", ""reason"": ""Derived from skill prerequisite: 'Count tally marks to determine total quantity' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Counting and tracking groups of objects"", ""reason"": ""Derived from skill prerequisite: 'Count and record groups of objects using tally marks' (in Grade 3/Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Derived from skill prerequisite: 'Draw conclusions from tabulated data' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Identifying most and least liked items from data"", ""reason"": ""Derived from skill prerequisite: 'Identify the most liked item from a given data set' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Tabular Data Interpretation,Compare quantities listed within a table,"[{""item"": ""Data Collection and Tabulation"", ""reason"": ""Reading and interpreting values in a table requires first understanding how data is organized into that table.""}]","[{""item"": ""Identify specific values from a given table"", ""reason"": ""Comparing quantities requires first being able to locate the specific values in the table.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Drawing inferences from collected data"", ""reason"": ""Interpreting a table to draw conclusions extends the Grade 2 skill of reasoning from collected data.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Comparing data using more/less/equal to"", ""reason"": ""Derived from skill prerequisite: 'Compare quantities using terms more than, less than, and equal to' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Recording data using tally marks"", ""reason"": ""Derived from skill prerequisite: 'Count tally marks to determine total quantity' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Counting and tracking groups of objects"", ""reason"": ""Derived from skill prerequisite: 'Count and record groups of objects using tally marks' (in Grade 3/Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Derived from skill prerequisite: 'Draw conclusions from tabulated data' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Identifying most and least liked items from data"", ""reason"": ""Derived from skill prerequisite: 'Identify the most liked item from a given data set' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""skill"": ""Compare quantities using terms more than, less than, and equal to"", ""reason"": ""Comparing table values uses the more/less/equal comparison skill already established with data in Grade 2.""}]"
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Tabular Data Interpretation,Determine the total or difference of values shown in a table,"[{""item"": ""Data Collection and Tabulation"", ""reason"": ""Reading and interpreting values in a table requires first understanding how data is organized into that table.""}]","[{""item"": ""Identify specific values from a given table"", ""reason"": ""Calculating totals or differences requires first identifying the individual values to combine or subtract.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Drawing inferences from collected data"", ""reason"": ""Interpreting a table to draw conclusions extends the Grade 2 skill of reasoning from collected data.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Comparing data using more/less/equal to"", ""reason"": ""Derived from skill prerequisite: 'Compare quantities using terms more than, less than, and equal to' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Recording data using tally marks"", ""reason"": ""Derived from skill prerequisite: 'Count tally marks to determine total quantity' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Counting and tracking groups of objects"", ""reason"": ""Derived from skill prerequisite: 'Count and record groups of objects using tally marks' (in Grade 3/Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Derived from skill prerequisite: 'Draw conclusions from tabulated data' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Identifying most and least liked items from data"", ""reason"": ""Derived from skill prerequisite: 'Identify the most liked item from a given data set' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""skill"": ""Determine the difference between two data quantities"", ""reason"": ""Finding differences between values in a table is the same operation practiced with data quantities in Grade 2.""}]"
CBSE,Maths,Grade 4,Chapter14_Data_Handling,Tabular Data Interpretation,Calculate the number of occurrences of each category from recorded data,"[{""item"": ""Data Collection and Tabulation"", ""reason"": ""Reading and interpreting values in a table requires first understanding how data is organized into that table.""}]","[{""item"": ""Identify specific values from a given table"", ""reason"": ""Counting occurrences requires first being able to read the individual recorded values.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Drawing inferences from collected data"", ""reason"": ""Interpreting a table to draw conclusions extends the Grade 2 skill of reasoning from collected data.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Comparing data using more/less/equal to"", ""reason"": ""Derived from skill prerequisite: 'Compare quantities using terms more than, less than, and equal to' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Recording data using tally marks"", ""reason"": ""Derived from skill prerequisite: 'Count tally marks to determine total quantity' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Counting and tracking groups of objects"", ""reason"": ""Derived from skill prerequisite: 'Count and record groups of objects using tally marks' (in Grade 3/Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Collecting and organising data using tables"", ""reason"": ""Derived from skill prerequisite: 'Draw conclusions from tabulated data' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""concept"": ""Identifying most and least liked items from data"", ""reason"": ""Derived from skill prerequisite: 'Identify the most liked item from a given data set' (in Grade 2/Chapter11_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter11_Data_Handling"", ""skill"": ""Count tally marks to determine total quantity"", ""reason"": ""Counting occurrences per category depends on the tally-counting skill developed in Grade 2.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter1_Whats_in_a_Name"", ""skill"": ""Count and record groups of objects using tally marks"", ""reason"": ""This skill directly builds on the Grade 3 practice of counting and recording groups with tally marks.""}]"
