board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Diversity of food across regions of India,Describe the diversity of food eaten across different regions of India,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Food and its diversity"", ""reason"": ""Chapter01 first introduces the basic notion that food varies as an example of observable diversity, which this chapter builds on to study regional food diversity in depth.""}]",[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Food Habits in Different Regions"", ""reason"": ""Students must already know that different Indian regions have distinct food habits before they can study this diversity in more depth at Grade 6.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Compare food habits across different regions and countries"", ""reason"": ""Comparing regional food habits is the precise skill Grade 6 extends when describing food diversity across India.""}]"
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Relationship between traditional food and locally grown crops,Explain the relationship between traditional food habits and locally grown crops,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Changes in cooking practices over time,Describe the changes in cooking practices from traditional to modern methods,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Food_for_Health"", ""concept"": ""Diversity of food and traditional dishes"", ""reason"": ""Derived from skill prerequisite: 'Compare traditional home-cooked food with processed or packaged food' (in Grade 4/Chapter05_Food_for_Health) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Changes in cooking practices over time,Compare traditional and modern culinary practices,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Food_for_Health"", ""concept"": ""Diversity of food and traditional dishes"", ""reason"": ""Derived from skill prerequisite: 'Compare traditional home-cooked food with processed or packaged food' (in Grade 4/Chapter05_Food_for_Health) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Food_for_Health"", ""skill"": ""Compare traditional home-cooked food with processed or packaged food"", ""reason"": ""Comparing traditional home-cooked food to modern processed food in Grade 4 is the direct precursor to comparing traditional and modern culinary practices.""}]"
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Components of food,Identify the ingredients used in different food items,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Food and its diversity"", ""reason"": ""Derived from skill prerequisite: 'Classify food items based on their sources and ingredients' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Features of plants (stem, leaves, flowers)"", ""reason"": ""Derived from skill prerequisite: 'Describe the functions of stem, leaves, and flowers in plants' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Root systems (taproot and fibrous root)"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between taproot and fibrous root systems' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Classify food items based on their sources and ingredients"", ""reason"": ""Being able to sort food items by their sources and ingredients is the basic classification skill needed before pinpointing the specific ingredients in individual food items.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Happy_and_Healthy_Living"", ""concept"": ""Food items and their ingredients"", ""reason"": ""Derived from skill prerequisite: 'Connect food items with their ingredients' (in Grade 4/Chapter06_Happy_and_Healthy_Living) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Edible Parts of Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify which part of a plant (leaf, root, stem, fruit, seed) a food item comes from' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Animal-Based Food Items"", ""reason"": ""Derived from skill prerequisite: 'List food items obtained from animals' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Happy_and_Healthy_Living"", ""skill"": ""Connect food items with their ingredients"", ""reason"": ""Linking food items to their ingredients was already practised in Grade 4 and is directly reused in identifying ingredients in Grade 6.""}]"
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Components of food,Identify the plant sources of ingredients used to prepare food items,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Food and its diversity"", ""reason"": ""Derived from skill prerequisite: 'Classify food items based on their sources and ingredients' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Features of plants (stem, leaves, flowers)"", ""reason"": ""Derived from skill prerequisite: 'Describe the functions of stem, leaves, and flowers in plants' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Root systems (taproot and fibrous root)"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between taproot and fibrous root systems' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Describe the functions of stem, leaves, and flowers in plants"", ""reason"": ""Recognizing whether an ingredient comes from a stem, leaf, or flower requires already knowing what these plant parts are and how they differ.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Distinguish between taproot and fibrous root systems"", ""reason"": ""Identifying root-derived food ingredients (e.g. carrots, radish) depends on prior understanding of root structures learned in the plant diversity chapter.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Happy_and_Healthy_Living"", ""concept"": ""Food items and their ingredients"", ""reason"": ""Derived from skill prerequisite: 'Connect food items with their ingredients' (in Grade 4/Chapter06_Happy_and_Healthy_Living) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Edible Parts of Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify which part of a plant (leaf, root, stem, fruit, seed) a food item comes from' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Animal-Based Food Items"", ""reason"": ""Derived from skill prerequisite: 'List food items obtained from animals' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Identify which part of a plant (leaf, root, stem, fruit, seed) a food item comes from"", ""reason"": ""Recognising which plant part a food comes from is the exact skill needed to trace ingredients back to plant sources.""}]"
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Components of food,Recognize the plant part from which a given food ingredient originates,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Food and its diversity"", ""reason"": ""Derived from skill prerequisite: 'Classify food items based on their sources and ingredients' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Features of plants (stem, leaves, flowers)"", ""reason"": ""Derived from skill prerequisite: 'Describe the functions of stem, leaves, and flowers in plants' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Root systems (taproot and fibrous root)"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between taproot and fibrous root systems' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Describe the functions of stem, leaves, and flowers in plants"", ""reason"": ""Correctly attributing an ingredient to a stem, leaf, or flower requires the prior conceptual knowledge of what distinguishes these plant parts.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Distinguish between taproot and fibrous root systems"", ""reason"": ""Determining that an ingredient originates from a root requires already being able to identify and distinguish root structures.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Happy_and_Healthy_Living"", ""concept"": ""Food items and their ingredients"", ""reason"": ""Derived from skill prerequisite: 'Connect food items with their ingredients' (in Grade 4/Chapter06_Happy_and_Healthy_Living) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Edible Parts of Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify which part of a plant (leaf, root, stem, fruit, seed) a food item comes from' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Animal-Based Food Items"", ""reason"": ""Derived from skill prerequisite: 'List food items obtained from animals' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Identify which part of a plant (leaf, root, stem, fruit, seed) a food item comes from"", ""reason"": ""This target skill is a direct continuation of the Grade 3 skill of matching food items to the plant part they come from.""}]"
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Components of food,List the animal products used as food sources,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Food and its diversity"", ""reason"": ""Derived from skill prerequisite: 'Classify food items based on their sources and ingredients' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Features of plants (stem, leaves, flowers)"", ""reason"": ""Derived from skill prerequisite: 'Describe the functions of stem, leaves, and flowers in plants' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Root systems (taproot and fibrous root)"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between taproot and fibrous root systems' (in Chapter02_Diversity_In_The_Living_World) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Happy_and_Healthy_Living"", ""concept"": ""Food items and their ingredients"", ""reason"": ""Derived from skill prerequisite: 'Connect food items with their ingredients' (in Grade 4/Chapter06_Happy_and_Healthy_Living) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Edible Parts of Plants"", ""reason"": ""Derived from skill prerequisite: 'Identify which part of a plant (leaf, root, stem, fruit, seed) a food item comes from' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Animal-Based Food Items"", ""reason"": ""Derived from skill prerequisite: 'List food items obtained from animals' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""List food items obtained from animals"", ""reason"": ""Listing animal-derived food items was already practised in Grade 3 and is directly reused for this target skill.""}]"
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Carbohydrates as a source of energy,Identify sources of carbohydrates in common food items,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Food_for_Health"", ""concept"": ""Food groups - energy giving, body building and protective foods"", ""reason"": ""Derived from skill prerequisite: 'Classify food items into energy-giving, body-building and protective food groups' (in Grade 4/Chapter05_Food_for_Health) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter03_To_A_Healthy_Body,Carbohydrates as a source of energy,Explain why carbohydrates are energy-giving nutrients,[],"[""Identify sources of carbohydrates in common food items""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Food_for_Health"", ""concept"": ""Food groups - energy giving, body building and protective foods"", ""reason"": ""Derived from skill prerequisite: 'Classify food items into energy-giving, body-building and protective food groups' (in Grade 4/Chapter05_Food_for_Health) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Food_for_Health"", ""skill"": ""Classify food items into energy-giving, body-building and protective food groups"", ""reason"": ""Recognising that some foods belong to the energy-giving group is the basis for later specifying carbohydrates as the nutrient responsible for that energy role.""}]"
