board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"States of water (solid, liquid, gas)",Identify the three states of water and their properties,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""States of Matter"", ""reason"": ""The target concept applies the general three-state classification of matter specifically to water, so the student must already know that matter exists as solids, liquids and gases.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Classification of objects into solids, liquids and gases"", ""reason"": ""Derived from skill prerequisite: 'Classify everyday objects as solids, liquids or gases based on their properties' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Classify everyday objects as solids, liquids or gases based on their properties"", ""reason"": ""Being able to sort everyday objects into solid, liquid and gas categories is the foundational skill needed before identifying water specifically in each of these three states.""}]"
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Ice and water as forms of the same substance,Describe how water changes state on heating or cooling,"[""States of water (solid, liquid, gas)""]","[""Identify the three states of water and their properties""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Ice and water as forms of the same substance,"Define melting, freezing, evaporation and condensation","[""States of water (solid, liquid, gas)""]","[""Describe how water changes state on heating or cooling""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Evaporation,Explain the process of evaporation with examples from daily life,"[""Ice and water as forms of the same substance""]","[""Describe how water changes state on heating or cooling""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Evaporation,Apply the concept of evaporation to explain everyday phenomena like drying of clothes and sweating,"[""Ice and water as forms of the same substance""]","[""Explain the process of evaporation with examples from daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Water vapour and humidity,Interpret data recorded in tables to draw conclusions about evaporation and condensation,"[""Evaporation"", ""Condensation""]","[""Explain the process of evaporation with examples from daily life"", ""Explain the process of condensation with examples from daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Condensation,Explain the process of condensation with examples from daily life,"[""Ice and water as forms of the same substance"", ""Evaporation""]","[""Describe how water changes state on heating or cooling"", ""Explain the process of evaporation with examples from daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Dew drop formation,Predict the outcome of an experiment involving mass change during condensation,"[""Condensation""]","[""Explain the process of condensation with examples from daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Properties of solids, liquids and gases (shape, flow, spreading)","Distinguish between solid, liquid and gaseous states based on shape, flow and spreading behaviour","[""States of water (solid, liquid, gas)""]","[""Identify the three states of water and their properties""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Classification of objects into solids, liquids and gases"", ""reason"": ""Recognising how objects are grouped as solids, liquids or gases based on shape/flow properties is the basis for describing these same properties for water in the target chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""States of Matter"", ""reason"": ""Derived from skill prerequisite: 'Describe the difference between materials that keep their shape and those that flow' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Describe the difference between materials that keep their shape and those that flow"", ""reason"": ""Understanding that materials differ in whether they keep their shape or flow is the direct precursor to distinguishing water's states by the same shape/flow criteria.""}]"
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Melting and freezing,"Classify substances as solids, liquids or gases based on observed properties","[""Ice and water as forms of the same substance"", ""Properties of solids, liquids and gases (shape, flow, spreading)""]","[""Distinguish between solid, liquid and gaseous states based on shape, flow and spreading behaviour""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Classification of objects into solids, liquids and gases"", ""reason"": ""Derived from skill prerequisite: 'Classify everyday objects as solids, liquids or gases based on their properties' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Classify everyday objects as solids, liquids or gases based on their properties"", ""reason"": ""The target skill directly extends this earlier classification skill to the specific case of water and its forms.""}]"
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Factors affecting rate of evaporation (exposed area, sunlight/shade, wind, humidity)","Identify conditions that affect the rate of evaporation such as exposed area, wind and humidity","[""Evaporation""]","[""Explain the process of evaporation with examples from daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Factors affecting rate of evaporation (exposed area, sunlight/shade, wind, humidity)","Compare evaporation on sunny, windy and rainy days","[""Evaporation""]","[""Identify conditions that affect the rate of evaporation such as exposed area, wind and humidity""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Cooling effect of evaporation,Explain why evaporation causes a cooling effect,"[""Evaporation""]","[""Apply the concept of evaporation to explain everyday phenomena like drying of clothes and sweating""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Pot-in-pot cooler and earthen pot (matka/surahi) cooling,Describe the working of a pot-in-pot cooler and earthen pot in producing a cooling effect,"[""Cooling effect of evaporation""]","[""Explain why evaporation causes a cooling effect""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Cloud formation and role of dust particles,Explain the role of dust particles in the formation of clouds,"[""Water vapour and humidity"", ""Condensation""]","[""Explain the process of condensation with examples from daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Rain, hail and snow formation","Describe the formation of rain, hail and snow through condensation","[""Cloud formation and role of dust particles"", ""Condensation""]","[""Explain the process of condensation with examples from daily life"", ""Explain the role of dust particles in the formation of clouds""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,Water cycle,Describe the stages and circulation of the water cycle,"[""Evaporation"", ""Condensation"", ""Cloud formation and role of dust particles""]","[""Explain the process of evaporation with examples from daily life"", ""Explain the process of condensation with examples from daily life"", ""Explain the role of dust particles in the formation of clouds""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Scientific method (observation, questioning, prediction, experimentation, recording data)",Design an activity to investigate whether water seeps through a surface,[],"[""Record observations and data systematically during experiments""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Scientific method (observation, questioning, prediction, experimentation, recording data)",Record observations and data systematically during experiments,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter08_A_Journey_Through_States_Of_Water,"Scientific method (observation, questioning, prediction, experimentation, recording data)",Analyse chain of reasoning to evaluate possible explanations for observed phenomena,[],[],[],[],[],[]
