board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,"Symmetry in everyday objects (rangolis, masks, bead strings, buildings)","Identify symmetry in everyday objects such as rangolis, masks, bead strings, and buildings",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Students must already recognise symmetry in common objects before extending the idea to a wider range of everyday items in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetrical and Non-Symmetrical Malas (Bead Arrangements)"", ""reason"": ""Recognising symmetry in bead strings was introduced earlier and is directly extended here to other everyday objects.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify symmetrical and non-symmetrical objects in everyday life"", ""reason"": ""This is the same identification skill already taught, now applied to a wider set of everyday objects.""}]"
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,"Symmetry in everyday objects (rangolis, masks, bead strings, buildings)",Classify everyday objects as symmetrical or asymmetrical,[],"[{""item"": ""Identify symmetry in everyday objects such as rangolis, masks, bead strings, and buildings"", ""reason"": ""Classifying objects requires first being able to spot symmetry in them.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetry in Objects and Patterns"", ""reason"": ""Students must already recognise symmetry in common objects before extending the idea to a wider range of everyday items in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Symmetrical and Non-Symmetrical Malas (Bead Arrangements)"", ""reason"": ""Recognising symmetry in bead strings was introduced earlier and is directly extended here to other everyday objects.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify symmetrical and non-symmetrical objects in everyday life"", ""reason"": ""Classifying objects as symmetrical or not requires the previously taught skill of identifying symmetry in everyday objects.""}]"
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Line of symmetry,Identify the line of symmetry in a given design or shape,"[{""item"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Recognising symmetry informally in familiar objects gives the intuitive basis needed before formalising the idea of a line of symmetry.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The core idea of a line dividing a shape into identical halves was introduced earlier and is built upon with more shapes and contexts in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Derived from skill prerequisite: 'Identify the mirror image of a given arrangement of objects' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify the line of symmetry in a given shape or pattern"", ""reason"": ""This target skill is a direct continuation of the same skill taught earlier, now applied to more complex designs.""}]"
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Line of symmetry,Draw the line of symmetry on symmetrical shapes,"[{""item"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Recognising symmetry informally in familiar objects gives the intuitive basis needed before formalising the idea of a line of symmetry.""}]","[{""item"": ""Identify the line of symmetry in a given design or shape"", ""reason"": ""A student must be able to locate the line of symmetry before they can draw it accurately.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The core idea of a line dividing a shape into identical halves was introduced earlier and is built upon with more shapes and contexts in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Derived from skill prerequisite: 'Identify the mirror image of a given arrangement of objects' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Draw a line of symmetry that divides a shape or pattern into two identical halves"", ""reason"": ""The procedure of drawing a line dividing a shape into equal halves was already established and is reused here.""}]"
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Line of symmetry,Determine the position of a mirror to produce a given reflection,"[{""item"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Recognising symmetry informally in familiar objects gives the intuitive basis needed before formalising the idea of a line of symmetry.""}]","[{""item"": ""Identify the line of symmetry in a given design or shape"", ""reason"": ""Placing a mirror correctly depends on understanding where the line of symmetry/reflection lies.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The core idea of a line dividing a shape into identical halves was introduced earlier and is built upon with more shapes and contexts in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Derived from skill prerequisite: 'Identify the mirror image of a given arrangement of objects' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Identify the mirror image of a given arrangement of objects"", ""reason"": ""Determining mirror placement requires already knowing how to recognise what a correct mirror image looks like.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Place objects to form a mirror image of a given arrangement"", ""reason"": ""Constructing a mirror-image arrangement was already practiced and is the basis for reasoning about mirror placement here.""}]"
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Line of symmetry,Determine the number of lines of symmetry in a shape,"[{""item"": ""Symmetry in everyday objects (rangolis, masks, bead strings, buildings)"", ""reason"": ""Recognising symmetry informally in familiar objects gives the intuitive basis needed before formalising the idea of a line of symmetry.""}]","[{""item"": ""Identify the line of symmetry in a given design or shape"", ""reason"": ""Counting lines of symmetry requires first being able to identify a single line of symmetry.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Line of Symmetry"", ""reason"": ""The core idea of a line dividing a shape into identical halves was introduced earlier and is built upon with more shapes and contexts in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Mirror Images"", ""reason"": ""Derived from skill prerequisite: 'Identify the mirror image of a given arrangement of objects' (in Grade 3/Chapter14_The_Surajkund_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Symmetrical ink designs,Construct a symmetrical ink blot design by folding paper,"[{""item"": ""Line of symmetry"", ""reason"": ""Making an ink-blot symmetrical by folding requires already understanding what a line of symmetry is and how it divides a shape into matching halves.""}]",[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Symmetrical ink designs,Verify whether an ink blot design is symmetrical by folding along the crease,"[{""item"": ""Line of symmetry"", ""reason"": ""Making an ink-blot symmetrical by folding requires already understanding what a line of symmetry is and how it divides a shape into matching halves.""}]","[{""item"": ""Construct a symmetrical ink blot design by folding paper"", ""reason"": ""Verifying symmetry by folding uses the same crease-folding process learned while constructing the ink blot.""}]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Symmetry in paper folding and cutting (holes and cuts),Predict the appearance of holes and cuts after unfolding folded paper,"[{""item"": ""Line of symmetry"", ""reason"": ""Predicting how cuts appear after unfolding relies on understanding that the fold acts as a line of symmetry.""}, {""item"": ""Symmetrical ink designs"", ""reason"": ""The folding technique used to create symmetrical ink blots is the same technique used to predict symmetrical holes and cuts, so it must be mastered first.""}]","[{""item"": ""Construct a symmetrical ink blot design by folding paper"", ""reason"": ""Predicting the unfolded pattern relies on the same fold-and-reflect reasoning used to make symmetrical ink blots.""}]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter11_Fun_with_Symmetry,Symmetry in paper folding and cutting (holes and cuts),Explain how folding and cutting paper creates symmetrical patterns,"[{""item"": ""Line of symmetry"", ""reason"": ""Predicting how cuts appear after unfolding relies on understanding that the fold acts as a line of symmetry.""}, {""item"": ""Symmetrical ink designs"", ""reason"": ""The folding technique used to create symmetrical ink blots is the same technique used to predict symmetrical holes and cuts, so it must be mastered first.""}]","[{""item"": ""Predict the appearance of holes and cuts after unfolding folded paper"", ""reason"": ""Explaining the process requires first being able to predict what the unfolded result will look like.""}]",[],[],[],[]
