board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,Green School Features,Identify features of a green school,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,Swachh Bharat Swachh Vidyalaya,Describe the aims of the Swachh Bharat Swachh Vidyalaya initiative for schools,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,Swachh Bharat Swachh Vidyalaya,List actions students can take in their school to support the Swachh Bharat Swachh Vidyalaya mission,[],"[{""item"": ""Describe the aims of the Swachh Bharat Swachh Vidyalaya initiative for schools"", ""reason"": ""Students need to understand the initiative's aims before they can identify actions that support those aims.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,School mapping and exploration,"Create a map of the school including key features such as classrooms, garden and playground",[],"[{""item"": ""Explore the school premises and record observations about its layout and facilities"", ""reason"": ""Recorded observations of the school's layout are the raw information needed to accurately draw its map.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,School mapping and exploration,Explore the school premises and record observations about its layout and facilities,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,School Explorer Teams,Describe the responsibilities of different School Explorer Teams such as Water Watchers and Waste Warriors,"[{""item"": ""School mapping and exploration"", ""reason"": ""Knowing the school's layout and facilities from exploration is needed before understanding how different Explorer Teams are assigned to specific areas like water points or waste bins.""}]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,School Explorer Teams,Explain how each Explorer Team's tasks help improve a specific aspect of the school environment,"[{""item"": ""School mapping and exploration"", ""reason"": ""Knowing the school's layout and facilities from exploration is needed before understanding how different Explorer Teams are assigned to specific areas like water points or waste bins.""}]","[{""item"": ""Describe the responsibilities of different School Explorer Teams such as Water Watchers and Waste Warriors"", ""reason"": ""Knowing each team's specific responsibilities is necessary before explaining how those tasks improve the school environment.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,Waste management (dry and wet waste segregation),"Classify waste into dry, wet and recyclable categories",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,Waste management (dry and wet waste segregation),Explain the importance of segregating waste at source,[],"[{""item"": ""Classify waste into dry, wet and recyclable categories"", ""reason"": ""Students must first know the different waste categories before they can explain why keeping them separate at source matters.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter04_Our_School—A_Happy_Place,Role of traditional recyclers,Describe the role of traditional recyclers and sanitation workers in managing waste,"[{""item"": ""Waste management (dry and wet waste segregation)"", ""reason"": ""Understanding how waste is categorised is needed to grasp what kinds of waste traditional recyclers actually handle and process.""}]",[],[],[],[],[]
