board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Days of the week,Identify the days of the week,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: before and after"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation' (in Grade 1/Chapter 1) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Days of the week,Sequence the days of the week in order,[],"[""Identify the days of the week""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: before and after"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation' (in Grade 1/Chapter 1) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""skill"": ""Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation"", ""reason"": ""Sequencing the seven days requires the prior understanding of ordering items using before/after relationships taught in Grade 1.""}]"
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Days of the week,Write the names of the days of the week,[],"[""Identify the days of the week""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: before and after"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation' (in Grade 1/Chapter 1) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Months of the year,Identify the months of the year,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: before and after"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation' (in Grade 1/Chapter 1) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Months of the year,Sequence the months of the year in order,[],"[""Identify the months of the year""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: before and after"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation' (in Grade 1/Chapter 1) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""skill"": ""Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation"", ""reason"": ""Ordering the twelve months relies on the earlier-taught skill of determining what comes before or after in a sequence.""}]"
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Months of the year,Write the names of the months of the year,[],"[""Identify the months of the year""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 1"", ""concept"": ""Positional words: before and after"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between before and after by describing the sequential order of objects in a picture or real-world situation' (in Grade 1/Chapter 1) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of events (hours/days),Compare the duration of two events occurring in hours or days,"[""Reading time on a clock (hour hand and minute hand)""]",[],"[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction of two-digit numbers without regrouping"", ""reason"": ""Derived from skill prerequisite: 'Subtract a two-digit number from another without regrouping using column method' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""concept"": ""Comparing duration of activities (longer and shorter time)"", ""reason"": ""Understanding that activities can last longer or shorter is the basic notion that Grade 2 extends into measuring and comparing duration in hours/days.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""skill"": ""Compare two activities and identify which one takes longer time"", ""reason"": ""The Grade 2 skill of comparing durations in hours/days builds directly on the Grade 1 skill of judging which of two activities takes longer.""}]"
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of events (hours/days),Sequence events according to their duration,"[""Reading time on a clock (hour hand and minute hand)""]","[""Compare the duration of two events occurring in hours or days""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction of two-digit numbers without regrouping"", ""reason"": ""Derived from skill prerequisite: 'Subtract a two-digit number from another without regrouping using column method' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""concept"": ""Comparing duration of activities (longer and shorter time)"", ""reason"": ""Understanding that activities can last longer or shorter is the basic notion that Grade 2 extends into measuring and comparing duration in hours/days.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""skill"": ""Compare two activities and identify which one takes longer time"", ""reason"": ""Ordering multiple events by duration requires first being able to judge which of two events lasts longer, a skill introduced in Grade 1.""}]"
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of events (hours/days),"Determine which of two events lasts longer, e.g., staying in school versus staying at home","[""Reading time on a clock (hour hand and minute hand)""]","[""Compare the duration of two events occurring in hours or days""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction of two-digit numbers without regrouping"", ""reason"": ""Derived from skill prerequisite: 'Subtract a two-digit number from another without regrouping using column method' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""concept"": ""Comparing duration of activities (longer and shorter time)"", ""reason"": ""Understanding that activities can last longer or shorter is the basic notion that Grade 2 extends into measuring and comparing duration in hours/days.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""skill"": ""Compare two activities and identify which one takes longer time"", ""reason"": ""This is the same core comparison-of-duration task the student first practiced in Grade 1, now applied to specific real-life examples.""}]"
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of events (hours/days),Calculate the duration of a trip in hours or days using given start and end times,"[""Reading time on a clock (hour hand and minute hand)""]","[""Read the time shown on a clock face to the nearest hour""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction of two-digit numbers without regrouping"", ""reason"": ""Derived from skill prerequisite: 'Subtract a two-digit number from another without regrouping using column method' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Subtract a two-digit number from another without regrouping using column method"", ""reason"": ""Finding the duration of a trip requires subtracting the start value from the end value, which may involve two-digit numbers.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""concept"": ""Comparing duration of activities (longer and shorter time)"", ""reason"": ""Understanding that activities can last longer or shorter is the basic notion that Grade 2 extends into measuring and comparing duration in hours/days.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 10"", ""skill"": ""Compare two activities and identify which one takes longer time"", ""reason"": ""Before calculating exact durations from start and end times, students need the foundational notion of comparing how long activities last, established in Grade 1.""}]"
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of months,Compare the number of days in different months,"[""Months of the year""]","[""Identify the months of the year""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Read a calendar to identify days, dates, and events' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Comparing two-digit numbers using tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Compare two two-digit numbers and identify which is more or less' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Compare two two-digit numbers and identify which is more or less"", ""reason"": ""Comparing month lengths (28-31 days) is a direct application of comparing two-digit numbers.""}]",[],[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of months,Identify which month has more or fewer days,"[""Months of the year""]","[""Compare the number of days in different months""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Read a calendar to identify days, dates, and events' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Comparing two-digit numbers using tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Compare two two-digit numbers and identify which is more or less' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Compare two two-digit numbers and identify which is more or less"", ""reason"": ""Determining which month has more or fewer days relies on comparing their two-digit day counts.""}]",[],[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of months,Calculate the total number of days in two given months,"[""Months of the year""]","[""Compare the number of days in different months""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Read a calendar to identify days, dates, and events' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Comparing two-digit numbers using tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Compare two two-digit numbers and identify which is more or less' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Adding the day-counts of two months (e.g., 31+31) can produce a sum requiring the two-digit addition-with-regrouping procedure.""}]",[],[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of months,Identify which months have 5 Sundays using a calendar,"[""Months of the year""]","[""Identify the months of the year""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Read a calendar to identify days, dates, and events' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Comparing two-digit numbers using tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Compare two two-digit numbers and identify which is more or less' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Read a calendar to identify days, dates, and events"", ""reason"": ""Locating all Sundays in a month first requires the general skill of reading dates and days off a calendar grid.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify the day of the week for a given date on a calendar"", ""reason"": ""Counting how many Sundays occur in a month requires matching each date in that month to its day of the week.""}]",[],[]
CBSE,Maths,Grade 2,Chapter9_Which_Season_is_it,Duration of months,Identify months associated with summer and winter vacations,"[""Months of the year""]","[""Identify the months of the year""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Reading and interpreting a calendar"", ""reason"": ""Derived from skill prerequisite: 'Read a calendar to identify days, dates, and events' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Comparing two-digit numbers using tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Compare two two-digit numbers and identify which is more or less' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]",[],[],[]
