board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,"Animals, birds, insects and plants living in and around our homes","Identify animals, birds, insects and plants found in and around homes",[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,"Animals, birds, insects and plants living in and around our homes",Compare different animals and insects based on their food preferences,[],"[""Identify animals, birds, insects and plants found in and around homes""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Caring for animals and plants at home,Describe how humans take care of animals and plants,"[""Animals, birds, insects and plants living in and around our homes""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Caring for animals and plants at home,Demonstrate empathy towards animals and plants through care activities,"[""Animals, birds, insects and plants living in and around our homes""]","[""Describe how humans take care of animals and plants""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Uninvited animals and insects in homes,Explain why some animals or insects visit homes uninvited,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Interdependence of plants and animals,Explain how animals and plants depend on each other,"[""Animals, birds, insects and plants living in and around our homes""]","[""Identify animals, birds, insects and plants found in and around homes""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,"Uses of plants (shade, shelter, wood, fruit, medicine, fibre, fresh air)","List the uses of plants such as shade, wood, fruit, medicine and fibre","[""Animals, birds, insects and plants living in and around our homes""]","[""Identify animals, birds, insects and plants found in and around homes""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,"How animals help plants (seed dispersal, soil fertility)",Explain how animals help disperse seeds and make soil fertile,"[""Interdependence of plants and animals""]","[""Explain how animals and plants depend on each other""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,"How plants help animals (food, shelter)",Describe how plants provide food and shelter to animals,"[""Interdependence of plants and animals""]","[""Explain how animals and plants depend on each other""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Human dependence on plants and animals,"Explain how humans depend on plants and animals for food, shelter, clothing and companionship","[""How plants help animals (food, shelter)"", ""How animals help plants (seed dispersal, soil fertility)""]","[""Describe how plants provide food and shelter to animals"", ""Explain how animals help disperse seeds and make soil fertile""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Observing and describing animals and birds,"Describe the behaviour, movement and sounds of an animal or bird","[""Animals, birds, insects and plants living in and around our homes""]","[""Identify animals, birds, insects and plants found in and around homes""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Migratory birds and local bird conservation (Grey Wagtails of Valparai),Describe a real-life example of bird conservation such as the Grey Wagtails of Valparai,"[""Observing and describing animals and birds""]","[""Describe the behaviour, movement and sounds of an animal or bird""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter06_Living_in_Harmony,Classification of animals by number of legs,"Classify animals, birds and insects based on the number of legs","[""Animals, birds, insects and plants living in and around our homes""]","[""Identify animals, birds, insects and plants found in and around homes""]",[],[]
