board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Nutrition in Plants - Modes of Nutrition,Differentiate between autotrophic and heterotrophic modes of nutrition based on how organisms obtain food,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Nutrition in Plants - Modes of Nutrition,"Classify plants in the surroundings as autotrophs, heterotrophs, saprotrophs, parasites or symbionts based on nutritional requirements",[],"[""Differentiate between autotrophic and heterotrophic modes of nutrition based on how organisms obtain food""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Nutrition in Plants - Modes of Nutrition,"Categorize insectivorous, saprophytic and symbiotic plants based on similarities in their nutritional features",[],"[""Classify plants in the surroundings as autotrophs, heterotrophs, saprotrophs, parasites or symbionts based on nutritional requirements""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Nutrition in Plants - Modes of Nutrition,Explain the symbiotic relationship between Rhizobium bacteria and leguminous plants,[],"[""Categorize insectivorous, saprophytic and symbiotic plants based on similarities in their nutritional features""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Phototropism in Plants,Construct a cause and effect model explaining how plants bend or grow toward sunlight,"[""Photosynthesis - Process and Requirements""]","[""Explain the steps of the photosynthesis process including the role of sunlight, water and carbon dioxide""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Effect of sunlight on plant growth direction"", ""reason"": ""The earlier observation that sunlight affects the direction of plant growth forms the factual basis for the formal concept of phototropism.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Interpret observations to conclude the effect of sunlight on plant growth direction"", ""reason"": ""Building a cause-and-effect model of phototropism requires the earlier observational conclusion that sunlight influences plant growth direction.""}]"
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Nutrition in Plants - Definition and Environmental Relevance,State the meaning of nutrition and explain its importance for the survival of living organisms,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Nutrition in living beings"", ""reason"": ""The target extends the general concept of nutrition as a basic life process (already introduced) to its specific relevance for plant survival in the environment.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain the importance of nutrition for living organisms"", ""reason"": ""The target skill elaborates on the earlier established explanation of why nutrition matters for survival.""}]"
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Nutrition in Plants - Definition and Environmental Relevance,Relate the nutritional requirements of plants and animals to their environment for survival,[],"[""State the meaning of nutrition and explain its importance for the survival of living organisms""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Nutrition in living beings"", ""reason"": ""The target extends the general concept of nutrition as a basic life process (already introduced) to its specific relevance for plant survival in the environment.""}]",[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Photosynthesis - Process and Requirements,"Explain the steps of the photosynthesis process including the role of sunlight, water and carbon dioxide","[""Nutrition in Plants - Definition and Environmental Relevance"", ""Nutrition in Plants - Modes of Nutrition"", ""Exchange of Gases through Stomata"", ""Factors Required for Plant Growth""]","[""List the raw materials and conditions required by plants to carry out photosynthesis""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Photosynthesis - Process and Requirements,List the raw materials and conditions required by plants to carry out photosynthesis,"[""Nutrition in Plants - Definition and Environmental Relevance"", ""Nutrition in Plants - Modes of Nutrition"", ""Exchange of Gases through Stomata"", ""Factors Required for Plant Growth""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter10_Life_Processes_in_Plants,Photosynthesis - Process and Requirements,Write the word equation for the process of photosynthesis showing raw materials and products,"[""Nutrition in Plants - Definition and Environmental Relevance"", ""Nutrition in Plants - Modes of Nutrition"", ""Exchange of Gases through Stomata"", ""Factors Required for Plant Growth""]","[""List the raw materials and conditions required by plants to carry out photosynthesis"", ""Explain the steps of the photosynthesis process including the role of sunlight, water and carbon dioxide""]",[],[],[],[]
