board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Factors of a Number,Arrange numbers in a row to determine the factors of a given number,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Factors of a Number"", ""reason"": ""Students must already grasp what a factor is before extending the idea to prime/composite classification and prime factorisation in Grade 6.""}]",[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Factors of a Number,Calculate all factors of a given number systematically,[],"[""Arrange numbers in a row to determine the factors of a given number""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Factors of a Number"", ""reason"": ""Students must already grasp what a factor is before extending the idea to prime/composite classification and prime factorisation in Grade 6.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""skill"": ""Identify the factors of a given number using division"", ""reason"": ""The systematic listing of all factors in Grade 6 builds on the division-based method for finding factors taught in Grade 5.""}]"
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Factors and Multiples,Identify multiples of a given number,"[""Factors of a Number""]",[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Factors of a Number"", ""reason"": ""The Grade 6 discussion of the factor-multiple relationship builds on the basic notion of a factor introduced in Grade 5.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Multiples of a Number"", ""reason"": ""Understanding multiples as products of a number by counting numbers, introduced in Grade 5, underlies the Grade 6 comparison of factors and multiples.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""skill"": ""Identify multiples of a given number using multiplication facts or skip counting"", ""reason"": ""Recognising multiples in Grade 6 directly reuses the multiplication/skip-counting method for generating multiples taught in Grade 5.""}]"
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Factors and Multiples,Distinguish between factors and multiples of a number,"[""Factors of a Number""]","[""Identify multiples of a given number""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Factors of a Number"", ""reason"": ""The Grade 6 discussion of the factor-multiple relationship builds on the basic notion of a factor introduced in Grade 5.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Multiples of a Number"", ""reason"": ""Understanding multiples as products of a number by counting numbers, introduced in Grade 5, underlies the Grade 6 comparison of factors and multiples.""}]",[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Factors and Multiples,Apply the relationship between factors and multiples to solve problems,"[""Factors of a Number""]","[""Distinguish between factors and multiples of a number""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Factors of a Number"", ""reason"": ""The Grade 6 discussion of the factor-multiple relationship builds on the basic notion of a factor introduced in Grade 5.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Multiples of a Number"", ""reason"": ""Understanding multiples as products of a number by counting numbers, introduced in Grade 5, underlies the Grade 6 comparison of factors and multiples.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""skill"": ""Solve simple problems based on multiples of given numbers"", ""reason"": ""Applying the factor-multiple relationship to problems extends the simpler multiple-based problem solving already practiced in Grade 5.""}]"
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Prime and Composite Numbers,Write the factors of a given number,"[""Factors of a Number""]",[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Common Factors"", ""reason"": ""Derived from skill prerequisite: 'List the factors of two given numbers separately' (in Grade 5/Chapter06_Be_My_Multiple_Ill_Be_Your_Factor) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""skill"": ""List the factors of two given numbers separately"", ""reason"": ""Writing out the factor list requires the basic factor-listing skill already practiced in Grade 5.""}]"
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Prime and Composite Numbers,Classify numbers as prime or composite based on their factors,"[""Factors of a Number""]","[""Write the factors of a given number""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Common Factors"", ""reason"": ""Derived from skill prerequisite: 'List the factors of two given numbers separately' (in Grade 5/Chapter06_Be_My_Multiple_Ill_Be_Your_Factor) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Prime and Composite Numbers,Identify prime numbers using divisibility patterns,"[""Factors of a Number""]","[""Classify numbers as prime or composite based on their factors""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter06_Be_My_Multiple_Ill_Be_Your_Factor"", ""concept"": ""Common Factors"", ""reason"": ""Derived from skill prerequisite: 'List the factors of two given numbers separately' (in Grade 5/Chapter06_Be_My_Multiple_Ill_Be_Your_Factor) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,The number 1 as neither prime nor composite,Explain why the number 1 is classified as neither prime nor composite,"[""Prime and Composite Numbers""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,The number 1 as neither prime nor composite,Distinguish the number 1 from other prime and composite numbers,"[""Prime and Composite Numbers""]","[""Explain why the number 1 is classified as neither prime nor composite""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Sieve of Eratosthenes,Apply the Sieve of Eratosthenes to list all prime numbers up to 100,"[""Prime and Composite Numbers""]","[""Explain the procedure used in the Sieve of Eratosthenes to eliminate composite numbers""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Sieve of Eratosthenes,Explain the procedure used in the Sieve of Eratosthenes to eliminate composite numbers,"[""Prime and Composite Numbers""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Twin primes,Identify twin prime pairs within a given range,"[""Prime and Composite Numbers""]","[""Explain the defining property of twin prime pairs""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter05_Prime_Time,Twin primes,Explain the defining property of twin prime pairs,"[""Prime and Composite Numbers""]",[],[],[],[],[]
